horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,8,8,0,0,4265,18,-12475340.0,5.149
20,50,29,21,13,13,4252,18,-35869050.0,5.184
40,70,35,17,9,22,4235,26,-31037480.0,10.322
60,90,36,15,10,32,4216,35,-23481550.0,20.904
80,110,39,14,8,40,4197,46,-20752890.0,20.995
100,130,51,18,12,52,4177,54,-27369750.0,37.24
120,150,89,23,5,57,4157,69,-36055190.0,46.673
140,170,163,30,19,76,4105,102,-48992180.0,25.949
160,190,207,26,13,89,4020,174,-41599450.0,10.367
180,210,184,27,16,105,3926,252,-42731870.0,41.369
200,230,144,27,11,116,3840,327,-41940930.0,36.21
220,250,103,28,16,132,3796,355,-44304130.0,10.29
240,270,165,34,14,146,3745,392,-50970410.0,51.843
260,290,217,34,22,168,3682,433,-57934980.0,60.644
280,310,257,28,15,183,3560,540,-48359910.0,33.017
300,330,227,29,14,197,3464,622,-49197910.0,5.154
320,350,207,28,13,210,3360,713,-45917910.0,76.273
340,370,204,34,19,229,3283,771,-51760650.0,72.74
360,390,186,29,18,247,3183,853,-49238590.0,31.019
380,410,139,25,13,260,3113,910,-41556840.0,20.598
400,430,104,20,13,273,3053,957,-33752290.0,46.903
420,450,88,22,18,291,3007,985,-40735780.0,20.94
440,470,92,16,11,302,2969,1012,-25905250.0,78.172
460,490,93,25,16,318,2924,1041,-42116150.0,26.171
480,510,101,27,11,329,2885,1069,-42449190.0,36.664
500,530,156,34,20,349,2836,1098,-52013490.0,56.953
520,550,186,29,18,367,2750,1166,-42935020.0,82.897
540,570,173,30,17,384,2668,1231,-44548890.0,41.921
560,590,183,30,15,399,2597,1287,-47676280.0,36.368
580,610,181,31,16,415,2517,1351,-48850280.0,36.273
600,630,216,32,15,430,2437,1416,-54032030.0,20.671
620,650,267,34,20,450,2339,1494,-53431350.0,83.338
640,670,299,32,17,467,2221,1595,-49467020.0,36.209
660,690,362,34,17,484,2078,1721,-52286280.0,124.148
680,710,450,36,21,505,1921,1857,-58499650.0,63.476
700,730,498,36,14,519,1705,2059,-57999120.0,25.902
720,750,461,36,21,540,1496,2247,-54841320.0,78.816
740,770,375,36,19,559,1281,2443,-57808960.0,5.326
760,790,286,34,14,573,1156,2554,-56103900.0,20.681
780,810,273,39,20,593,1034,2656,-62068010.0,20.746
800,830,251,41,18,611,913,2759,-64738420.0,5.174
820,850,254,36,17,628,812,2843,-58250410.0,10.658
840,870,241,31,19,647,695,2941,-52326940.0,31.081
860,890,193,22,11,658,592,3033,-36911880.0,20.868
880,910,171,27,12,670,521,3092,-47123120.0,36.288
900,930,157,29,17,687,446,3150,-47526900.0,31.082
920,950,166,25,13,700,380,3203,-41066070.0,56.99
940,970,168,27,11,711,317,3255,-43071920.0,57.089
960,990,169,25,17,728,242,3313,-39778870.0,88.177
980,1010,140,15,11,739,166,3378,-25786730.0,98.122
1000,1030,106,20,15,754,114,3415,-35722350.0,36.895
1020,1050,77,10,8,762,69,3452,-17983800.0,25.796
1040,1070,55,13,11,773,38,3472,-22177970.0,31.315
1060,1090,38,4,2,775,23,3485,-5964280.0,17.709
1080,1110,23,4,4,779,4,3500,-6326650.0,2.234
1100,1130,4,0,0,779,0,3504,0.0,2.591
1120,1150,0,0,0,779,0,3504,,0.0
