vehicle_id,sequence,event,from_node,to_node,physical_from_node,physical_to_node,departure_time,arrival_time,travel_time,travel_distance_km,charging_time,charged_range_km,remaining_range_before,remaining_range_after,onboard_passengers,related_batch_id,movement_type,from_event,to_event
0,0,Movement,1,6,1,6,47,56,9,23.39,47,0.0,160.0,136.61,0,B35,empty_repositioning,Position,Pickup
0,1,Pickup,6,6,6,6,59,56,0,0.0,2,8.534,136.61,145.144,1,B35,pickup_service,Pickup,Pickup
0,2,Movement,6,2,6,2,59,72,13,37.0,0,0.0,145.144,108.144,1,B35,passenger_flight,Position,Delivery
0,3,Delivery,2,2,2,2,75,72,0,0.0,2,8.534,108.144,116.678,0,B35,delivery_service,Delivery,Delivery
0,4,Movement,2,6,2,6,80,93,13,37.0,5,21.335,138.013,101.013,0,B69,empty_repositioning,Position,Pickup
0,5,Pickup,6,6,6,6,96,93,0,0.0,2,8.534,101.013,109.547,2,B69,pickup_service,Pickup,Pickup
0,6,Movement,6,1,6,1,96,105,9,23.39,0,0.0,109.547,86.157,2,B69,passenger_flight,Position,Delivery
0,7,Delivery,1,1,1,1,108,105,0,0.0,2,8.534,86.157,94.691,0,B69,delivery_service,Delivery,Delivery
0,8,Movement,1,6,1,6,108,117,9,23.39,0,0.0,94.691,71.301,0,B95,empty_repositioning,Position,Pickup
0,9,Pickup,6,6,6,6,120,117,0,0.0,2,8.534,71.301,79.835,1,B95,pickup_service,Pickup,Pickup
0,10,Movement,6,2,6,2,120,133,13,37.0,0,0.0,79.835,42.835,1,B95,passenger_flight,Position,Delivery
0,11,Delivery,2,2,2,2,136,133,0,0.0,2,8.534,42.835,51.369,0,B95,delivery_service,Delivery,Delivery
0,12,Movement,2,2,2,2,139,139,0,0.0,3,12.801,64.17,64.17,0,B126,empty_repositioning,Position,Pickup
0,13,Pickup,2,2,2,2,142,139,0,0.0,2,8.534,64.17,72.704,1,B126,pickup_service,Pickup,Pickup
0,14,Movement,2,5,2,5,142,152,10,27.57,0,21.335,72.704,45.134,1,B126,passenger_flight,Position,Delivery
0,15,Delivery,5,5,5,5,155,152,0,0.0,2,8.534,45.134,53.668,0,B126,delivery_service,Delivery,Delivery
0,16,Movement,5,6,5,6,162,171,9,12.76,7,29.869,83.537,70.777,0,B275,empty_repositioning,Position,Pickup
0,17,Pickup,6,6,6,6,174,171,0,0.0,2,8.534,70.777,79.311,2,B275,pickup_service,Pickup,Pickup
0,18,Movement,6,3,6,3,174,186,12,32.98,0,0.0,79.311,46.331,2,B275,passenger_flight,Position,Delivery
0,19,Delivery,3,3,3,3,189,186,0,0.0,2,8.534,46.331,54.865,0,B275,delivery_service,Delivery,Delivery
0,20,Movement,3,3,3,3,190,190,0,0.0,1,4.267,59.132,59.132,0,B361,empty_repositioning,Position,Pickup
0,21,Pickup,3,3,3,3,193,190,0,0.0,2,8.534,59.132,67.666,2,B361,pickup_service,Pickup,Pickup
0,22,Movement,3,4,3,4,193,202,9,12.6,0,12.801,67.666,55.066,2,B361,passenger_flight,Position,Delivery
0,23,Delivery,4,4,4,4,205,202,0,0.0,2,8.534,55.066,63.6,0,B361,delivery_service,Delivery,Delivery
0,24,Movement,4,5,4,5,209,217,8,11.45,4,17.068,80.668,69.218,0,B442,empty_repositioning,Position,Pickup
0,25,Pickup,5,5,5,5,220,217,0,0.0,2,8.534,69.218,77.752,1,B442,pickup_service,Pickup,Pickup
0,26,Movement,5,2,5,2,223,233,10,27.57,3,12.801,90.553,62.983,1,B442,passenger_flight,Position,Delivery
0,27,Delivery,2,2,2,2,236,233,0,0.0,2,8.534,62.983,71.517,0,B442,delivery_service,Delivery,Delivery
0,28,Movement,2,2,2,2,236,236,0,0.0,0,0.0,71.517,71.517,0,B490,empty_repositioning,Position,Pickup
0,29,Pickup,2,2,2,2,239,236,0,0.0,2,8.534,71.517,80.051,1,B490,pickup_service,Pickup,Pickup
0,30,Movement,2,4,2,4,239,247,8,16.13,0,8.534,80.051,63.921,1,B490,passenger_flight,Position,Delivery
0,31,Delivery,4,4,4,4,250,247,0,0.0,2,8.534,63.921,72.455,0,B490,delivery_service,Delivery,Delivery
0,32,Movement,4,10,4,10,264,278,14,42.86,14,59.738,132.193,89.333,0,B675,empty_repositioning,Position,Pickup
0,33,Pickup,10,10,10,10,281,278,0,0.0,2,8.534,89.333,97.867,1,B675,pickup_service,Pickup,Pickup
0,34,Movement,10,3,10,3,287,304,17,54.92,6,25.602,123.469,68.549,1,B675,passenger_flight,Position,Delivery
0,35,Delivery,3,3,3,3,307,304,0,0.0,2,8.534,68.549,77.083,0,B675,delivery_service,Delivery,Delivery
0,36,Movement,3,3,3,3,310,310,0,0.0,3,12.801,89.884,89.884,0,B834,empty_repositioning,Position,Pickup
0,37,Pickup,3,3,3,3,313,310,0,0.0,2,8.534,89.884,98.418,1,B834,pickup_service,Pickup,Pickup
0,38,Movement,3,9,3,9,313,330,17,52.78,0,21.335,98.418,45.638,1,B834,passenger_flight,Position,Delivery
0,39,Delivery,9,9,9,9,333,330,0,0.0,2,8.534,45.638,54.172,0,B834,delivery_service,Delivery,Delivery
0,40,Movement,9,9,9,9,339,339,0,0.0,6,25.602,79.774,79.774,0,B962,empty_repositioning,Position,Pickup
0,41,Pickup,9,9,9,9,342,339,0,0.0,2,8.534,79.774,88.308,1,B962,pickup_service,Pickup,Pickup
0,42,Movement,9,3,9,3,342,359,17,52.78,0,34.136,88.308,35.528,1,B962,passenger_flight,Position,Delivery
