time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
20,06:00,10,10,인천공항,1,19
21,06:01,10,10,인천공항,1,19
22,06:02,1,1,서울역,1,0
22,06:02,10,10,인천공항,1,19
23,06:03,1,1,서울역,1,0
23,06:03,6,6,일산,1,15
24,06:04,1,1,서울역,1,0
24,06:04,6,6,일산,1,15
25,06:05,10,10,인천공항,1,9
25,06:05,6,6,일산,1,15
26,06:06,10,10,인천공항,1,9
27,06:07,10,10,인천공항,1,9
28,06:08,10,10,인천공항,1,9
29,06:09,10,10,인천공항,1,9
30,06:10,10,10,인천공항,1,9
31,06:11,2,2,수서,1,21
31,06:11,6,6,일산,1,10
32,06:12,2,2,수서,1,21
32,06:12,3,3,삼성,1,2
32,06:12,6,6,일산,1,10
33,06:13,1,1,서울역,1,20
33,06:13,10,10,인천공항,1,14
33,06:13,2,2,수서,1,21
33,06:13,3,3,삼성,1,2
33,06:13,6,6,일산,3,"5,10,12"
34,06:14,1,1,서울역,1,20
34,06:14,10,10,인천공항,2,"3,14"
34,06:14,3,3,삼성,1,2
34,06:14,6,6,일산,2,"5,12"
35,06:15,1,1,서울역,1,20
35,06:15,10,10,인천공항,2,"3,14"
35,06:15,6,6,일산,2,"5,12"
36,06:16,10,10,인천공항,1,3
39,06:19,10,10,인천공항,1,17
39,06:19,2,2,수서,1,15
39,06:19,4,4,여의도,1,13
40,06:20,10,10,인천공항,2,"0,17"
40,06:20,2,2,수서,1,15
40,06:20,3,3,삼성,1,19
40,06:20,4,4,여의도,1,13
41,06:21,10,10,인천공항,2,"0,17"
41,06:21,2,2,수서,1,15
41,06:21,3,3,삼성,1,19
41,06:21,4,4,여의도,1,13
41,06:21,7,7,판교,1,16
42,06:22,10,10,인천공항,1,0
42,06:22,3,3,삼성,1,19
42,06:22,7,7,판교,1,16
42,06:22,9,9,평택,1,8
43,06:23,7,7,판교,1,16
43,06:23,9,9,평택,1,8
44,06:24,9,9,평택,1,8
45,06:25,2,2,수서,1,15
46,06:26,10,10,인천공항,1,0
46,06:26,2,2,수서,1,15
47,06:27,10,10,인천공항,1,0
47,06:27,2,2,수서,1,15
47,06:27,3,3,삼성,1,19
47,06:27,5,5,김포공항,1,4
48,06:28,10,10,인천공항,1,0
48,06:28,3,3,삼성,2,"9,19"
48,06:28,4,4,여의도,1,1
48,06:28,5,5,김포공항,1,4
48,06:28,7,7,판교,1,10
49,06:29,2,2,수서,1,5
49,06:29,3,3,삼성,2,"9,19"
49,06:29,4,4,여의도,1,1
49,06:29,5,5,김포공항,1,4
49,06:29,7,7,판교,1,10
50,06:30,2,2,수서,1,5
50,06:30,3,3,삼성,1,9
50,06:30,4,4,여의도,1,1
50,06:30,7,7,판교,2,"10,12"
51,06:31,10,10,인천공항,1,20
51,06:31,2,2,수서,1,5
51,06:31,3,3,삼성,1,9
51,06:31,7,7,판교,1,12
52,06:32,10,10,인천공항,3,"2,20,21"
52,06:32,3,3,삼성,1,9
52,06:32,5,5,김포공항,1,6
52,06:32,7,7,판교,1,12
53,06:33,10,10,인천공항,3,"2,20,21"
53,06:33,3,3,삼성,2,"9,14"
53,06:33,5,5,김포공항,1,6
54,06:34,10,10,인천공항,3,"2,20,21"
54,06:34,3,3,삼성,2,"3,14"
54,06:34,5,5,김포공항,1,6
55,06:35,10,10,인천공항,1,20
55,06:35,3,3,삼성,2,"3,14"
56,06:36,10,10,인천공항,1,20
56,06:36,3,3,삼성,1,3
56,06:36,6,6,일산,1,11
57,06:37,6,6,일산,1,11
58,06:38,1,1,서울역,1,18
58,06:38,6,6,일산,1,11
59,06:39,1,1,서울역,1,18
59,06:39,3,3,삼성,1,17
59,06:39,6,6,일산,1,7
59,06:39,9,9,평택,1,13
60,06:40,1,1,서울역,1,18
60,06:40,10,10,인천공항,1,21
60,06:40,3,3,삼성,1,17
60,06:40,6,6,일산,1,7
60,06:40,9,9,평택,1,13
61,06:41,10,10,인천공항,1,21
61,06:41,3,3,삼성,1,17
61,06:41,6,6,일산,2,"7,15"
61,06:41,9,9,평택,1,13
62,06:42,10,10,인천공항,2,"16,21"
62,06:42,3,3,삼성,1,8
62,06:42,6,6,일산,1,15
63,06:43,10,10,인천공항,1,16
63,06:43,3,3,삼성,1,8
63,06:43,6,6,일산,1,15
