horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.003
40,70,26,26,14,30,4203,15,1001790.0,20.004
60,90,31,31,18,48,4185,15,1080370.0,20.004
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.005
120,150,73,73,23,119,4114,15,1963090.0,20.043
140,170,132,130,86,205,4026,17,6154310.0,20.129
160,190,110,106,74,279,3949,20,8408120.0,20.317
180,210,96,93,65,344,3881,23,6964750.0,20.271
200,230,80,77,49,393,3829,26,6274720.0,20.179
220,250,71,71,44,437,3785,26,1861940.0,20.005
240,270,114,114,46,483,3739,26,3213920.0,20.235
260,290,181,178,116,599,3621,28,9156900.0,20.01
280,310,175,169,101,700,3514,34,13144970.0,20.01
300,330,168,166,108,808,3404,36,7639820.0,20.008
320,350,142,137,84,892,3316,40,11775310.0,20.066
340,370,124,119,83,975,3229,44,11219700.0,20.068
360,390,88,87,64,1039,3164,45,4523150.0,20.304
380,410,79,79,47,1086,3117,45,2649590.0,20.007
400,430,80,79,52,1138,3065,45,3996610.0,20.21
420,450,68,67,46,1184,3018,46,3766900.0,20.044
440,470,59,59,36,1220,2982,46,2016190.0,20.006
460,490,69,69,40,1260,2942,46,2379230.0,20.005
480,510,89,89,51,1311,2891,46,2797760.0,20.006
500,530,130,130,76,1387,2815,46,3307270.0,20.432
520,550,136,136,90,1477,2725,46,3470770.0,20.007
540,570,131,131,80,1557,2645,46,3386650.0,20.348
560,590,124,122,80,1637,2563,48,6018220.0,20.074
580,610,136,135,84,1721,2478,49,5179470.0,20.347
600,630,161,161,85,1806,2393,49,4123620.0,20.196
620,650,206,202,134,1940,2257,51,11622310.0,20.011
640,670,224,222,123,2063,2132,53,8683510.0,20.014
660,690,285,283,155,2218,1975,55,9312770.0,20.016
680,710,351,345,202,2420,1767,61,16743260.0,20.021
700,730,366,357,217,2637,1542,69,21109980.0,20.02
720,750,312,286,194,2831,1328,89,44246760.0,20.019
740,770,226,212,134,2965,1181,102,25602670.0,20.015
760,790,202,200,125,3090,1055,103,7296470.0,20.01
780,810,178,177,112,3202,942,104,5211050.0,20.013
800,830,174,168,100,3302,836,110,11344100.0,20.01
820,850,191,182,107,3409,720,119,16475550.0,20.011
840,870,168,157,106,3515,603,130,19174460.0,20.01
860,890,137,135,88,3603,513,132,7050910.0,20.01
880,910,110,108,71,3674,440,134,6961730.0,20.07
900,930,114,111,67,3741,370,137,8896050.0,20.371
920,950,113,107,70,3811,296,141,12680160.0,20.324
940,970,108,101,63,3874,230,144,14878900.0,20.36
960,990,97,92,64,3938,162,148,11341230.0,20.216
980,1010,82,79,46,3984,114,150,7334910.0,20.131
1000,1030,70,68,49,4033,64,151,5309920.0,20.061
1020,1050,43,42,33,4066,30,152,3188620.0,20.031
1040,1070,22,21,15,4081,14,153,2394440.0,20.034
1060,1090,14,14,11,4092,3,153,617450.0,20.003
1080,1110,3,3,3,4095,0,153,153250.0,20.003
1100,1130,0,0,0,4095,0,153,,0.0
1120,1150,0,0,0,4095,0,153,,0.0
