horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.003
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1080370.0,20.066
80,110,37,37,22,70,4163,15,1244270.0,20.003
100,130,43,43,26,96,4137,15,1361940.0,20.003
120,150,73,73,23,119,4114,15,2118600.0,20.007
140,170,132,129,84,203,4027,18,7931450.0,20.008
160,190,111,107,72,275,3952,21,8655450.0,20.536
180,210,99,95,66,341,3882,25,8437440.0,20.343
200,230,81,76,48,389,3829,30,9169270.0,20.23
220,250,71,71,44,433,3785,30,1986690.0,20.004
240,270,114,111,44,477,3741,30,10942780.0,20.103
260,290,183,173,109,586,3625,37,22637610.0,20.008
280,310,179,168,97,683,3517,48,20979990.0,20.009
300,330,171,165,108,791,3404,53,13647040.0,20.015
320,350,142,136,84,875,3317,56,13765040.0,20.008
340,370,125,120,82,957,3230,61,11521390.0,20.751
360,390,89,89,66,1023,3164,61,2708430.0,20.005
380,410,79,79,46,1069,3118,61,2725500.0,20.006
400,430,81,80,53,1122,3065,61,4176340.0,20.178
420,450,68,67,46,1168,3018,62,3865610.0,20.188
440,470,59,59,37,1205,2981,62,2067140.0,20.004
460,490,68,68,39,1244,2942,62,2355050.0,20.004
480,510,89,89,50,1294,2892,62,2812570.0,20.147
500,530,131,131,78,1372,2814,62,3364440.0,20.408
520,550,135,135,89,1461,2725,62,3547760.0,20.407
540,570,131,128,76,1537,2647,64,7932410.0,20.006
560,590,126,117,73,1610,2566,72,16292620.0,20.261
580,610,139,135,84,1694,2479,75,10076160.0,20.007
600,630,162,160,84,1778,2393,77,7567560.0,20.01
620,650,206,195,126,1904,2261,83,19777880.0,20.009
640,670,228,213,112,2016,2137,95,24906960.0,20.01
660,690,290,213,114,2130,2002,116,112288600.0,20.013
680,710,378,221,127,2257,1818,173,226374690.0,20.017
700,730,417,221,129,2386,1605,257,282985810.0,20.021
720,750,375,201,121,2507,1387,354,254497330.0,20.036
740,770,285,192,108,2615,1194,439,139528230.0,20.015
760,790,215,202,126,2741,1056,451,23298470.0,20.014
780,810,179,172,107,2848,942,458,13680400.0,20.01
800,830,174,170,98,2946,840,462,8973960.0,20.009
820,850,195,184,106,3052,723,473,19814200.0,20.009
840,870,171,157,101,3153,608,487,23677200.0,20.013
860,890,142,137,91,3244,512,492,10931750.0,20.007
880,910,109,106,68,3312,442,494,8980300.0,20.042
900,930,116,108,66,3378,368,502,16722890.0,20.497
920,950,111,107,70,3448,295,505,10311550.0,20.127
940,970,107,98,58,3506,234,508,18383740.0,20.193
960,990,101,93,66,3572,162,514,17440740.0,20.226
980,1010,82,79,45,3617,115,516,8057280.0,20.191
1000,1030,71,70,53,3670,61,517,3936760.0,20.08
1020,1050,40,39,30,3700,30,518,3060370.0,20.127
1040,1070,22,21,15,3715,14,519,2394440.0,20.049
1060,1090,14,14,11,3726,3,519,622080.0,20.025
1080,1110,3,3,3,3729,0,519,153250.0,20.004
1100,1130,0,0,0,3729,0,519,,0.0
1120,1150,0,0,0,3729,0,519,,0.0
