vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1057,63.49,33,33,513,1859.52,1859.52,0.0,466,39,39
1,2,7,1087,94.132,35,35,493,1742.17,1742.17,0.0,522,36,36
2,3,3,1100,44.849,38,36,512,1824.67,1797.63,27.04,506,41,41
3,4,9,1076,66.13,34,32,466,1650.15,1622.14,28.01,532,39,39
4,5,9,1033,91.73,30,30,435,1579.28,1579.28,0.0,526,36,36
5,6,9,1080,74.849,36,33,446,1557.04,1520.53,36.51,552,41,41
6,7,10,1098,73.374,34,33,519,1869.74,1858.29,11.45,495,42,42
7,8,9,1081,113.064,33,29,416,1434.17,1375.46,58.71,593,36,36
8,9,9,969,56.734,31,27,407,1439.07,1382.58,56.49,506,28,28
9,10,9,979,95.997,29,27,419,1505.99,1469.91,36.08,494,33,33
10,1,3,1072,118.178,31,28,403,1407.97,1356.42,51.55,597,36,36
11,2,4,1094,94.226,37,34,453,1569.16,1528.91,40.25,565,38,38
12,3,9,981,58.8,26,26,381,1370.92,1370.92,0.0,534,33,33
13,4,9,1031,92.955,36,30,421,1426.88,1343.65,83.23,542,34,34
14,5,9,995,54.908,32,30,389,1357.05,1347.99,9.06,528,39,39
15,6,9,953,72.627,29,26,346,1188.9,1158.18,30.72,543,32,32
16,7,9,990,104.531,28,27,371,1314.02,1291.96,22.06,551,34,34
17,8,9,968,86.436,27,26,333,1159.23,1137.17,22.06,573,31,31
18,9,9,1002,113.064,30,26,360,1251.78,1193.37,58.41,576,33,33
19,10,9,964,30.468,40,33,409,1365.16,1270.11,95.05,471,42,42
20,1,9,938,103.559,26,25,340,1204.04,1186.0,18.04,540,29,29
21,2,9,987,115.754,24,21,267,878.9,829.19,49.71,672,24,24
22,3,9,967,42.49,32,30,397,1392.5,1357.68,34.82,494,38,38
23,4,9,954,34.008,24,22,303,1061.63,1028.12,33.51,595,28,28
24,5,9,956,55.343,30,26,346,1202.53,1094.85,107.68,550,30,30
25,6,9,951,56.499,30,27,324,1087.1,1033.37,53.73,559,34,34
26,7,9,963,113.064,32,30,378,1302.48,1267.66,34.82,515,35,35
27,8,9,946,80.508,32,30,355,1230.91,1185.46,45.45,519,36,36
28,9,7,1047,44.817,43,34,407,1265.06,1127.4,137.66,562,39,39
29,10,9,942,113.064,32,26,339,1126.43,1053.08,73.35,539,32,32
30,1,3,1089,55.433,27,24,311,1076.46,1025.5,50.96,718,30,30
31,2,3,1090,55.529,41,33,390,1261.05,1149.42,111.63,626,37,37
32,3,9,968,104.531,19,18,222,752.04,742.43,9.61,694,26,26
33,4,9,1090,113.064,30,22,289,931.85,775.36,156.49,743,29,29
34,5,9,1114,54.693,31,25,315,1046.44,968.77,77.67,737,31,31
35,6,10,1085,120.018,27,23,280,918.16,854.82,63.34,745,30,30
36,7,7,1056,98.642,20,16,198,634.88,582.15,52.73,818,20,20
37,8,5,1026,42.533,32,26,292,926.8,857.91,68.89,676,29,29
38,9,5,1044,88.656,33,27,363,1182.77,1072.73,110.04,619,31,31
39,10,5,1047,80.936,20,15,206,690.02,626.62,63.4,801,20,20
40,1,5,1092,144.604,32,27,347,1159.74,1090.8,68.94,675,35,35
41,2,9,912,93.744,27,24,276,911.69,873.71,37.98,578,29,29
42,3,9,943,78.079,26,21,252,820.94,746.69,74.25,641,25,25
43,4,9,926,72.566,33,25,301,999.09,864.13,134.96,567,29,29
44,5,3,1042,108.319,18,13,185,579.84,531.43,48.41,819,19,19
45,6,10,1098,125.674,16,13,164,531.62,503.05,28.57,898,18,18
46,7,9,966,113.064,14,13,171,594.76,571.37,23.39,765,15,15
47,8,9,982,113.064,23,18,212,695.86,587.4,108.46,724,23,23
48,9,9,927,76.833,31,23,298,966.46,798.34,168.12,569,30,30
49,10,9,939,102.278,29,26,278,905.3,836.46,68.84,603,29,29
50,1,9,983,113.064,19,17,178,600.36,554.77,45.59,771,17,17
51,2,9,940,102.278,26,22,245,817.82,755.53,62.29,639,28,28
52,3,7,1034,101.139,36,28,317,973.11,860.13,112.98,651,33,33
53,4,9,1004,113.064,30,24,293,947.78,832.26,115.52,653,29,29
54,5,5,1033,140.964,30,22,260,807.5,700.76,106.74,721,26,26
55,6,8,1026,112.2,17,15,190,656.65,615.22,41.43,796,20,20
56,7,5,1013,107.566,22,18,204,668.45,608.66,59.79,757,26,26
57,8,10,1079,132.794,23,20,223,733.58,676.54,57.04,802,27,27
58,9,9,987,118.294,24,17,228,765.17,601.01,164.16,721,19,19
59,10,10,1099,120.191,40,29,348,1093.69,913.85,179.84,675,38,38
60,1,10,1033,103.501,27,23,247,795.08,733.71,61.37,734,26,26
61,2,7,1011,114.77,38,30,295,900.73,766.55,134.18,638,39,39
62,3,10,1038,40.445,29,23,271,868.17,762.54,105.63,705,31,31
63,4,10,1045,69.167,29,22,267,865.68,740.68,125.0,716,31,31
64,5,9,966,56.382,27,21,253,828.56,709.26,119.3,657,28,28
65,6,5,1052,140.964,35,26,297,982.21,811.8,170.41,689,33,33
66,7,9,1015,121.598,19,16,188,627.56,554.03,73.53,787,20,20
67,8,9,977,93.243,17,14,149,468.53,428.84,39.69,796,16,16
68,9,3,1038,113.614,23,19,239,810.61,711.19,99.42,743,28,28
69,10,3,1043,113.614,17,14,193,656.13,609.88,46.25,820,15,15
70,1,9,1057,31.173,36,26,309,952.16,789.6,162.56,682,33,33
71,2,7,1052,125.054,36,29,290,845.93,750.43,95.5,688,37,37
72,3,9,1041,95.806,21,19,193,616.35,598.04,18.31,808,20,20
73,4,10,1063,89.189,34,24,298,890.96,686.99,203.97,699,33,33
74,5,9,1042,113.064,23,16,222,720.35,587.48,132.87,784,18,18
75,6,3,1042,102.561,25,19,231,755.21,641.29,113.92,755,28,28
76,7,10,1028,80.435,30,22,249,771.82,647.4,124.42,723,28,28
77,8,6,1031,121.553,32,23,243,721.59,600.63,120.96,738,25,25
78,9,5,1045,139.298,21,18,169,514.84,487.8,27.04,830,23,23
79,10,7,978,125.054,30,25,266,801.9,708.41,93.49,646,33,33
80,1,8,997,126.981,13,10,125,406.18,331.1,75.08,850,11,11
81,2,7,990,133.588,21,15,160,461.95,362.74,99.21,796,17,17
82,3,7,988,125.054,30,22,218,608.09,521.34,86.75,710,30,30
83,4,10,1074,37.531,36,23,291,833.63,612.42,221.21,723,30,30
84,5,10,1008,108.416,29,25,250,764.12,686.29,77.83,690,34,34
85,6,6,988,130.288,18,15,171,556.64,486.13,70.51,783,17,17
86,7,10,1041,125.674,31,25,255,778.19,667.59,110.6,722,32,32
87,8,10,1020,125.674,17,14,145,451.28,380.82,70.46,839,18,18
88,9,9,996,99.538,26,19,189,552.65,438.42,114.23,761,23,23
89,10,10,996,112.148,30,22,234,642.42,547.12,95.3,708,27,27
90,1,10,896,122.758,20,18,149,413.59,390.69,22.9,705,21,21
91,2,10,1043,121.094,16,13,128,377.56,344.94,32.62,885,15,15
92,3,10,1023,55.938,31,23,249,742.11,613.33,128.78,716,29,29
93,4,10,987,112.148,21,16,149,403.2,305.18,98.02,800,19,19
94,5,8,819,137.528,10,9,91,289.17,278.97,10.2,700,14,14
95,6,10,1029,101.203,27,20,224,714.25,590.91,123.34,757,24,24
96,7,6,826,146.474,16,14,106,285.17,251.63,33.54,686,17,17
97,8,6,841,131.534,22,19,167,471.88,421.62,50.26,624,25,25
98,9,6,837,131.534,10,9,98,313.27,308.29,4.98,709,15,15
99,10,6,821,133.578,19,18,150,453.91,442.46,11.45,627,22,22
100,1,9,897,113.064,20,16,141,363.54,315.13,48.41,706,25,25
101,2,6,876,140.068,14,11,116,316.27,282.17,34.1,732,14,14
102,3,6,801,144.068,19,13,131,364.91,280.69,84.22,634,18,18
103,4,6,835,137.323,18,13,138,389.64,303.71,85.93,667,15,15
104,5,8,1014,97.112,30,23,231,676.69,552.71,123.98,721,31,31
105,6,6,819,143.558,18,14,143,407.7,337.68,70.02,640,18,18
106,7,6,873,153.678,23,17,162,406.53,313.81,92.72,667,22,22
107,8,10,979,129.628,25,17,188,497.66,377.68,119.98,745,23,23
108,9,10,981,129.628,26,19,207,595.22,447.32,147.9,722,26,26
109,10,6,849,140.068,14,12,131,412.3,379.38,32.92,684,17,17
110,1,8,826,146.334,16,11,111,310.42,235.13,75.29,689,13,13
111,2,8,835,134.488,8,7,75,232.87,222.67,10.2,742,9,9
112,3,6,869,131.534,14,12,101,277.84,231.85,45.99,736,16,16
113,4,6,858,140.068,14,11,102,294.84,246.5,48.34,718,19,19
