horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.012
20,50,23,23,16,16,4217,15,883410.0,20.006
40,70,26,26,14,30,4203,15,1001790.0,20.006
60,90,31,31,18,48,4185,15,1080370.0,20.007
80,110,37,37,22,70,4163,15,1163810.0,20.006
100,130,43,43,26,96,4137,15,1349180.0,20.005
120,150,73,72,22,118,4114,16,3155750.0,20.053
140,170,132,130,86,204,4026,18,6252790.0,20.645
160,190,110,106,74,278,3949,21,8490330.0,20.067
180,210,96,94,65,343,3882,23,5574580.0,20.174
200,230,81,76,48,391,3830,27,9390190.0,20.219
220,250,72,71,43,434,3786,28,3560540.0,20.179
240,270,115,115,50,484,3736,28,3392740.0,20.292
260,290,178,175,113,597,3622,29,9218630.0,20.01
280,310,176,167,98,695,3515,38,17599410.0,20.012
300,330,169,165,105,800,3406,42,10494170.0,20.011
320,350,144,137,84,884,3318,46,14948340.0,20.009
340,370,126,121,84,968,3229,51,11452450.0,20.837
360,390,88,88,66,1034,3163,51,2690380.0,20.008
380,410,78,78,45,1079,3118,51,2682910.0,20.009
400,430,81,80,52,1131,3066,51,4041550.0,20.261
420,450,69,68,47,1178,3018,52,3834930.0,20.151
440,470,59,59,37,1215,2981,52,2058120.0,20.006
460,490,68,68,39,1254,2942,52,2339160.0,20.119
480,510,89,89,50,1304,2892,52,2822770.0,20.008
500,530,131,131,77,1381,2815,52,3383330.0,20.008
520,550,136,135,90,1471,2724,53,5124790.0,20.126
540,570,130,130,78,1549,2646,53,3341700.0,20.009
560,590,125,123,80,1629,2564,55,6077260.0,20.251
580,610,137,134,82,1711,2480,57,8549820.0,20.717
600,630,163,162,88,1799,2391,58,5910110.0,20.009
620,650,204,201,132,1931,2258,59,10357100.0,20.009
640,670,225,222,121,2052,2134,62,10367760.0,20.011
660,690,287,280,154,2206,1973,69,16373950.0,20.015
680,710,349,326,189,2395,1773,80,37871680.0,20.017
700,730,372,313,185,2580,1563,105,87287860.0,20.022
720,750,333,272,173,2753,1348,147,94073420.0,20.023
740,770,246,213,134,2887,1182,179,55126960.0,20.016
760,790,203,202,129,3016,1052,180,5857310.0,20.012
780,810,175,173,109,3125,941,182,6246630.0,20.01
800,830,173,169,97,3222,840,186,9091190.0,20.013
820,850,195,186,111,3333,720,195,17062070.0,20.019
840,870,168,156,101,3434,607,207,20464210.0,20.01
860,890,141,135,88,3522,513,213,12387770.0,20.163
880,910,110,108,69,3591,442,215,7166790.0,20.038
900,930,116,108,65,3656,369,223,16112350.0,20.374
920,950,112,109,74,3730,292,226,8147360.0,20.371
940,970,104,99,60,3790,231,227,12056900.0,20.065
960,990,98,94,67,3857,160,231,10836860.0,20.135
980,1010,80,79,45,3902,115,231,4360210.0,20.277
1000,1030,71,69,50,3952,63,233,5361370.0,20.092
1020,1050,42,41,33,3985,29,234,3084350.0,20.099
1040,1070,21,21,15,4000,14,234,904040.0,20.069
1060,1090,14,14,12,4012,2,234,622080.0,20.066
1080,1110,2,2,2,4014,0,234,98330.0,20.01
1100,1130,0,0,0,4014,0,234,,0.0
1120,1150,0,0,0,4014,0,234,,0.0
