vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,7,1087,106.382,34,34,518,1855.7,1855.7,0.0,485,42,42
1,2,3,1100,55.575,36,35,513,1840.13,1835.15,4.98,503,42,42
2,3,10,1098,46.661,34,33,522,1892.47,1877.59,14.88,494,41,41
3,4,9,1085,55.353,32,32,479,1738.2,1738.2,0.0,528,39,39
4,5,9,1033,84.117,31,31,432,1545.64,1545.64,0.0,533,34,34
5,6,9,1057,83.196,34,32,432,1519.1,1492.96,26.14,551,37,37
6,7,9,1080,109.576,38,35,492,1709.4,1679.96,29.44,502,43,43
7,8,9,1081,113.064,34,32,443,1581.7,1537.58,44.12,564,37,37
8,9,9,1002,42.621,36,33,444,1557.7,1517.47,40.23,482,38,38
9,10,9,979,95.997,28,28,397,1414.26,1414.26,0.0,510,36,36
10,1,9,995,54.908,38,32,452,1554.07,1460.82,93.25,463,40,40
11,2,9,954,100.358,28,24,294,983.0,930.78,52.22,602,29,29
12,3,4,1106,67.201,34,31,398,1359.01,1335.12,23.89,634,37,37
13,4,3,1061,122.148,28,27,336,1172.94,1150.88,22.06,661,32,32
14,5,9,968,86.436,27,26,348,1218.06,1213.08,4.98,552,34,34
15,6,3,1091,53.95,39,33,410,1357.11,1286.07,71.04,599,41,41
16,7,9,987,115.754,22,21,293,1035.43,1013.37,22.06,640,27,27
17,8,9,962,61.863,31,29,371,1292.14,1252.04,40.1,519,36,36
18,9,9,981,40.399,32,28,388,1366.59,1291.67,74.92,523,35,35
19,10,9,982,87.464,31,29,371,1300.56,1260.46,40.1,541,35,35
20,1,9,954,54.709,31,29,384,1362.45,1336.31,26.14,496,37,37
21,2,3,1047,40.567,36,32,429,1468.95,1391.67,77.28,544,37,37
22,3,5,1092,128.087,33,30,380,1272.04,1224.24,47.8,636,38,38
23,4,9,1102,50.883,29,26,356,1257.59,1187.69,69.9,682,32,32
24,5,5,1046,39.383,35,30,388,1290.95,1224.38,66.57,586,36,36
25,6,7,1067,40.819,34,30,372,1254.37,1203.63,50.74,623,36,36
26,7,10,1054,34.492,36,31,415,1411.55,1314.28,97.27,567,36,36
27,8,9,926,44.033,28,26,325,1114.57,1087.53,27.04,541,30,30
28,9,5,1026,91.6,33,29,364,1238.45,1181.49,56.96,590,36,36
29,10,7,1047,133.588,23,21,269,906.07,851.07,55.0,724,27,27
30,1,9,927,93.744,25,21,302,1027.32,962.95,64.37,573,26,26
31,2,5,1033,108.668,27,23,279,935.35,876.21,59.14,692,31,31
32,3,9,963,113.064,28,22,277,887.8,769.72,118.08,626,30,30
33,4,8,1026,56.081,31,24,319,1041.12,948.62,92.5,645,31,31
34,5,9,970,121.598,30,23,298,948.02,849.51,98.51,612,30,30
35,6,9,964,82.467,38,28,305,928.06,796.51,131.55,591,34,34
36,7,10,1079,132.794,30,24,284,916.24,817.92,98.32,737,29,29
37,8,5,1026,147.53,24,19,232,726.96,673.88,53.08,752,21,21
38,9,9,962,117.426,32,24,288,900.41,732.46,167.95,612,31,31
39,10,5,1042,88.656,27,23,290,985.13,930.44,54.69,694,29,29
40,1,5,1050,76.669,26,20,253,805.66,729.36,76.3,745,26,26
41,2,9,1031,110.814,29,26,235,700.8,659.67,41.13,738,29,29
42,3,9,969,121.598,31,26,299,958.6,892.04,66.56,602,34,34
43,4,7,1034,132.917,41,31,335,1034.93,882.66,152.27,621,39,39
44,5,9,983,113.064,20,15,201,652.44,579.21,73.23,740,21,21
45,6,3,1040,82.717,25,22,258,860.82,833.47,27.35,730,26,26
46,7,9,1090,113.064,23,19,270,910.3,839.58,70.72,770,25,25
47,8,10,1076,38.09,21,16,193,620.11,577.52,42.59,843,20,20
48,9,10,1099,120.191,39,27,349,1147.89,938.27,209.62,678,36,36
49,10,9,982,113.064,25,20,231,734.2,674.06,60.14,709,21,21
50,1,8,977,127.484,19,18,184,615.55,610.57,4.98,751,21,21
51,2,8,865,120.744,24,20,226,696.26,636.95,59.31,587,26,26
52,3,8,799,127.484,29,25,246,774.66,720.44,54.22,493,30,30
53,4,9,939,102.278,32,24,287,933.71,756.47,177.24,598,27,27
54,5,10,1098,125.674,32,25,326,1047.94,886.1,161.84,704,34,34
55,6,7,1011,114.77,37,30,343,1118.92,994.93,123.99,592,38,38
56,7,9,987,118.294,37,30,334,1080.47,894.46,186.01,581,36,36
57,8,9,942,76.678,27,22,263,860.16,762.83,97.33,623,28,28
58,9,9,940,76.337,32,24,260,813.82,671.26,142.56,618,31,31
