time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
1,05:41,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
2,05:42,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
3,05:43,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
4,05:44,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
5,05:45,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
6,05:46,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
7,05:47,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
8,05:48,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
9,05:49,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
10,05:50,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
11,05:51,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
12,05:52,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
13,05:53,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
14,05:54,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
15,05:55,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
16,05:56,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
17,05:57,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
18,05:58,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
19,05:59,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
20,06:00,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
21,06:01,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
22,06:02,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
23,06:03,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
24,06:04,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
25,06:05,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
26,06:06,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
27,06:07,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
28,06:08,4,4,여의도,18,"3,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
29,06:09,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
30,06:10,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
31,06:11,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
32,06:12,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
33,06:13,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
34,06:14,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
35,06:15,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
36,06:16,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
37,06:17,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
38,06:18,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
39,06:19,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
40,06:20,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
41,06:21,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
42,06:22,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
43,06:23,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
44,06:24,4,4,여의도,17,"13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
45,06:25,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
46,06:26,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
47,06:27,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
48,06:28,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
49,06:29,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
50,06:30,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
51,06:31,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
52,06:32,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
53,06:33,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
54,06:34,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
55,06:35,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
56,06:36,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
57,06:37,4,4,여의도,19,"8,13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
58,06:38,4,4,여의도,18,"13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
59,06:39,4,4,여의도,18,"13,19,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173"
