vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1111,66.174,39,36,539,1901.51,1806.88,94.63,480,46,46
1,2,2,1093,91.492,37,34,500,1740.79,1707.65,33.14,523,35,35
2,3,3,1100,56.821,33,32,520,1900.79,1867.27,33.52,506,37,37
3,4,4,1091,26.86,34,33,496,1791.66,1736.19,55.47,515,40,40
4,5,5,1080,57.641,34,32,482,1721.23,1693.22,28.01,522,38,38
5,6,6,1120,26.772,32,30,472,1720.1,1623.25,96.85,572,38,38
6,7,7,1045,51.61,36,34,495,1761.02,1702.86,58.16,472,39,39
7,8,8,1065,65.156,34,29,426,1495.5,1416.5,79.0,569,35,35
8,9,9,1081,113.064,33,33,464,1664.65,1664.65,0.0,545,36,36
9,10,10,1119,60.678,35,33,480,1697.08,1644.61,52.47,551,44,44
10,1,1,1000,43.194,31,28,396,1387.86,1313.71,74.15,538,33,33
11,2,2,1004,36.196,34,28,379,1291.1,1153.14,137.96,559,33,33
12,3,3,999,49.5,26,24,369,1319.83,1249.01,70.82,568,31,31
13,4,4,983,30.966,24,22,319,1107.79,1037.44,70.35,612,26,26
14,5,5,1118,39.938,36,32,459,1602.76,1506.25,96.51,575,42,42
15,6,6,976,26.04,34,28,394,1349.48,1191.42,158.06,508,37,37
16,7,7,1092,44.173,38,33,469,1645.5,1515.74,129.76,541,41,41
17,8,8,987,41.57,39,32,419,1408.65,1298.56,110.09,494,37,37
18,9,9,946,80.508,39,33,380,1237.89,1124.13,113.76,490,38,38
19,10,10,983,45.864,35,27,380,1272.05,1108.31,163.74,531,36,36
20,1,1,998,55.344,30,25,368,1264.59,1143.07,121.52,566,32,32
21,2,2,1028,52.637,30,25,359,1240.06,1114.88,125.18,607,31,31
22,3,3,1007,49.502,28,26,365,1296.6,1230.49,66.11,580,31,31
23,4,4,1055,96.116,36,31,384,1257.91,1199.26,58.65,589,41,41
24,5,5,943,26.627,30,25,331,1100.21,1001.46,98.75,554,29,29
25,6,6,1037,87.374,29,25,334,1137.88,1084.32,53.56,639,32,32
26,7,7,1063,62.737,26,23,333,1160.45,1088.66,71.79,674,28,28
27,8,8,1047,28.879,34,27,335,1098.38,993.02,105.36,646,33,33
28,9,9,927,81.792,24,22,294,1027.6,998.11,29.49,577,28,28
29,10,10,958,32.388,33,30,348,1140.59,1037.7,102.89,538,36,36
30,1,1,978,55.439,28,21,300,1005.79,836.16,169.63,622,28,28
31,2,2,956,43.506,23,20,249,842.79,760.88,81.91,659,24,24
32,3,3,1054,120.258,26,22,288,983.15,913.63,69.52,716,25,25
33,4,4,985,48.126,23,15,226,724.92,560.72,164.2,721,19,19
34,5,5,1039,109.991,30,25,283,926.05,848.87,77.18,696,30,30
35,6,6,984,26.382,34,27,303,967.9,803.17,164.73,617,32,32
36,7,7,999,78.174,28,20,237,728.29,587.26,141.03,718,22,22
37,8,8,949,58.071,32,29,329,1120.54,1057.05,63.49,556,32,32
38,9,9,1081,62.062,37,30,374,1247.71,1114.76,132.95,637,35,35
39,10,10,1102,47.704,36,29,396,1327.59,1212.38,115.21,636,35,35
40,1,1,1060,46.3,16,13,188,640.36,598.01,42.35,838,17,17
41,2,2,1092,62.358,32,27,292,941.05,838.08,102.97,728,36,36
42,3,3,1100,65.098,26,21,246,777.61,681.1,96.51,800,27,27
43,4,4,964,62.824,24,21,266,921.35,821.76,99.59,640,29,29
44,5,5,1044,63.185,32,23,264,803.44,650.17,153.27,720,30,30
45,6,6,960,23.511,39,28,316,898.65,687.27,211.38,582,31,31
46,7,7,1045,100.284,37,32,367,1225.96,1156.1,69.86,600,39,39
47,8,8,1089,77.941,28,22,272,892.36,791.96,100.4,759,29,29
48,9,9,1098,62.904,37,28,321,1010.49,804.65,205.84,707,35,35
49,10,10,981,33.098,26,20,243,788.44,629.97,158.47,690,24,24
50,1,1,1038,92.314,19,17,188,637.91,573.47,64.44,812,19,19
51,2,2,1116,62.824,23,19,232,768.59,670.55,98.04,838,23,23
52,3,3,1042,113.614,34,25,280,844.18,687.18,157.0,694,34,34
53,4,4,1054,65.348,28,23,271,871.03,792.58,78.45,725,29,29
54,5,5,996,20.25,26,20,283,949.13,766.0,183.13,663,25,25
55,6,6,1039,20.799,25,21,266,879.29,767.5,111.79,719,27,27
56,7,7,1007,47.141,29,23,250,763.85,654.75,109.1,701,28,28
57,8,8,1116,57.021,31,22,305,1007.28,820.72,186.56,749,31,31
58,9,9,1133,33.207,29,23,285,925.15,782.11,143.04,790,29,29
59,10,10,1065,90.322,34,28,317,994.1,889.95,104.15,670,39,39
60,1,1,1052,73.654,29,20,245,744.32,568.15,176.17,757,25,25
61,2,2,1049,33.04,24,18,224,686.15,563.68,122.47,779,23,23
62,3,3,1052,43.934,23,19,237,784.36,702.09,82.27,769,23,23
63,4,4,1056,40.336,30,23,267,865.37,704.35,161.02,733,28,28
64,5,5,1060,25.232,37,26,328,1046.8,786.87,259.93,660,36,36
65,6,6,1053,126.538,28,21,228,703.95,587.94,116.01,771,27,27
66,7,7,1069,55.686,29,24,266,842.9,757.43,85.47,735,34,34
67,8,8,970,55.277,26,22,259,819.26,709.25,110.01,651,30,30
68,9,9,981,87.272,20,18,182,565.97,546.11,19.86,755,22,22
69,10,10,1001,17.382,16,13,170,567.9,452.56,115.34,799,16,16
70,1,1,1038,98.163,29,20,223,662.11,509.11,153.0,757,29,29
71,2,2,991,43.003,17,13,171,546.7,448.66,98.04,784,18,18
72,3,3,1013,34.492,19,16,201,666.46,586.04,80.42,776,18,18
73,4,4,1053,82.814,20,15,175,534.41,436.87,97.54,834,22,22
74,5,5,994,88.704,30,24,242,714.59,624.21,90.38,688,32,32
75,6,6,995,108.124,27,22,246,797.82,699.08,98.74,693,28,28
76,7,7,1039,19.91,35,21,274,815.6,572.53,243.07,709,28,28
77,8,8,1038,52.808,24,17,215,702.94,508.65,194.29,779,22,22
78,9,9,1002,93.468,22,18,209,702.02,607.71,94.31,741,26,26
79,10,10,1003,99.882,11,10,143,500.07,466.55,33.52,830,15,15
80,1,1,1048,46.212,27,19,228,710.85,521.99,188.86,772,24,24
81,2,2,1048,45.842,26,18,249,792.24,620.66,171.58,747,26,26
82,3,3,995,111.724,29,22,258,795.75,701.57,94.18,683,27,27
83,4,4,1032,78.357,22,16,210,694.83,553.95,140.88,780,21,21
84,5,5,1062,92.814,24,19,187,553.74,465.62,88.12,825,25,25
85,6,6,1014,66.571,19,15,182,587.61,460.76,126.85,800,16,16
86,7,7,982,30.721,21,15,187,573.72,430.32,143.4,755,20,20
87,8,8,835,136.154,21,15,156,445.23,371.92,73.31,643,18,18
88,9,9,1062,51.204,25,18,227,732.51,561.0,171.51,781,27,27
89,10,10,1031,46.743,27,20,267,840.38,644.31,196.07,722,21,21
90,1,1,1034,132.65,14,11,130,419.94,356.66,63.28,876,14,14
91,2,2,811,92.202,10,8,83,255.44,200.86,54.58,706,11,11
92,3,3,1052,35.402,27,20,219,650.29,511.84,138.45,783,25,25
93,4,4,999,69.288,22,14,183,553.85,349.1,204.75,784,16,16
94,5,5,1011,89.786,27,19,197,547.85,409.02,138.83,764,25,25
95,6,6,1010,87.566,23,17,177,507.19,393.01,114.18,791,21,21
96,7,7,737,63.104,8,5,75,212.28,124.53,87.75,652,5,5
97,8,8,760,58.978,16,13,145,438.22,352.15,86.07,581,17,17
98,9,9,1021,51.204,24,16,199,565.87,396.22,169.65,784,19,19
99,10,10,1009,29.648,20,14,167,505.45,356.54,148.91,808,17,17
100,1,1,998,64.708,18,13,149,455.3,336.08,119.22,817,16,16
101,2,2,1036,38.581,20,13,182,566.2,386.26,179.94,822,16,16
102,3,3,856,111.088,23,18,170,426.77,360.24,66.53,640,23,23
103,4,4,865,118.008,20,12,145,393.0,249.08,143.92,686,17,17
104,5,5,984,49.426,31,21,224,581.47,404.91,176.56,710,25,25
105,6,6,918,38.274,16,12,156,493.57,343.35,150.22,732,15,15
106,7,7,923,84.816,26,19,199,578.96,455.97,122.99,678,23,23
107,8,8,858,72.646,17,13,133,368.13,276.46,91.67,693,16,16
108,9,9,878,56.744,25,19,185,507.48,358.63,148.85,651,21,21
109,10,10,901,95.794,25,18,192,519.89,402.62,117.27,665,22,22
110,1,1,857,109.666,18,13,144,397.51,314.79,82.72,675,19,19
111,2,2,914,103.068,21,16,177,519.72,428.15,91.57,685,26,26
112,3,3,829,110.578,24,17,179,473.71,354.56,119.15,606,22,22
113,4,4,922,114.77,28,19,208,583.74,446.95,136.79,660,27,27
114,5,5,989,96.108,26,18,217,633.95,473.6,160.35,714,29,29
115,6,6,903,131.534,25,21,184,493.1,423.66,69.44,669,25,25
116,7,7,996,42.651,26,18,192,522.68,361.73,160.95,756,24,24
117,8,8,729,69.876,13,10,105,306.81,211.38,95.43,594,15,15
118,9,9,820,40.402,15,9,136,415.22,252.58,162.64,666,9,9
119,10,10,832,95.126,17,12,165,504.17,405.16,99.01,641,13,13
120,1,1,972,87.574,20,14,156,454.84,325.38,129.46,780,18,18
121,2,2,862,108.746,16,11,110,255.21,177.6,77.61,728,12,12
122,3,3,829,111.088,18,13,142,394.48,303.26,91.22,653,17,17
123,4,4,752,60.935,14,11,133,413.09,337.97,75.12,595,12,12
124,5,5,767,87.574,17,13,126,346.19,265.29,80.9,613,14,14
125,6,6,845,155.008,21,16,144,325.95,258.82,67.13,665,18,18
126,7,7,976,63.3,20,14,151,393.57,258.3,135.27,795,15,15
127,8,8,826,146.334,17,13,115,295.12,243.66,51.46,677,17,17
128,9,9,930,64.318,18,12,146,369.2,248.19,121.01,754,15,15
129,10,10,781,45.822,14,10,127,382.79,291.93,90.86,630,12,12
130,1,1,930,63.06,24,14,167,422.03,273.28,148.75,731,16,16
131,2,2,792,101.798,13,9,98,254.18,179.36,74.82,672,11,11
132,3,3,963,48.358,21,13,180,498.99,332.69,166.3,751,16,16
133,4,4,956,85.946,20,12,156,454.77,282.78,171.99,768,16,16
134,5,5,768,112.294,11,7,86,225.13,178.55,46.58,662,10,10
135,6,6,909,125.054,22,16,162,453.21,382.26,70.95,709,19,19
136,7,7,773,15.334,11,6,103,290.95,155.11,135.84,654,8,8
137,8,8,1001,59.588,26,17,208,604.96,373.46,231.5,751,21,21
138,9,9,790,58.798,11,9,109,373.26,280.43,92.83,661,10,10
139,10,10,885,104.328,14,10,119,323.68,259.74,63.94,742,12,12
140,1,1,883,93.982,14,9,95,254.74,184.59,70.15,764,12,12
141,2,2,975,75.273,25,16,180,450.7,274.32,176.38,759,18,18
142,3,3,956,62.105,25,18,200,583.5,426.24,157.26,712,22,22
143,4,4,948,81.296,23,14,169,482.12,329.56,152.56,739,20,20
144,5,5,929,112.294,19,13,150,415.33,342.98,72.35,749,15,15
145,6,6,861,128.162,22,15,158,419.8,335.03,84.77,669,17,17
146,7,7,774,102.736,16,11,109,271.89,213.2,58.69,641,12,12
147,8,8,818,78.388,20,13,180,506.15,309.44,196.71,606,16,16
148,9,9,805,109.444,14,9,103,296.2,231.55,64.65,678,12,12
149,10,10,850,108.328,18,13,141,401.45,318.25,83.2,675,17,17
150,1,1,763,58.812,10,6,75,206.7,127.95,78.75,674,7,7
151,2,2,942,75.498,17,11,127,367.31,244.01,123.3,789,13,13
152,3,3,863,120.698,18,15,138,355.1,302.9,52.2,687,19,19
153,4,4,945,17.286,20,14,153,401.35,276.32,125.03,756,18,18
154,5,5,799,85.574,14,10,106,273.49,198.66,74.83,669,12,12
155,6,6,931,94.38,25,17,180,441.57,317.17,124.4,715,18,18
156,7,7,943,74.314,19,12,138,373.75,242.9,130.85,775,15,15
157,8,8,871,86.064,14,11,113,346.89,254.08,92.81,732,13,13
158,9,9,795,39.053,12,8,112,349.5,209.1,140.4,665,9,9
159,10,10,771,87.397,12,9,96,291.36,223.81,67.55,647,14,14
160,1,1,808,115.408,10,6,84,240.88,135.01,105.87,708,8,8
161,2,2,952,66.356,26,17,177,458.17,306.03,152.14,733,21,21
162,3,3,956,24.939,23,13,179,493.93,289.02,204.91,743,17,17
163,4,4,837,124.414,17,12,121,287.69,198.88,88.81,688,14,14
164,5,5,906,130.798,24,16,160,395.85,291.35,104.5,702,22,22
165,6,6,839,143.558,13,11,89,210.56,189.5,21.06,726,12,12
166,7,7,833,95.318,10,8,77,225.43,167.07,58.36,736,10,10
167,8,8,929,49.483,20,14,151,404.0,253.88,150.12,738,20,20
168,9,9,860,49.728,14,11,110,325.72,232.81,92.91,726,12,12
169,10,10,694,117.132,7,7,67,222.42,222.42,0.0,609,9,9
170,1,1,882,101.322,16,10,104,239.53,162.23,77.3,756,11,11
171,2,2,838,101.798,12,10,93,260.99,209.11,51.88,719,13,13
172,3,3,838,105.818,16,11,111,283.5,210.5,73.0,701,13,13
