horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.004
20,50,23,23,16,16,4217,15,883410.0,20.015
40,70,26,26,14,30,4203,15,1001790.0,20.009
60,90,31,31,18,48,4185,15,1080370.0,20.005
80,110,37,37,22,70,4163,15,1231510.0,20.008
100,130,43,43,26,96,4137,15,1361940.0,20.008
120,150,73,72,22,118,4114,16,3201550.0,20.076
140,170,132,129,85,203,4026,19,7733850.0,20.007
160,190,110,106,73,276,3950,22,8614430.0,20.255
180,210,97,94,67,343,3880,25,6983390.0,20.655
200,230,79,76,47,390,3830,28,6203960.0,20.165
220,250,72,71,44,434,3785,29,3378900.0,20.142
240,270,114,113,48,482,3737,29,6025140.0,20.912
260,290,179,173,110,592,3624,32,15058720.0,20.011
280,310,178,169,99,691,3516,41,18060720.0,20.012
300,330,170,165,106,797,3407,44,12337390.0,20.01
320,350,145,137,86,883,3315,50,15980790.0,20.01
340,370,123,119,82,965,3229,54,9705830.0,20.008
360,390,88,88,65,1030,3164,54,2635970.0,20.014
380,410,79,79,47,1077,3117,54,2700590.0,20.005
400,430,80,78,50,1127,3066,55,5626300.0,20.381
420,450,69,68,47,1174,3018,56,3854600.0,20.176
440,470,59,59,34,1208,2984,56,2064340.0,20.162
460,490,71,71,42,1250,2942,56,2488730.0,20.115
480,510,89,89,51,1301,2891,56,2835530.0,20.006
500,530,130,130,76,1377,2815,56,3356860.0,20.701
520,550,136,134,87,1464,2726,58,6316000.0,20.007
540,570,132,130,77,1541,2648,59,6433210.0,20.007
560,590,127,118,75,1616,2565,67,15828990.0,20.221
580,610,138,135,82,1698,2480,70,8421420.0,20.01
600,630,163,161,82,1780,2398,70,8685600.0,20.02
620,650,211,196,130,1910,2259,79,28135760.0,20.009
640,670,226,214,112,2022,2137,89,21569800.0,20.017
660,690,290,238,122,2144,2000,104,76240880.0,20.018
680,710,376,267,150,2294,1807,147,155113490.0,20.02
700,730,406,244,135,2429,1600,219,232847110.0,20.029
720,750,370,223,135,2564,1378,306,215334250.0,20.032
740,770,276,202,121,2685,1186,377,112411600.0,20.032
760,790,207,204,128,2813,1055,380,9207330.0,20.023
780,810,178,173,112,2925,938,385,10424170.0,20.026
800,830,170,166,97,3022,837,389,9041380.0,20.011
820,850,192,185,109,3131,721,396,14391860.0,20.019
840,870,169,158,109,3240,601,407,19251620.0,20.012
860,890,135,132,84,3324,514,410,8016660.0,20.016
880,910,111,108,70,3394,441,413,8407240.0,20.583
900,930,115,108,65,3459,369,420,14439980.0,20.008
920,950,112,109,70,3529,297,422,9055220.0,20.738
940,970,109,101,62,3591,232,425,17113740.0,20.044
960,990,99,92,65,3656,161,431,14650370.0,20.537
980,1010,81,79,46,3702,114,432,5784690.0,20.251
1000,1030,70,69,52,3754,61,433,3810060.0,20.062
1020,1050,40,39,30,3784,30,434,3099350.0,20.081
1040,1070,22,21,14,3798,15,435,2379810.0,20.009
1060,1090,15,15,12,3810,3,435,672370.0,20.003
1080,1110,3,3,3,3813,0,435,153250.0,20.003
1100,1130,0,0,0,3813,0,435,,0.0
1120,1150,0,0,0,3813,0,435,,0.0
