vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1065,53.07,33,33,524,1901.87,1901.87,0.0,463,39,39
1,2,9,1076,57.62,34,33,504,1816.75,1783.23,33.52,498,37,37
2,3,9,1080,113.064,34,32,504,1812.67,1743.17,69.5,500,38,38
3,4,6,1072,92.33,38,33,496,1758.13,1658.1,100.03,492,42,42
4,5,9,1081,91.731,38,34,466,1620.1,1556.13,63.97,533,41,41
5,6,9,1033,113.064,43,34,494,1703.57,1488.54,215.03,451,44,44
6,7,10,1098,62.367,38,37,537,1921.59,1863.87,57.72,481,40,40
7,8,5,1092,61.347,37,33,505,1813.47,1707.55,105.92,515,36,36
8,9,3,1072,89.527,36,32,484,1735.53,1599.94,135.59,508,40,40
9,10,3,1073,76.198,43,37,530,1832.17,1720.35,111.82,453,45,45
10,1,7,1031,74.759,35,31,461,1619.36,1515.87,103.49,494,38,38
11,2,9,979,56.302,35,32,449,1563.7,1464.11,99.59,454,38,38
12,3,7,1056,98.642,41,32,482,1647.38,1464.23,183.15,504,35,35
13,4,3,1100,50.906,44,36,521,1822.17,1622.98,199.19,499,40,40
14,5,10,1085,41.133,39,31,498,1723.16,1536.09,187.07,511,38,38
15,6,9,1031,64.169,46,36,509,1726.29,1530.89,195.4,442,40,40
16,7,10,1079,132.794,42,35,466,1559.01,1441.66,117.35,533,40,40
17,8,4,1091,76.497,50,41,509,1710.99,1494.84,216.15,484,49,49
18,9,7,1034,133.588,41,32,431,1471.83,1305.63,166.2,531,36,36
19,10,7,1047,127.195,43,31,458,1530.49,1325.32,205.17,511,39,39
20,1,9,1070,57.015,42,35,483,1651.02,1482.78,168.24,501,43,43
21,2,7,1085,120.828,41,33,471,1609.57,1457.53,152.04,538,38,38
22,3,3,1079,105.761,41,30,446,1482.67,1248.35,234.32,563,35,35
23,4,9,1090,88.747,45,37,511,1752.38,1595.39,156.99,489,45,45
24,5,9,1053,55.789,43,34,467,1551.8,1352.39,199.41,502,42,42
25,6,9,1102,113.064,49,36,508,1695.12,1326.25,368.87,516,39,39
26,7,9,986,57.625,37,29,431,1463.56,1269.81,193.75,485,35,35
27,8,3,1043,50.882,45,35,475,1564.88,1367.26,197.62,484,42,42
28,9,10,1078,62.346,49,37,474,1558.44,1266.32,292.12,522,41,41
29,10,9,1042,113.064,46,35,445,1456.1,1170.71,285.39,517,40,40
30,1,9,987,115.754,42,31,444,1488.1,1189.31,298.79,469,37,37
31,2,10,1099,71.807,52,36,504,1608.56,1289.86,318.7,501,47,47
32,3,3,1043,89.588,44,32,485,1653.16,1350.96,302.2,482,38,38
33,4,9,1019,80.13,48,35,471,1535.54,1204.02,331.52,460,44,44
34,5,3,1038,56.562,43,33,445,1487.77,1248.67,239.1,521,36,36
35,6,3,1042,26.276,45,34,463,1530.62,1252.91,277.71,499,40,40
36,7,10,1098,104.149,43,33,454,1520.77,1239.79,280.98,572,36,36
37,8,3,1037,57.363,45,34,442,1446.21,1182.31,263.9,515,40,40
38,9,7,1052,55.836,50,36,456,1439.77,1241.73,198.04,518,39,39
39,10,8,1030,54.495,49,37,490,1614.09,1325.49,288.6,450,45,45
40,1,9,996,66.128,43,32,441,1469.66,1213.46,256.2,481,37,37
41,2,10,1031,73.421,48,32,452,1468.53,1094.56,373.97,505,37,37
42,3,3,1040,54.548,45,34,464,1560.76,1234.7,326.06,494,41,41
43,4,5,1049,98.529,42,30,456,1565.61,1216.32,349.29,519,37,37
44,5,5,1046,56.736,48,35,468,1536.95,1221.34,315.61,496,41,41
45,6,5,1037,32.913,50,35,464,1490.85,1164.77,326.08,493,40,40
46,7,9,990,35.056,48,33,435,1415.0,1134.61,280.39,477,39,39
47,8,10,1084,71.639,45,31,476,1576.4,1217.17,359.23,538,35,35
48,9,10,1063,63.416,45,31,462,1548.75,1150.99,397.76,525,38,38
49,10,3,1034,69.849,49,34,461,1501.79,1167.93,333.86,487,43,43
