horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.03
20,50,23,23,16,16,4217,15,883410.0,20.005
40,70,26,26,14,30,4203,15,1001790.0,20.004
60,90,31,31,18,48,4185,15,1080370.0,20.142
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.005
120,150,73,73,23,119,4114,15,1950330.0,20.005
140,170,132,131,87,206,4026,16,4552000.0,20.195
160,190,110,106,74,280,3949,19,8685850.0,20.377
180,210,96,93,64,344,3882,22,7316010.0,20.032
200,230,81,78,49,393,3830,25,6578750.0,20.203
220,250,72,71,44,437,3785,26,3181300.0,20.14
240,270,114,114,49,486,3736,26,3221890.0,20.228
260,290,178,177,115,601,3620,27,6070460.0,20.009
280,310,174,170,103,704,3513,31,10313880.0,20.012
300,330,167,166,108,812,3404,32,6636370.0,20.01
320,350,142,138,85,897,3316,35,10602550.0,20.343
340,370,124,119,83,980,3229,39,11757280.0,20.597
360,390,88,87,64,1044,3164,40,4712140.0,20.112
380,410,79,79,47,1091,3117,40,2737830.0,20.005
400,430,80,79,51,1142,3066,40,4104650.0,20.23
420,450,69,68,47,1189,3018,41,3996070.0,20.079
440,470,59,59,36,1225,2982,41,2068970.0,20.004
460,490,69,69,40,1265,2942,41,2366470.0,20.006
480,510,89,89,51,1316,2891,41,2797760.0,20.006
500,530,130,130,75,1391,2816,41,3360220.0,20.02
520,550,137,137,92,1483,2724,41,3542930.0,20.256
540,570,130,130,80,1563,2644,41,3286180.0,20.06
560,590,123,121,78,1641,2564,43,6096550.0,20.25
580,610,137,135,82,1723,2481,44,7127950.0,20.064
600,630,164,162,88,1811,2391,46,7577210.0,20.008
620,650,204,201,135,1946,2255,47,10461910.0,20.012
640,670,222,220,123,2069,2130,49,8949050.0,20.012
660,690,283,283,155,2224,1975,49,7038530.0,20.014
680,710,351,346,208,2432,1762,54,15914180.0,20.018
700,730,361,357,213,2645,1546,57,14882350.0,20.019
720,750,316,297,203,2848,1327,73,37906730.0,20.022
740,770,225,217,135,2983,1184,81,18802250.0,20.015
760,790,205,205,129,3112,1055,81,3955860.0,20.014
780,810,178,177,117,3229,937,82,5005450.0,20.01
800,830,169,167,95,3324,840,84,6543050.0,20.01
820,850,195,185,108,3432,722,94,18668610.0,20.01
840,870,170,162,111,3543,603,102,15648010.0,20.01
860,890,137,132,85,3628,513,107,11360190.0,20.067
880,910,110,107,67,3695,443,110,8473190.0,20.364
900,930,117,110,65,3760,371,117,15278210.0,20.864
920,950,114,111,73,3833,295,120,9087570.0,20.372
940,970,107,103,63,3896,230,122,10617170.0,20.105
960,990,97,94,66,3962,161,125,8678890.0,20.137
980,1010,81,79,45,4007,115,126,6240030.0,20.25
1000,1030,71,69,50,4057,63,128,5534900.0,20.195
1020,1050,42,41,31,4088,31,129,3289050.0,20.01
1040,1070,23,21,15,4103,14,131,4099170.0,20.075
1060,1090,14,14,12,4115,2,131,617450.0,20.003
1080,1110,2,2,2,4117,0,131,98330.0,20.003
1100,1130,0,0,0,4117,0,131,,0.0
1120,1150,0,0,0,4117,0,131,,0.0
