vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1107,45.31,34,33,544,1994.97,1937.25,57.72,483,40,40
1,2,2,1090,50.018,31,30,485,1769.13,1718.89,50.24,529,38,38
2,3,3,1041,65.334,34,33,485,1730.13,1706.2,23.93,468,44,44
3,4,4,1063,77.212,34,33,460,1641.26,1619.83,21.43,523,40,40
4,5,5,1097,51.024,36,33,486,1718.91,1647.81,71.1,531,40,40
5,6,6,1080,59.62,38,33,497,1750.65,1657.23,93.42,505,39,39
6,7,7,1131,42.165,37,34,517,1849.11,1774.69,74.42,530,42,42
7,8,8,1087,90.758,36,32,457,1617.57,1539.28,78.29,558,36,36
8,9,9,1046,93.468,30,29,429,1537.01,1496.89,40.12,547,35,35
9,10,10,1047,47.442,31,30,465,1686.27,1616.38,69.89,504,39,39
10,1,1,999,44.125,30,29,437,1585.49,1527.77,57.72,488,37,37
11,2,2,953,53.999,32,29,404,1410.66,1326.91,83.75,477,36,36
12,3,3,988,47.486,28,23,335,1150.43,1029.9,120.53,601,26,26
13,4,4,935,26.616,30,27,356,1229.33,1146.39,82.94,515,32,32
14,5,5,971,38.318,25,22,325,1146.74,1056.69,90.05,590,28,28
15,6,6,992,28.714,26,24,327,1140.37,1043.52,96.85,605,30,30
16,7,7,939,33.692,29,27,345,1189.86,1144.76,45.1,530,32,32
17,8,8,993,97.714,25,23,314,1107.42,1067.32,40.1,611,34,34
18,9,9,1130,49.318,37,33,468,1639.73,1541.33,98.4,580,41,41
19,10,10,1096,63.158,35,32,401,1378.03,1345.4,32.63,617,39,39
20,1,1,957,55.344,29,27,368,1286.74,1210.98,75.76,517,36,36
21,2,2,971,52.375,33,28,372,1250.59,1139.19,111.4,527,36,36
22,3,3,1105,60.284,29,25,382,1355.18,1246.75,108.43,651,36,36
23,4,4,978,57.594,26,23,305,1052.02,964.88,87.14,617,28,28
24,5,5,944,40.238,28,24,310,1028.49,922.0,106.49,582,26,26
25,6,6,1099,31.344,29,25,327,1120.36,1041.13,79.23,712,30,30
26,7,7,961,42.726,26,23,300,1018.28,946.49,71.79,611,25,25
27,8,8,947,62.468,31,25,310,1034.98,932.59,102.39,579,29,29
28,9,9,970,49.342,27,24,327,1147.67,1101.98,45.69,583,30,30
29,10,10,1102,82.317,31,27,356,1218.09,1125.1,92.99,678,34,34
30,1,1,1085,75.788,34,29,382,1299.92,1203.93,95.99,633,35,35
31,2,2,953,39.551,34,27,346,1151.45,996.59,154.86,545,31,31
32,3,3,1034,53.714,27,23,329,1134.75,1036.89,97.86,643,31,31
33,4,4,1091,56.829,28,22,296,966.74,883.19,83.55,743,26,26
34,5,5,957,40.238,34,27,350,1146.15,977.5,168.65,537,35,35
35,6,6,1057,17.006,25,22,264,880.94,805.94,75.0,739,27,27
36,7,7,1095,74.804,22,18,244,836.39,728.69,107.7,805,23,23
37,8,8,949,75.704,35,30,326,1069.22,988.87,80.35,551,36,36
38,9,9,944,93.744,30,25,275,900.54,827.09,73.45,609,30,30
39,10,10,990,31.903,32,24,306,1020.42,845.59,174.83,620,32,32
40,1,1,1087,82.188,33,27,301,969.79,865.41,104.38,716,35,35
41,2,2,1050,52.552,27,22,291,963.36,876.48,86.88,711,24,24
