horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.014
40,70,26,26,14,30,4203,15,1001790.0,20.023
60,90,31,31,18,48,4185,15,1080370.0,20.003
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1310900.0,20.004
120,150,73,73,23,119,4114,15,1963090.0,20.006
140,170,132,130,86,205,4026,17,6154310.0,20.147
160,190,110,106,74,279,3949,20,8408120.0,20.743
180,210,96,93,65,344,3881,23,6964750.0,20.112
200,230,80,77,49,393,3829,26,6274720.0,20.147
220,250,71,71,44,437,3785,26,1861940.0,20.005
240,270,114,114,46,483,3739,26,3213920.0,20.191
260,290,181,178,116,599,3621,28,9167200.0,20.009
280,310,175,168,99,698,3515,35,14539050.0,20.011
300,330,169,166,108,806,3404,38,9382340.0,20.014
320,350,142,137,86,892,3316,40,12278290.0,20.009
340,370,124,118,82,974,3228,46,12454110.0,20.51
360,390,87,87,64,1038,3164,46,2604500.0,20.007
380,410,79,79,47,1085,3117,46,2636830.0,20.006
400,430,80,80,53,1138,3064,46,2382630.0,20.006
420,450,67,67,47,1185,3017,46,2100500.0,20.055
440,470,58,58,35,1220,2982,46,1981120.0,20.006
460,490,69,69,40,1260,2942,46,2399630.0,20.005
480,510,89,89,50,1310,2892,46,2822770.0,20.006
500,530,131,131,77,1387,2815,46,3396090.0,20.452
520,550,136,136,90,1477,2725,46,3520210.0,20.007
540,570,131,131,78,1555,2647,46,3417870.0,20.007
560,590,126,124,81,1636,2564,48,6439020.0,20.256
580,610,137,134,82,1718,2480,50,8550940.0,20.208
600,630,163,162,87,1805,2392,51,5832940.0,20.009
620,650,205,202,135,1940,2256,52,10340650.0,20.01
640,670,223,220,122,2062,2131,55,10015080.0,20.011
660,690,284,283,157,2219,1973,56,8287960.0,20.016
680,710,349,341,200,2419,1765,64,19632740.0,20.023
700,730,364,355,217,2636,1540,72,21279970.0,20.022
720,750,310,284,192,2828,1331,89,45519730.0,20.018
740,770,229,209,131,2959,1181,108,34766490.0,20.015
760,790,202,201,123,3082,1057,109,5554110.0,20.011
780,810,180,178,118,3200,937,111,6178730.0,20.012
800,830,169,165,96,3296,837,115,8919620.0,20.012
820,850,192,185,107,3403,723,122,13724650.0,20.01
840,870,171,161,108,3511,605,132,17849080.0,20.01
860,890,139,133,86,3597,513,138,12152620.0,20.009
880,910,110,110,72,3669,441,138,3982910.0,20.262
900,930,115,109,67,3736,368,144,13394000.0,20.595
920,950,111,110,74,3810,293,145,5994770.0,20.344
940,970,105,100,61,3871,231,146,12235230.0,20.059
960,990,98,93,65,3936,162,150,11720650.0,20.44
980,1010,82,79,45,3981,115,152,7428130.0,20.034
1000,1030,71,69,51,4032,62,154,5364080.0,20.22
1020,1050,41,40,31,4063,30,155,2988150.0,20.071
1040,1070,22,21,15,4078,14,156,2399070.0,20.04
1060,1090,14,14,12,4090,2,156,617450.0,20.003
1080,1110,2,2,2,4092,0,156,98330.0,20.013
1100,1130,0,0,0,4092,0,156,,0.0
1120,1150,0,0,0,4092,0,156,,0.0
