horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.005
20,50,23,23,16,16,4217,15,883410.0,20.157
40,70,26,26,14,30,4203,15,1001790.0,20.006
60,90,31,31,18,48,4185,15,1080370.0,20.077
80,110,37,37,22,70,4163,15,1244270.0,20.009
100,130,43,43,26,96,4137,15,1361940.0,20.189
120,150,73,72,22,118,4114,16,3243750.0,20.128
140,170,132,129,84,202,4027,19,7934740.0,20.479
160,190,111,107,75,277,3949,22,8728910.0,20.008
180,210,96,93,64,341,3882,25,7051800.0,20.293
200,230,81,77,49,390,3829,29,7724900.0,20.013
220,250,71,71,44,434,3785,29,1986690.0,20.28
240,270,114,111,46,480,3739,29,10968360.0,20.072
260,290,181,173,109,589,3625,34,20142640.0,20.011
280,310,179,167,98,687,3515,46,22297570.0,20.009
300,330,169,165,105,792,3407,49,10401720.0,20.008
320,350,145,137,85,877,3318,53,16702290.0,20.01
340,370,126,119,82,959,3229,60,14049970.0,20.142
360,390,88,88,64,1023,3165,60,2786970.0,20.267
380,410,80,80,47,1070,3118,60,2738710.0,20.086
400,430,81,80,52,1122,3066,60,4210280.0,20.091
420,450,69,68,47,1169,3018,61,3856060.0,20.051
440,470,59,59,36,1205,2982,61,2060260.0,20.005
460,490,69,69,40,1245,2942,61,2394080.0,20.008
480,510,89,88,49,1294,2892,62,4307640.0,20.028
500,530,131,131,77,1371,2815,62,3383330.0,20.307
520,550,136,135,89,1460,2725,63,5390710.0,20.008
540,570,131,125,75,1535,2645,68,12406360.0,20.009
560,590,124,117,73,1608,2566,74,13107030.0,20.948
580,610,139,137,86,1694,2478,76,6774950.0,20.01
600,630,161,159,82,1776,2395,77,7518840.0,20.019
620,650,208,192,124,1900,2260,88,27371060.0,20.022
640,670,227,204,107,2007,2142,99,33990360.0,20.025
660,690,295,217,116,2123,2003,122,111618520.0,20.014
680,710,379,217,124,2247,1826,175,231950840.0,20.018
700,730,425,219,128,2375,1607,266,296988660.0,20.023
720,750,377,197,119,2494,1387,367,263519440.0,20.026
740,770,285,193,116,2610,1189,449,138638400.0,20.023
760,790,210,197,118,2728,1060,460,23437740.0,20.012
780,810,183,172,109,2837,940,471,19223200.0,20.01
800,830,172,169,100,2937,837,474,7725310.0,20.009
820,850,192,186,112,3049,719,480,12919190.0,20.013
840,870,167,156,105,3154,603,491,19032130.0,20.013
860,890,137,134,88,3242,512,494,8422770.0,20.089
880,910,109,104,65,3307,443,498,11917640.0,20.052
900,930,117,110,68,3375,368,505,15646400.0,20.576
920,950,111,103,63,3438,301,509,16345150.0,20.148
940,970,113,103,65,3503,231,514,19754090.0,20.029
960,990,98,92,64,3567,162,519,13386130.0,20.215
980,1010,82,80,48,3615,113,520,5986690.0,20.212
1000,1030,69,67,47,3662,65,521,5369320.0,20.127
1020,1050,44,41,31,3693,32,523,6156660.0,20.091
1040,1070,24,22,16,3709,14,525,3949760.0,20.079
1060,1090,14,14,12,3721,2,525,617450.0,20.004
1080,1110,2,2,2,3723,0,525,98330.0,20.004
1100,1130,0,0,0,3723,0,525,,0.0
1120,1150,0,0,0,3723,0,525,,0.0
