vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1111,59.898,34,33,537,1960.58,1913.14,47.44,498,38,38
1,2,2,1072,51.525,32,30,482,1729.22,1713.69,15.53,520,35,35
2,3,3,1100,113.614,36,34,508,1821.93,1794.89,27.04,514,39,39
3,4,4,1119,46.818,37,34,489,1716.77,1646.71,70.06,548,41,41
4,5,5,1050,29.69,30,29,446,1620.13,1558.09,62.04,526,39,39
5,6,6,1081,25.474,34,32,490,1772.13,1675.28,96.85,511,40,40
6,7,7,1088,72.944,32,31,450,1607.37,1567.25,40.12,562,38,38
7,8,8,1086,95.024,33,30,428,1513.05,1467.97,45.08,594,32,32
8,9,9,966,61.885,29,27,411,1483.87,1449.7,34.17,485,35,35
9,10,10,1103,48.392,30,28,418,1496.0,1423.13,72.87,611,37,37
10,1,1,997,42.544,26,25,377,1363.06,1305.34,57.72,554,33,33
11,2,2,976,62.919,37,33,433,1474.53,1370.87,103.66,467,38,38
12,3,3,1054,82.817,27,25,344,1205.03,1186.72,18.31,644,33,33
13,4,4,991,47.846,27,25,346,1208.15,1143.07,65.08,583,31,31
14,5,5,1013,100.372,34,32,399,1366.11,1332.6,33.51,540,37,37
15,6,6,1036,25.422,33,31,441,1553.67,1469.27,84.4,519,38,38
16,7,7,1112,43.443,41,35,474,1645.6,1503.66,141.94,556,41,41
17,8,8,947,75.472,27,24,317,1097.65,1047.94,49.71,570,30,30
18,9,9,959,83.075,30,27,353,1216.12,1173.85,42.27,546,30,30
19,10,10,987,32.39,29,26,361,1274.93,1164.94,109.99,560,33,33
20,1,1,1003,58.034,27,25,341,1194.38,1118.62,75.76,594,34,34
21,2,2,978,62.824,25,22,307,1066.92,985.01,81.91,609,31,31
22,3,3,1006,48.69,32,29,395,1369.17,1289.35,79.82,541,35,35
23,4,4,979,45.702,29,23,317,1058.41,940.15,118.26,610,26,26
24,5,5,1113,40.237,26,23,303,1012.48,923.4,89.08,756,27,27
25,6,6,1099,94.543,27,25,331,1151.88,1134.14,17.74,696,36,36
26,7,7,980,28.024,30,25,350,1224.7,1111.48,113.22,566,32,32
27,8,8,1040,22.475,27,19,257,826.07,701.77,124.3,739,22,22
28,9,9,941,89.479,20,18,243,844.47,786.31,58.16,654,22,22
29,10,10,1036,21.814,29,22,300,996.85,873.46,123.39,676,30,30
30,1,1,942,36.024,28,24,346,1216.3,1099.11,117.19,536,30,30
31,2,2,1078,64.25,23,21,266,921.18,895.04,26.14,750,31,31
32,3,3,942,40.964,24,21,264,866.29,780.51,85.78,628,25,25
