vehicle_count,total_penalty,complete_count,overdue_count,total_batch_count
50,3346623000,1975,2273,4248
55,3002218400,2199,2049,4248
60,2724607000,2379,1869,4248
65,2440469400,2571,1677,4248
70,2172176400,2750,1498,4248
75,1902294200,2929,1319,4248
80,1704993600,3066,1182,4248
85,1520996000,3193,1055,4248
90,1367217800,3298,950,4248
95,1264702100,3369,879,4248
100,1145169200,3450,798,4248
105,1053463300,3516,732,4248
110,943531800,3591,657,4248
115,862295500,3647,601,4248
120,789100800,3699,549,4248
125,721249700,3743,505,4248
130,662910200,3783,465,4248
135,623767400,3810,438,4248
140,546613800,3865,383,4248
145,511330700,3887,361,4248
150,459356300,3926,322,4248
155,430181100,3946,302,4248
160,392228400,3973,275,4248
165,399073500,3969,279,4248
170,359466700,3996,252,4248
175,315600600,4029,219,4248
180,278371700,4057,191,4248
185,297752600,4042,206,4248
190,258630000,4071,177,4248
195,247321600,4080,168,4248
200,246553200,4081,167,4248
