vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1112,42.371,34,33,537,1963.33,1905.61,57.72,495,40,40
1,2,2,1093,83.932,35,34,468,1617.02,1606.82,10.2,549,38,38
2,3,3,1070,49.457,35,33,486,1736.34,1661.5,74.84,510,37,37
3,4,4,1072,27.726,34,31,455,1606.91,1517.9,89.01,529,44,44
4,5,5,1058,51.024,29,28,453,1645.08,1583.04,62.04,537,34,34
5,6,6,1125,68.824,32,28,417,1457.33,1397.37,59.96,640,34,34
6,7,7,1092,72.944,33,32,455,1636.49,1596.37,40.12,555,41,41
7,8,8,1115,20.083,33,31,419,1455.21,1369.98,85.23,624,36,36
8,9,9,1081,113.064,29,29,434,1586.5,1586.5,0.0,581,33,33
9,10,10,1018,34.014,29,28,452,1644.05,1574.16,69.89,494,36,36
10,1,1,998,42.547,37,31,455,1574.02,1421.22,152.8,465,39,39
11,2,2,982,36.196,23,22,324,1161.79,1111.55,50.24,608,25,25
12,3,3,1017,31.997,29,27,413,1490.84,1420.02,70.82,534,35,35
13,4,4,1079,87.736,30,26,352,1201.7,1144.67,57.03,665,31,31
14,5,5,986,40.087,35,30,420,1434.81,1319.65,115.16,496,35,35
15,6,6,1118,29.314,35,31,451,1565.62,1449.89,115.73,587,40,40
16,7,7,1035,33.758,34,31,397,1375.75,1317.37,58.38,560,39,39
17,8,8,1120,30.388,39,34,481,1669.76,1551.23,118.53,557,41,41
18,9,9,1004,113.064,27,24,336,1166.43,1114.88,51.55,608,30,30
19,10,10,1007,32.39,32,30,407,1420.45,1332.52,87.93,522,39,39
20,1,1,972,44.56,29,26,366,1280.94,1190.22,90.72,536,35,35
21,2,2,988,49.774,34,30,393,1361.62,1245.2,116.42,527,34,34
22,3,3,1100,50.339,26,24,322,1110.16,1071.35,38.81,722,28,28
23,4,4,1094,41.251,41,32,445,1488.34,1346.41,141.93,565,42,42
24,5,5,979,33.836,34,29,387,1328.63,1210.3,118.33,520,36,36
25,6,6,978,28.806,28,22,313,1065.42,888.37,177.05,613,26,26
26,7,7,1027,62.781,33,30,400,1361.21,1280.99,80.22,557,35,35
27,8,8,1102,56.848,37,30,425,1446.09,1298.47,147.62,603,37,37
28,9,9,968,93.746,30,26,316,1047.34,978.27,69.07,586,33,33
29,10,10,1038,17.547,36,29,369,1197.61,1048.07,149.54,597,36,36
30,1,1,1063,77.612,29,24,311,1050.55,979.5,71.05,694,29,29
31,2,2,1000,52.003,35,27,373,1251.15,1088.54,162.61,567,30,30
32,3,3,996,28.165,31,25,301,943.9,826.4,117.5,633,31,31
33,4,4,1051,122.954,40,31,360,1114.37,960.9,153.47,619,36,36
34,5,5,1002,38.492,38,26,361,1173.72,875.02,298.7,573,34,34
35,6,6,1050,58.796,21,16,212,688.93,596.63,92.3,798,20,20
36,7,7,941,42.226,30,24,315,1035.56,907.54,128.02,570,28,28
37,8,8,1104,40.048,38,29,348,1117.71,937.61,180.1,688,34,34
38,9,9,898,99.188,25,21,245,816.15,759.54,56.61,601,26,26
39,10,10,1019,29.671,35,23,300,946.87,717.84,229.03,665,27,27
40,1,1,1038,92.314,16,13,157,503.8,448.16,55.64,851,15,15
41,2,2,1116,62.824,30,22,295,986.43,793.46,192.97,763,29,29
42,3,3,1048,30.59,25,21,247,788.62,734.02,54.6,753,24,24
43,4,4,1052,18.282,29,22,261,821.98,755.21,66.77,739,26,26
44,5,5,1109,86.671,26,20,241,776.03,682.16,93.87,818,25,25
45,6,6,1002,38.274,24,21,254,837.73,735.3,102.43,698,25,25
46,7,7,995,72.944,24,19,217,701.65,590.54,111.11,734,22,22
47,8,8,975,39.61,35,26,313,1018.22,840.39,177.83,602,30,30
48,9,9,1117,34.259,42,30,381,1211.64,951.93,259.71,670,33,33
49,10,10,946,23.854,30,24,276,894.69,746.86,147.83,614,28,28
50,1,1,1059,101.03,20,18,235,816.35,797.39,18.96,780,22,22
51,2,2,1056,53.995,19,16,218,748.49,659.16,89.33,800,19,19
52,3,3,996,60.284,15,12,173,577.94,505.3,72.64,795,14,14
53,4,4,954,46.808,29,24,259,849.05,711.98,137.07,627,34,34
54,5,5,957,40.238,32,23,291,877.3,710.75,166.55,610,28,28
55,6,6,1044,120.408,22,18,216,702.0,633.6,68.4,780,24,24
56,7,7,1062,108.724,35,25,294,902.15,735.72,166.43,702,33,33
57,8,8,1096,69.624,39,32,377,1232.76,1047.05,185.71,639,40,40
58,9,9,1046,93.468,14,12,152,514.57,456.41,58.16,866,14,14
59,10,10,1048,73.632,35,26,345,1104.63,921.83,182.8,647,28,28
