horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.004
20,50,23,23,16,16,4217,15,883410.0,20.022
40,70,26,26,14,30,4203,15,1001790.0,20.003
60,90,31,31,18,48,4185,15,1080370.0,20.086
80,110,37,37,22,70,4163,15,1151050.0,20.004
100,130,43,43,26,96,4137,15,1336420.0,20.004
120,150,73,73,23,119,4114,15,1963090.0,20.008
140,170,132,130,86,205,4026,17,6220080.0,20.018
160,190,110,106,74,279,3949,20,8450330.0,20.053
180,210,96,93,65,344,3881,23,6902020.0,20.294
200,230,80,76,48,392,3829,27,7652290.0,20.131
220,250,71,71,43,435,3786,27,1886780.0,20.041
240,270,115,115,49,484,3737,27,3327420.0,20.362
260,290,179,176,113,597,3623,28,9103940.0,20.008
280,310,177,169,102,699,3513,36,16135190.0,20.008
300,330,167,166,108,807,3404,37,6440910.0,20.009
320,350,142,140,89,896,3315,37,7097530.0,20.008
340,370,123,119,82,978,3229,41,9258820.0,20.991
360,390,88,88,66,1044,3163,41,2667360.0,20.08
380,410,78,78,45,1089,3118,41,2670150.0,20.008
400,430,81,80,53,1142,3065,41,4118650.0,20.033
420,450,68,67,45,1187,3019,42,3784530.0,20.063
440,470,60,60,38,1225,2981,42,2101440.0,20.23
460,490,68,68,39,1264,2942,42,2339160.0,20.011
480,510,89,89,50,1314,2892,42,2782440.0,20.006
500,530,131,131,78,1392,2814,42,3444870.0,20.046
520,550,135,135,89,1481,2725,42,3458170.0,20.007
540,570,131,131,79,1560,2646,42,3365370.0,20.007
560,590,125,123,81,1641,2563,44,6333440.0,20.149
580,610,136,133,80,1721,2481,46,8423170.0,20.132
600,630,164,163,89,1810,2391,47,5926450.0,20.008
620,650,204,203,137,1947,2254,47,6920100.0,20.011
640,670,221,220,121,2068,2132,48,7124400.0,20.011
660,690,285,280,149,2217,1978,53,13734250.0,20.013
680,710,354,340,201,2418,1764,66,27253620.0,20.016
700,730,363,332,195,2613,1553,82,50529370.0,20.02
720,750,323,276,185,2798,1337,113,72629970.0,20.017
740,770,235,206,124,2922,1189,137,49262960.0,20.014
760,790,210,205,131,3053,1053,142,13677970.0,20.011
780,810,176,175,114,3167,938,143,4750580.0,20.01
800,830,170,168,99,3266,837,145,6064260.0,20.012
820,850,192,183,108,3374,720,154,16501330.0,20.016
840,870,168,158,106,3480,604,164,17695080.0,20.01
860,890,138,133,86,3566,513,169,10776450.0,20.011
880,910,110,108,70,3636,441,171,7005720.0,20.211
900,930,115,111,67,3703,370,175,10456120.0,20.631
920,950,113,109,74,3777,293,178,10099750.0,20.347
940,970,105,99,60,3837,231,180,13867700.0,20.367
960,990,98,93,63,3900,164,184,12029160.0,20.112
980,1010,84,80,47,3947,114,187,8803800.0,20.221
1000,1030,70,69,51,3998,62,188,3805340.0,20.31
1020,1050,41,40,30,4028,31,189,3173730.0,20.108
1040,1070,23,21,15,4043,14,191,3932770.0,20.018
1060,1090,14,14,12,4055,2,191,617450.0,20.004
1080,1110,2,2,2,4057,0,191,98330.0,20.005
1100,1130,0,0,0,4057,0,191,,0.0
1120,1150,0,0,0,4057,0,191,,0.0
