horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,347190.0,20.002
20,50,23,23,14,14,4219,15,739090.0,20.006
40,70,28,28,13,27,4206,15,799560.0,20.004
60,90,34,34,19,46,4187,15,955590.0,20.004
80,110,39,39,22,68,4165,15,935890.0,20.005
100,130,45,45,25,93,4140,15,1018740.0,20.004
120,150,76,76,27,120,4113,15,1354280.0,20.005
140,170,131,131,78,198,4035,15,2001350.0,20.217
160,190,119,117,78,276,3955,17,5091250.0,20.519
180,210,102,102,72,348,3883,17,1919830.0,20.007
200,230,82,80,47,395,3834,19,4209940.0,20.194
220,250,76,76,46,441,3788,19,1386940.0,20.006
240,270,117,117,47,488,3741,19,1970110.0,20.223
260,290,183,183,111,599,3630,19,3124750.0,20.009
280,310,184,182,99,698,3529,21,5817630.0,20.01
300,330,183,183,119,817,3410,21,3161640.0,20.013
320,350,148,148,90,907,3320,21,2977340.0,20.847
340,370,128,126,85,992,3234,22,5963120.0,20.008
360,390,93,90,59,1051,3172,25,6627140.0,20.326
380,410,87,85,43,1094,3128,26,5186330.0,20.295
400,430,91,90,58,1152,3069,27,3253130.0,20.016
420,450,72,72,49,1201,3020,27,1628720.0,20.165
440,470,61,61,37,1238,2983,27,1395890.0,20.005
460,490,70,70,39,1277,2944,27,1557230.0,20.005
480,510,91,91,50,1327,2894,27,1817050.0,20.006
500,530,133,132,68,1395,2825,28,4005760.0,20.008
520,550,146,145,93,1488,2731,29,4072460.0,20.008
540,570,137,137,77,1565,2654,29,2538090.0,20.011
560,590,133,133,86,1651,2568,29,2329620.0,20.195
580,610,141,140,81,1732,2486,30,4143790.0,20.011
600,630,169,169,86,1818,2400,30,3060770.0,20.011
620,650,213,210,135,1953,2264,31,8800640.0,20.011
640,670,231,229,117,2070,2145,33,7383090.0,20.012
660,690,298,298,158,2228,1987,33,4644840.0,20.015
680,710,363,362,212,2440,1774,34,7281650.0,20.027
700,730,373,366,204,2644,1563,41,15832460.0,20.023
720,750,333,323,214,2858,1339,51,19580030.0,20.022
740,770,237,228,141,2999,1189,60,16113350.0,20.019
760,790,210,208,114,3113,1073,62,5871980.0,20.013
780,810,196,194,121,3234,950,64,5412470.0,20.011
800,830,182,175,92,3326,851,71,13324190.0,20.013
820,850,206,204,113,3439,736,73,5850440.0,20.012
840,870,184,172,110,3549,614,85,20147460.0,20.015
860,890,148,142,83,3632,525,91,10742640.0,20.009
880,910,122,117,75,3707,445,96,9314810.0,20.135
900,930,119,116,67,3774,375,99,7546280.0,20.11
920,950,118,117,69,3843,305,100,4162690.0,20.063
940,970,117,115,67,3910,236,102,6341390.0,20.424
960,990,103,99,65,3975,167,106,7902570.0,20.233
980,1010,87,87,48,4023,119,106,2037860.0,20.205
1000,1030,75,75,54,4077,65,106,1692470.0,20.129
1020,1050,44,43,34,4111,30,107,2570920.0,20.007
1040,1070,22,22,14,4125,16,107,561410.0,20.007
1060,1090,16,16,14,4139,2,107,506640.0,20.007
1080,1110,2,2,2,4141,0,107,98330.0,20.003
1100,1130,0,0,0,4141,0,107,,0.0
1120,1150,0,0,0,4141,0,107,,0.0
