vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1043,56.569,33,32,502,1807.08,1803.0,4.08,463,39,39
1,2,9,1057,83.196,34,31,477,1682.16,1641.77,40.39,504,38,38
2,3,9,1076,76.775,35,33,492,1750.45,1727.55,22.9,506,39,39
3,4,9,1080,83.198,32,30,483,1753.44,1726.26,27.18,519,39,39
4,5,7,1087,40.593,35,34,461,1638.62,1627.17,11.45,554,36,36
5,6,9,1081,113.064,31,30,440,1581.09,1569.64,11.45,563,39,39
6,7,3,1100,71.914,36,35,510,1828.65,1810.61,18.04,506,42,42
7,8,10,1098,72.046,38,34,500,1774.51,1695.73,78.78,510,44,44
8,9,9,980,76.678,32,30,411,1439.76,1429.8,9.96,497,36,36
9,10,9,956,53.329,30,29,416,1481.8,1468.47,13.33,470,35,35
10,1,9,982,47.492,39,32,446,1518.54,1413.39,105.15,458,39,39
11,2,9,1002,108.171,31,30,404,1433.69,1417.56,16.13,524,37,37
12,3,9,1015,121.598,29,27,406,1450.19,1412.65,37.54,545,32,32
13,4,9,1031,30.029,41,34,465,1579.7,1445.11,134.59,484,41,41
14,5,9,980,56.602,35,30,440,1528.11,1407.56,120.55,468,36,36
15,6,5,1092,99.878,45,37,459,1488.12,1407.75,80.37,543,45,45
16,7,9,952,34.008,32,28,382,1329.08,1290.12,38.96,502,34,34
17,8,3,1079,113.614,35,32,411,1418.63,1352.45,66.18,600,34,34
18,9,9,942,113.064,35,28,358,1178.22,1059.09,119.13,514,35,35
19,10,9,1041,113.064,38,33,455,1586.97,1450.93,136.04,498,44,44
20,1,9,927,93.744,35,30,373,1254.95,1138.72,116.23,486,34,34
21,2,9,956,51.208,37,28,377,1242.06,1089.89,152.17,501,39,39
22,3,9,962,62.685,31,26,384,1322.7,1208.22,114.48,520,29,29
23,4,9,941,63.293,38,29,407,1327.33,1110.16,217.17,464,35,35
24,5,9,938,37.772,38,32,406,1365.45,1272.36,93.09,458,37,37
25,6,9,965,90.174,37,32,395,1341.6,1250.31,91.29,496,37,37
26,7,9,927,93.744,38,30,374,1230.86,1102.05,128.81,479,37,37
27,8,9,1117,55.26,45,38,486,1636.83,1533.94,102.89,545,43,43
28,9,9,939,102.278,33,26,356,1203.43,1068.17,135.26,527,28,28
29,10,9,962,56.051,44,34,428,1414.18,1208.19,205.99,454,40,40
30,1,7,1047,108.146,44,33,427,1408.23,1230.33,177.9,544,38,38
31,2,9,940,102.278,34,26,324,1036.02,856.43,179.59,548,34,34
32,3,9,949,105.518,40,31,352,1112.13,899.36,212.77,517,40,40
33,4,9,943,93.744,34,29,327,1042.05,985.62,56.43,548,34,34
34,5,4,1091,70.087,44,34,412,1327.74,1183.17,144.57,597,41,41
35,6,9,944,80.378,39,31,382,1268.05,1114.05,154.0,484,39,39
36,7,10,1085,111.69,40,28,375,1212.47,940.92,271.55,644,33,33
37,8,7,1056,98.642,50,41,442,1362.25,1193.36,168.89,518,48,48
38,9,5,1043,61.358,39,29,384,1242.87,976.69,266.18,589,35,35
39,10,9,1019,95.589,38,29,354,1126.49,995.05,131.44,593,36,36
40,1,3,1061,110.713,37,29,397,1322.39,1154.92,167.47,588,38,38
41,2,10,1074,62.373,36,26,354,1164.28,906.72,257.56,656,32,32
