vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1076,47.559,33,33,528,1937.25,1937.25,0.0,470,39,39
1,2,10,1098,51.889,34,33,505,1809.68,1798.23,11.45,517,38,38
2,3,9,1065,56.171,35,34,512,1849.76,1826.37,23.39,471,41,41
3,4,10,1099,35.219,34,31,505,1824.32,1766.87,57.45,514,40,40
4,5,9,1080,36.261,37,34,500,1785.52,1732.64,52.88,496,42,42
5,6,3,1087,64.493,36,33,489,1738.43,1687.51,50.92,522,38,38
6,7,9,1081,113.064,37,34,508,1821.1,1745.69,75.41,497,38,38
7,8,8,1031,89.118,33,30,468,1687.33,1572.95,114.38,487,38,38
8,9,9,981,54.132,40,33,463,1583.65,1479.13,104.52,442,38,38
9,10,9,990,63.199,37,32,470,1658.21,1589.74,68.47,434,43,43
10,1,5,1027,83.398,33,30,450,1610.94,1515.11,95.83,507,35,35
11,2,3,1100,47.959,39,33,474,1667.83,1499.84,167.99,550,38,38
12,3,6,1086,75.676,42,35,488,1677.55,1507.42,170.13,516,41,41
13,4,9,966,113.064,37,31,403,1359.87,1213.78,146.09,477,43,43
14,5,7,1056,80.652,42,34,500,1699.06,1558.64,140.42,470,43,43
15,6,9,937,34.398,34,31,417,1465.52,1405.13,60.39,442,39,39
16,7,5,1092,81.177,49,37,489,1598.62,1387.78,210.84,521,41,41
17,8,9,1041,38.717,40,35,476,1652.19,1486.39,165.8,487,39,39
18,9,9,982,61.974,35,30,403,1385.89,1253.46,132.43,513,33,33
19,10,9,1028,60.052,37,30,427,1466.54,1302.25,164.29,519,41,41
20,1,3,1079,113.614,44,40,489,1676.98,1600.24,76.74,502,44,44
21,2,4,1108,66.932,49,36,498,1634.4,1440.81,193.59,524,43,43
22,3,9,1042,53.674,40,32,450,1554.53,1285.04,269.49,510,41,41
23,4,9,1090,94.347,48,36,507,1709.25,1483.78,225.47,499,42,42
24,5,9,987,118.294,41,33,401,1297.94,1170.35,127.59,510,38,38
25,6,3,1061,64.775,47,35,488,1613.17,1323.88,289.29,489,42,42
26,7,9,990,86.436,41,33,396,1310.92,1140.55,170.37,512,41,41
27,8,5,1052,30.444,44,35,468,1584.23,1393.07,191.16,504,40,40
28,9,9,983,113.064,37,30,401,1390.32,1227.81,162.51,512,35,35
29,10,9,1115,56.069,40,33,499,1743.11,1559.56,183.55,532,42,42
30,1,10,1098,59.105,46,37,502,1694.84,1493.21,201.63,512,42,42
31,2,5,1058,86.592,54,38,488,1543.08,1226.76,316.32,490,40,40
32,3,9,977,96.822,41,31,401,1312.1,1133.08,179.02,502,37,37
33,4,5,1048,84.412,44,32,418,1359.96,1138.83,221.13,554,38,38
34,5,5,1064,83.795,44,33,417,1323.85,1079.87,243.98,563,42,42
35,6,9,968,45.287,42,31,414,1323.13,1173.88,149.25,470,42,42
36,7,9,996,38.432,41,30,400,1286.78,1032.91,253.87,530,33,33
37,8,10,1079,132.794,38,29,385,1264.24,1059.49,204.75,624,35,35
38,9,7,1034,51.514,45,33,399,1244.84,1058.7,186.14,553,41,41
39,10,5,1024,40.841,48,38,460,1501.66,1277.79,223.87,480,42,42
40,1,9,1031,103.525,40,32,431,1445.91,1252.43,193.48,526,37,37
41,2,3,1044,135.554,45,34,409,1342.17,1053.75,288.42,557,39,39
42,3,9,964,44.875,35,26,331,1044.14,867.03,177.11,573,30,30
43,4,3,1038,25.138,49,36,464,1521.16,1207.08,314.08,492,41,41
44,5,5,1046,103.85,48,37,422,1325.03,1156.44,168.59,530,47,47
45,6,3,1041,25.585,47,34,458,1500.99,1200.62,300.37,507,38,38
46,7,9,1069,55.875,48,35,415,1295.02,1023.97,271.05,574,40,40
47,8,10,1065,29.433,49,34,438,1377.28,1128.73,248.55,535,46,46
48,9,9,1019,106.494,40,28,345,1083.13,897.18,185.95,604,35,35
49,10,7,1047,39.418,42,33,408,1324.95,1118.97,205.98,559,40,40
50,1,9,1028,55.162,50,35,476,1503.94,1163.25,340.69,474,39,39
51,2,10,1086,90.322,52,36,445,1393.56,1058.0,335.56,559,41,41
52,3,4,1067,125.674,45,33,395,1222.02,1039.25,182.77,588,42,42
53,4,5,1029,74.252,46,34,444,1476.85,1213.0,263.85,503,41,41
54,5,10,1046,71.292,46,32,415,1292.91,1045.5,247.41,553,39,39
55,6,3,1034,121.297,47,33,456,1504.44,1101.84,402.6,498,40,40
56,7,7,1052,50.657,42,30,380,1245.32,968.33,276.99,592,40,40
57,8,5,1023,51.677,52,36,411,1255.83,954.25,301.58,522,45,45
58,9,7,1083,125.054,36,27,330,1073.0,896.47,176.53,685,34,34
59,10,9,1015,54.091,44,31,386,1215.46,985.83,229.63,551,39,39
60,1,10,1052,44.701,46,32,420,1318.87,1002.1,316.77,550,41,41
61,2,10,1074,74.543,51,35,418,1261.8,1016.94,244.86,574,41,41
62,3,10,1040,28.301,48,34,411,1265.85,1040.21,225.64,545,42,42
63,4,9,959,35.636,43,27,360,1088.18,834.0,254.18,537,31,31
64,5,10,1019,80.959,48,33,411,1258.58,950.66,307.92,532,38,38
65,6,9,990,40.138,50,34,434,1337.18,1006.87,330.31,474,41,41
66,7,10,1041,33.479,48,34,449,1428.24,1069.45,358.79,516,38,38
67,8,10,1050,59.373,45,31,420,1356.29,1055.7,300.59,558,36,36
68,9,8,1029,70.145,48,32,424,1353.56,965.16,388.4,531,37,37
69,10,10,1036,63.83,52,31,429,1279.7,893.67,386.03,525,41,41
