horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.007
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.092
60,90,31,31,18,48,4185,15,1118650.0,20.003
80,110,37,37,22,70,4163,15,1288390.0,20.055
100,130,43,42,25,95,4138,15,3735850.0,20.037
120,150,74,72,22,117,4114,17,5859420.0,20.132
140,170,132,130,85,202,4027,19,6562720.0,20.007
160,190,111,106,73,275,3951,22,10928300.0,20.371
180,210,98,94,63,338,3884,26,9453000.0,20.261
200,230,83,78,50,388,3829,31,9821540.0,20.035
220,250,71,69,42,430,3786,32,5762980.0,20.38
240,270,115,110,44,474,3741,33,14623380.0,20.463
260,290,183,168,106,580,3629,39,29147170.0,20.016
280,310,183,154,88,668,3527,53,45816240.0,20.018
300,330,181,150,92,760,3422,66,50352800.0,20.008
320,350,160,134,81,841,3320,87,45293540.0,20.009
340,370,128,118,81,922,3229,97,19860420.0,20.127
360,390,88,87,62,984,3166,98,4339090.0,20.025
380,410,81,80,46,1030,3119,99,4222680.0,20.081
400,430,82,81,54,1084,3065,99,4393250.0,20.23
420,450,68,67,46,1130,3018,100,4022950.0,20.067
440,470,59,59,37,1167,2981,100,2067370.0,20.086
460,490,68,68,39,1206,2942,100,2342290.0,20.106
480,510,89,89,48,1254,2894,100,2840510.0,20.005
500,530,133,132,77,1331,2816,101,5162930.0,20.008
520,550,137,130,82,1413,2730,105,14555140.0,20.016
540,570,136,122,70,1483,2648,117,25260630.0,20.016
560,590,127,116,72,1555,2566,127,19837960.0,20.01
580,610,139,134,83,1638,2479,131,12294930.0,20.006
600,630,162,153,82,1720,2395,133,17158870.0,20.012
620,650,208,160,100,1820,2285,143,73189630.0,20.011
640,670,252,175,92,1912,2158,178,114861730.0,20.025
660,690,311,174,99,2011,2015,222,203249840.0,20.026
680,710,391,177,98,2109,1848,291,319562020.0,20.025
700,730,447,169,103,2212,1626,410,421630980.0,20.022
720,750,396,139,85,2297,1417,534,396149100.0,20.026
740,770,315,140,73,2370,1220,658,277158600.0,20.021
760,790,241,167,98,2468,1074,706,115889630.0,20.013
780,810,197,160,96,2564,947,737,58388690.0,20.01
800,830,179,158,87,2651,844,753,33663810.0,20.016
820,850,199,170,97,2748,733,767,42847180.0,20.012
840,870,181,140,87,2835,621,792,60041080.0,20.01
860,890,155,139,91,2926,514,808,26596070.0,20.008
880,910,111,106,66,2992,443,813,11778090.0,20.021
900,930,117,107,63,3055,370,823,19023760.0,20.633
920,950,113,105,66,3121,300,827,17200280.0,20.236
940,970,112,102,63,3184,232,832,20615090.0,20.28
960,990,99,92,62,3246,164,838,15383400.0,20.042
980,1010,84,80,47,3293,114,841,9415960.0,20.042
1000,1030,70,68,49,3342,64,842,5673940.0,20.215
1020,1050,43,41,32,3374,30,844,4813810.0,20.003
1040,1070,22,21,14,3388,15,845,2514140.0,20.03
1060,1090,15,15,12,3400,3,845,672370.0,20.003
1080,1110,3,3,3,3403,0,845,153250.0,20.002
1100,1130,0,0,0,3403,0,845,,0.0
1120,1150,0,0,0,3403,0,845,,0.0
