horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.003
40,70,26,26,14,30,4203,15,1001790.0,20.047
60,90,31,31,18,48,4185,15,1080370.0,20.003
80,110,37,37,22,70,4163,15,1189330.0,20.003
100,130,43,43,26,96,4137,15,1361940.0,20.004
120,150,73,73,23,119,4114,15,2058500.0,20.007
140,170,132,129,85,204,4026,18,7734360.0,20.45
160,190,110,106,73,277,3950,21,8651610.0,20.257
180,210,97,94,66,343,3881,24,6950300.0,20.051
200,230,80,76,46,389,3831,28,7691230.0,20.161
220,250,73,72,45,434,3785,29,3091870.0,20.041
240,270,114,114,49,483,3736,29,3475810.0,20.232
260,290,178,174,112,595,3623,30,10788010.0,20.009
280,310,177,164,95,690,3515,43,23708180.0,20.009
300,330,169,167,109,799,3404,45,7992180.0,20.009
320,350,142,139,86,885,3316,47,8800800.0,20.009
340,370,124,120,84,969,3228,51,9438670.0,20.369
360,390,87,87,65,1034,3163,51,2598540.0,20.005
380,410,78,78,44,1078,3119,51,2688600.0,20.291
400,430,82,81,53,1131,3066,51,4236320.0,20.277
420,450,69,68,46,1177,3019,52,3913280.0,20.019
440,470,60,60,37,1214,2982,52,2110650.0,20.035
460,490,69,69,40,1254,2942,52,2394080.0,20.007
480,510,89,88,49,1303,2892,53,4320400.0,20.038
500,530,131,131,77,1380,2815,53,3370570.0,20.153
520,550,136,135,89,1469,2725,54,5194700.0,20.031
540,570,131,130,79,1548,2645,55,4871780.0,20.291
560,590,124,122,78,1626,2565,57,6364700.0,20.054
580,610,138,135,82,1708,2481,59,8601140.0,20.498
600,630,164,163,88,1796,2392,60,6015750.0,20.008
620,650,205,198,130,1926,2257,65,16265650.0,20.01
640,670,224,219,118,2044,2135,69,12865770.0,20.011
660,690,288,269,144,2188,1983,77,31352370.0,20.019
680,710,359,286,167,2355,1791,102,103831550.0,20.019
700,730,390,274,157,2512,1585,151,167795260.0,20.021
720,750,355,247,151,2663,1362,223,160001070.0,20.02
740,770,260,215,133,2796,1186,266,71971710.0,20.017
760,790,207,205,129,2925,1055,268,7980830.0,20.011
780,810,178,175,112,3037,940,271,7652820.0,20.01
800,830,172,166,94,3131,840,277,11779390.0,20.009
820,850,195,184,108,3239,721,288,19894040.0,20.015
840,870,169,158,106,3345,604,299,19590000.0,20.009
860,890,138,135,88,3433,513,302,8181410.0,20.031
880,910,110,110,73,3506,440,302,4034620.0,20.131
900,930,114,109,66,3572,369,307,12024560.0,20.71
920,950,112,108,71,3643,296,309,10030480.0,20.301
940,970,108,101,63,3706,230,312,14985850.0,20.363
960,990,97,92,65,3771,161,316,11417580.0,20.223
980,1010,81,79,46,3817,114,317,5752470.0,20.236
1000,1030,70,69,50,3867,63,318,3883030.0,20.08
1020,1050,42,42,32,3899,31,318,1621660.0,20.062
1040,1070,23,21,13,3912,16,320,3914540.0,20.048
1060,1090,16,15,13,3925,2,321,2162320.0,20.033
1080,1110,2,2,2,3927,0,321,98330.0,20.002
1100,1130,0,0,0,3927,0,321,,0.0
1120,1150,0,0,0,3927,0,321,,0.0
