vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1057,44.676,32,32,518,1901.73,1901.73,0.0,461,39,39
1,2,9,1050,54.956,30,30,469,1695.92,1695.92,0.0,513,34,34
2,3,9,1084,57.109,35,33,515,1845.42,1808.48,36.94,495,37,37
3,4,9,1080,113.064,32,32,468,1695.11,1695.11,0.0,528,42,42
4,5,9,1081,113.064,34,33,456,1630.41,1614.28,16.13,551,37,37
5,6,3,1100,78.391,36,34,481,1702.89,1676.75,26.14,535,42,42
6,7,10,1098,113.614,35,34,467,1644.77,1639.79,4.98,545,43,43
7,8,4,1093,43.8,39,35,456,1572.63,1524.53,48.1,555,41,41
8,9,9,1028,35.075,28,28,426,1558.08,1558.08,0.0,530,36,36
9,10,9,978,54.533,26,26,395,1432.7,1432.7,0.0,511,36,36
10,1,9,941,80.508,28,28,391,1398.42,1398.42,0.0,474,38,38
11,2,9,962,28.291,33,30,421,1467.15,1414.45,52.7,475,33,33
12,3,7,1087,94.132,29,29,347,1219.34,1219.34,0.0,668,36,36
13,4,9,953,35.106,27,26,352,1235.27,1223.82,11.45,539,31,31
14,5,9,941,23.987,35,31,403,1373.75,1325.49,48.26,472,33,33
15,6,7,1056,98.642,31,30,406,1435.64,1430.66,4.98,576,37,37
16,7,9,962,113.159,30,27,330,1108.57,1052.97,55.6,566,33,33
17,8,9,976,55.864,29,27,358,1252.06,1220.39,31.67,552,33,33
18,9,10,1085,120.018,32,28,374,1259.36,1224.61,34.75,641,35,35
19,10,9,942,51.076,29,27,348,1206.28,1175.48,30.8,532,31,31
20,1,9,990,86.436,27,24,345,1225.17,1167.03,58.14,577,34,34
21,2,10,1079,108.297,31,28,345,1179.18,1124.12,55.06,666,34,34
22,3,9,967,62.054,33,31,379,1302.17,1293.11,9.06,518,35,35
23,4,9,943,80.133,29,24,311,1039.37,963.52,75.85,572,30,30
24,5,9,966,112.217,28,25,340,1172.19,1128.01,44.18,564,31,31
25,6,3,1072,122.148,25,24,304,1056.88,1042.0,14.88,706,31,31
26,7,5,1092,52.148,32,26,347,1181.46,1102.59,78.87,677,34,34
27,8,9,979,121.598,22,20,267,925.17,893.5,31.67,660,26,26
28,9,9,968,77.713,24,21,260,878.28,828.57,49.71,658,25,25
29,10,9,1019,58.63,22,20,268,915.47,885.98,29.49,697,27,27
30,1,7,1047,128.568,30,25,330,1128.46,1037.32,91.14,655,31,31
31,2,3,1079,113.614,47,39,450,1467.64,1370.03,97.61,535,47,47
32,3,9,1102,80.391,20,18,220,724.94,697.29,27.65,838,22,22
33,4,3,1053,55.236,29,27,330,1148.95,1110.76,38.19,659,32,32
34,5,9,1090,48.943,29,25,306,1009.09,949.78,59.31,722,31,31
35,6,5,1026,78.799,37,31,358,1183.33,1095.33,88.0,590,39,39
36,7,8,1027,60.348,27,23,279,921.23,853.41,67.82,690,29,29
37,8,9,964,104.41,26,21,216,649.92,593.06,56.86,702,23,23
38,9,10,1098,85.025,25,22,277,927.94,890.68,37.26,769,26,26
39,10,10,1038,25.667,35,27,356,1161.76,1021.38,140.38,612,35,35
40,1,7,1034,133.588,13,12,163,551.39,541.78,9.61,835,18,18
41,2,10,1099,129.628,25,20,249,805.73,756.26,49.47,804,23,23
42,3,9,981,101.321,27,22,281,966.39,880.78,85.61,646,27,27
43,4,9,956,63.958,22,17,234,784.17,666.49,117.68,672,25,25
44,5,9,982,46.156,20,16,210,672.77,606.86,65.91,730,21,21
45,6,7,1052,53.972,27,22,252,826.88,734.36,92.52,744,28,28
46,7,8,780,123.146,14,12,151,487.13,468.17,18.96,597,16,16
