vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1076,45.843,34,31,525,1901.01,1821.17,79.84,473,39,39
1,2,2,1106,53.428,30,29,493,1808.39,1758.15,50.24,539,37,37
2,3,3,1056,60.284,33,31,495,1792.4,1717.56,74.84,487,37,37
3,4,4,1072,27.726,37,33,498,1746.96,1659.03,87.93,496,39,39
4,5,5,1097,48.638,34,33,481,1739.3,1677.26,62.04,538,39,39
5,6,6,1101,38.274,38,34,506,1785.7,1672.42,113.28,519,38,38
6,7,7,1119,42.803,40,36,532,1864.68,1825.31,39.37,503,42,42
7,8,8,1094,71.932,32,29,409,1421.92,1366.21,55.71,607,39,39
8,9,9,981,103.685,26,26,378,1373.33,1373.33,0.0,537,33,33
9,10,10,1034,19.164,30,29,459,1662.0,1592.11,69.89,495,40,40
10,1,1,1096,28.707,40,36,476,1643.75,1607.04,36.71,540,40,40
11,2,2,966,52.04,29,26,368,1306.17,1228.89,77.28,538,30,30
12,3,3,955,51.345,24,22,321,1145.29,1074.47,70.82,578,28,28
13,4,4,986,46.628,27,24,343,1181.28,1096.9,84.38,585,29,29
14,5,5,1108,80.094,32,30,405,1412.0,1367.03,44.97,629,37,37
15,6,6,1059,52.667,29,27,379,1331.5,1265.96,65.54,612,34,34
16,7,7,956,15.223,27,25,344,1225.02,1162.84,62.18,550,31,31
17,8,8,968,95.024,28,24,331,1133.08,1062.18,70.9,583,27,27
18,9,9,953,69.261,26,25,325,1140.44,1112.87,27.57,562,33,33
19,10,10,1065,53.647,32,29,365,1256.13,1187.64,68.49,632,34,34
20,1,1,980,31.759,27,24,345,1224.65,1139.28,85.37,571,32,32
21,2,2,1051,76.623,37,32,398,1362.08,1276.11,85.97,583,35,35
22,3,3,983,33.656,25,23,269,919.07,861.31,57.76,662,26,26
23,4,4,1002,60.284,27,25,354,1256.32,1178.79,77.53,582,33,33
24,5,5,985,31.706,26,25,324,1110.71,1048.67,62.04,599,31,31
25,6,6,979,16.819,27,21,301,1025.99,885.3,140.69,626,26,26
26,7,7,1102,89.517,28,23,281,905.74,808.91,96.83,761,30,30
27,8,8,960,68.488,29,24,352,1223.04,1124.84,98.2,554,27,27
28,9,9,1048,38.094,33,26,356,1194.94,1074.07,120.87,628,32,32
29,10,10,993,32.39,28,25,364,1272.23,1162.24,109.99,565,32,32
30,1,1,943,44.558,23,19,260,877.13,771.88,105.25,631,26,26
31,2,2,940,22.326,22,19,245,853.02,757.33,95.69,649,23,23
32,3,3,1091,65.098,21,17,238,805.13,722.86,82.27,809,22,22
33,4,4,942,38.274,18,15,197,661.75,580.14,81.61,709,18,18
34,5,5,956,40.238,24,22,262,903.83,819.73,84.1,648,23,23
35,6,6,1057,42.608,25,19,260,881.16,734.89,146.27,743,27,27
36,7,7,952,62.158,25,21,265,878.18,793.63,84.55,641,23,23
37,8,8,944,75.704,27,22,258,825.63,767.48,58.15,634,26,26
38,9,9,1063,84.934,19,16,180,585.12,522.88,62.24,847,18,18
39,10,10,1007,107.444,23,19,211,699.08,626.66,72.42,744,26,26
40,1,1,1018,90.497,17,15,200,681.21,662.25,18.96,780,19,19
41,2,2,957,43.504,21,17,196,623.52,516.38,107.14,719,21,21
42,3,3,1022,125.568,17,13,164,537.61,486.58,51.03,826,16,16
43,4,4,959,38.274,29,24,290,937.15,806.88,130.27,607,31,31
44,5,5,1066,66.402,29,27,279,922.11,885.79,36.32,727,30,30
45,6,6,1039,20.799,32,28,325,1087.57,979.21,108.36,652,31,31
46,7,7,1049,39.348,21,18,239,818.72,754.81,63.91,768,21,21
47,8,8,1064,54.481,29,24,277,879.61,784.62,94.99,731,28,28
48,9,9,1090,113.064,16,13,174,596.39,540.0,56.39,886,15,15
49,10,10,1074,67.5,27,22,297,995.15,916.93,78.22,725,26,26
50,1,1,1034,132.65,25,20,231,725.13,666.51,58.62,751,26,26
51,2,2,1101,62.358,34,29,316,1022.58,904.88,117.7,723,31,31
52,3,3,1094,77.874,15,13,164,547.94,488.04,59.9,896,17,17
53,4,4,1051,127.848,25,19,204,609.16,537.16,72.0,799,24,24
54,5,5,983,51.024,28,22,266,863.53,739.57,123.96,665,26,26
55,6,6,990,81.574,27,22,232,731.57,636.41,95.16,704,27,27
56,7,7,979,125.054,22,18,175,520.57,463.36,57.21,754,25,25
57,8,8,991,111.388,19,16,202,687.46,603.08,84.38,749,20,20
58,9,9,990,84.934,22,19,210,699.55,626.51,73.04,734,23,23
59,10,10,1006,75.598,27,19,234,734.05,554.46,179.59,718,27,27
60,1,1,995,104.024,24,19,192,582.35,523.67,58.68,753,25,25
61,2,2,1008,114.854,24,18,182,521.99,435.39,86.6,784,21,21
62,3,3,998,60.284,20,16,193,599.58,515.49,84.09,763,21,21
63,4,4,992,55.344,21,18,162,466.3,384.69,81.61,784,23,23
64,5,5,1030,101.348,33,27,270,816.54,719.32,97.22,684,38,38
65,6,6,1046,90.108,19,14,150,429.95,329.67,100.28,860,18,18
66,7,7,900,88.054,24,18,195,605.46,496.38,109.08,657,24,24
67,8,8,1065,68.12,18,15,191,650.93,577.0,73.93,836,19,19
68,9,9,1015,41.868,27,21,233,697.18,564.61,132.57,730,26,26
69,10,10,869,104.328,13,12,130,430.86,395.12,35.74,711,14,14
70,1,1,997,55.344,20,17,183,584.65,517.87,66.78,776,19,19
71,2,2,1006,71.124,21,16,173,515.56,421.06,94.5,793,20,20
72,3,3,769,104.24,19,16,151,444.93,387.74,57.19,578,20,20
73,4,4,1046,55.344,23,18,243,793.46,652.91,140.55,763,20,20
74,5,5,977,101.612,19,14,182,582.12,524.58,57.54,759,18,18
75,6,6,817,117.885,19,15,143,411.57,350.88,60.69,630,22,22
76,7,7,1062,18.827,18,14,199,673.35,605.36,67.99,831,16,16
77,8,8,786,60.682,16,13,134,389.03,307.56,81.47,622,15,15
78,9,9,920,54.776,26,19,204,539.98,400.04,139.94,668,24,24
79,10,10,1121,43.174,36,27,330,1013.09,832.26,180.83,721,35,35
80,1,1,796,110.198,16,13,114,329.83,277.53,52.3,648,17,17
81,2,2,830,106.558,27,21,224,699.52,593.23,106.29,562,22,22
82,3,3,811,105.818,14,10,116,359.2,269.37,89.83,669,13,13
83,4,4,817,118.008,16,12,122,339.04,270.71,68.33,659,18,18
84,5,5,838,128.83,16,12,114,301.32,252.9,48.42,690,17,17
85,6,6,994,66.571,22,17,202,637.29,520.56,116.73,754,19,19
86,7,7,782,50.978,11,8,121,405.6,327.32,78.28,637,12,12
87,8,8,968,95.119,26,20,213,637.41,539.35,98.06,703,26,26
88,9,9,852,66.392,15,11,146,484.65,356.86,127.79,678,14,14
89,10,10,830,97.316,17,13,151,470.61,365.97,104.64,653,13,13
90,1,1,827,131.618,10,8,72,210.37,163.05,47.32,735,10,10
91,2,2,1076,109.534,18,14,152,455.59,417.69,37.9,886,19,19
92,3,3,787,89.639,19,14,147,427.95,322.58,105.37,602,19,19
93,4,4,826,121.498,20,15,174,548.39,435.37,113.02,614,19,19
94,5,5,847,118.774,18,14,163,498.43,446.54,51.89,650,17,17
95,6,6,801,138.798,13,12,119,373.91,359.03,14.88,648,17,17
96,7,7,831,100.078,10,8,86,274.94,220.01,54.93,727,9,9
97,8,8,784,41.772,15,11,158,512.78,393.23,119.55,598,14,14
98,9,9,878,56.744,8,7,98,340.89,266.1,74.79,758,11,11
99,10,10,761,71.436,12,9,122,411.22,342.56,68.66,613,13,13
100,1,1,980,43.452,18,14,143,423.01,309.71,113.3,809,14,14
101,2,2,874,103.068,19,14,131,322.41,262.66,59.75,705,19,19
102,3,3,926,98.554,16,12,118,339.46,265.46,74.0,774,17,17
103,4,4,869,87.944,16,13,138,408.7,352.48,56.22,701,15,15
104,5,5,1087,89.684,16,12,139,437.39,376.81,60.58,918,15,15
105,6,6,864,133.588,14,12,99,283.91,269.63,14.28,729,18,18
106,7,7,847,102.994,17,13,122,308.66,230.93,77.73,697,14,14
107,8,8,1115,61.286,25,18,234,748.83,565.2,183.63,835,23,23
108,9,9,891,65.278,15,9,131,373.64,213.09,160.55,734,13,13
109,10,10,884,70.278,22,16,189,561.38,431.05,130.33,655,20,20
110,1,1,766,123.084,11,7,88,245.76,191.96,53.8,660,9,9
111,2,2,1085,109.544,26,17,220,641.7,504.08,137.62,817,24,24
112,3,3,1013,15.711,29,21,224,624.92,465.08,159.84,735,27,27
113,4,4,879,102.994,18,14,169,544.48,481.4,63.08,676,17,17
114,5,5,820,132.995,21,18,184,581.67,552.07,29.6,594,21,21
115,6,6,759,125.054,11,9,88,245.28,209.9,35.38,649,11,11
116,7,7,999,78.174,20,14,165,527.09,395.35,131.74,798,18,18
117,8,8,826,146.334,14,13,101,276.81,264.05,12.76,689,18,18
118,9,9,780,32.386,8,5,83,277.16,169.45,107.71,687,5,5
119,10,10,916,104.328,27,21,205,550.67,474.95,75.72,661,25,25
120,1,1,787,123.084,9,8,88,295.22,271.83,23.39,681,9,9
121,2,2,880,113.954,21,16,157,402.18,332.25,69.93,681,21,21
122,3,3,1034,122.148,21,15,169,479.69,370.01,109.68,823,21,21
123,4,4,846,96.614,14,11,98,258.55,191.0,67.55,722,13,13
124,5,5,910,118.774,21,14,137,298.76,222.09,76.67,739,17,17
125,6,6,773,133.588,9,8,80,244.18,220.25,23.93,671,11,11
126,7,7,812,89.168,11,8,83,243.29,154.85,88.44,711,9,9
127,8,8,987,69.232,11,10,93,290.48,272.44,18.04,868,13,13
128,9,9,1053,60.834,25,16,202,607.51,443.26,164.25,811,20,20
129,10,10,1058,58.694,29,19,246,692.25,503.54,188.71,764,24,24
130,1,1,1073,18.387,23,18,209,667.98,524.58,143.4,814,25,25
131,2,2,1056,62.824,25,19,198,564.99,435.22,129.77,802,28,28
132,3,3,997,34.492,10,7,93,265.51,192.87,72.64,886,9,9
133,4,4,907,131.618,14,13,120,371.08,349.02,22.06,755,16,16
134,5,5,847,119.888,15,11,110,280.66,232.28,48.38,711,13,13
135,6,6,1069,68.877,34,25,288,901.16,735.68,165.48,727,27,27
136,7,7,969,70.436,16,12,123,353.26,310.9,42.36,812,17,17
137,8,8,1116,57.021,24,18,204,607.02,476.61,130.41,860,26,26
138,9,9,1102,31.324,24,14,207,602.97,413.91,189.06,859,18,18
139,10,10,1014,63.811,9,7,96,303.56,225.51,78.05,904,7,7
140,1,1,889,95.216,14,9,90,207.28,147.52,59.76,775,12,12
141,2,2,933,88.054,14,9,103,255.81,175.8,80.01,812,9,9
142,3,3,1024,61.942,8,7,100,357.16,321.99,35.17,908,8,8
143,4,4,1055,55.996,21,13,167,483.21,347.63,135.58,852,18,18
144,5,5,846,130.798,18,13,125,330.15,274.68,55.47,693,14,14
145,6,6,839,143.558,15,10,111,277.42,207.89,69.53,706,11,11
146,7,7,857,111.528,15,11,106,294.97,225.45,69.52,719,16,16
147,8,8,838,78.388,8,6,78,236.67,161.38,75.29,744,8,8
148,9,9,1083,31.267,10,6,110,369.14,261.35,107.79,961,6,6
149,10,10,919,87.662,15,11,126,339.03,255.49,83.54,765,14,14
150,1,1,834,115.408,7,5,52,145.07,106.8,38.27,766,8,8
151,2,2,737,55.954,5,4,66,228.55,170.89,57.66,663,4,4
