horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.004
20,50,23,23,16,16,4217,15,883410.0,20.009
40,70,26,26,14,30,4203,15,1001790.0,20.133
60,90,31,31,18,48,4185,15,1080370.0,20.006
80,110,37,37,22,70,4163,15,1151050.0,20.372
100,130,43,43,26,96,4137,15,1310900.0,20.011
120,150,73,73,23,119,4114,15,1899290.0,20.012
140,170,132,131,87,206,4026,16,4329570.0,20.009
160,190,110,106,73,279,3950,19,8344920.0,20.009
180,210,97,94,67,346,3880,22,6771710.0,20.858
200,230,79,76,48,394,3829,25,6399020.0,20.553
220,250,71,71,44,438,3785,25,1832620.0,20.007
240,270,114,114,47,485,3738,25,3204710.0,20.876
260,290,180,179,117,602,3620,26,6104410.0,20.017
280,310,174,170,102,704,3514,30,10067250.0,20.025
300,330,168,167,109,813,3404,31,6379360.0,20.022
320,350,142,138,86,899,3315,34,9906100.0,20.019
340,370,123,120,83,982,3229,37,8143420.0,20.01
360,390,88,88,66,1048,3163,37,2744950.0,20.047
380,410,78,78,45,1093,3118,37,2637600.0,20.013
400,430,81,80,52,1145,3066,37,4112350.0,20.274
420,450,69,68,47,1192,3018,38,3796070.0,20.17
440,470,59,59,36,1228,2982,38,2016190.0,20.011
460,490,69,69,40,1268,2942,38,2366470.0,20.011
480,510,89,89,51,1319,2891,38,2797760.0,20.013
500,530,130,130,77,1396,2814,38,3307270.0,20.785
520,550,135,134,88,1484,2725,39,5047910.0,20.012
540,570,131,131,80,1564,2645,39,3396380.0,20.02
560,590,124,122,78,1642,2565,41,6358300.0,20.872
580,610,138,137,87,1729,2477,42,5178330.0,20.011
600,630,160,160,86,1815,2391,42,4085350.0,20.012
620,650,204,201,134,1949,2256,43,10061880.0,20.024
640,670,223,221,121,2070,2133,45,8501990.0,20.027
660,690,286,286,160,2230,1973,45,6789480.0,20.033
680,710,349,346,206,2436,1764,48,11997760.0,20.035
700,730,363,355,211,2647,1547,54,20019310.0,20.045
720,750,317,299,211,2858,1320,70,33281770.0,20.059
740,770,218,208,129,2987,1181,80,18922110.0,20.019
760,790,202,202,127,3114,1054,80,3555170.0,20.026
780,810,177,176,116,3230,937,81,4711700.0,20.016
800,830,169,166,98,3328,836,84,7094300.0,20.012
820,850,191,185,109,3437,721,90,12172820.0,20.011
840,870,169,162,110,3547,604,97,13471890.0,20.022
860,890,138,135,88,3635,513,100,7917470.0,20.015
880,910,110,108,69,3704,442,102,6490490.0,20.206
900,930,116,109,67,3771,368,109,14852060.0,20.012
920,950,111,107,67,3838,299,111,10525260.0,20.431
940,970,111,102,63,3901,231,116,18132100.0,20.493
960,990,98,93,65,3966,162,120,11504550.0,21.423
980,1010,82,79,46,4012,114,122,7346000.0,20.514
1000,1030,70,68,50,4062,63,123,5235540.0,20.386
1020,1050,42,41,32,4094,30,124,3094110.0,20.211
1040,1070,22,21,15,4109,14,125,2389070.0,20.077
1060,1090,14,14,11,4120,3,125,622080.0,20.011
1080,1110,3,3,3,4123,0,125,153250.0,20.005
1100,1130,0,0,0,4123,0,125,,0.0
1120,1150,0,0,0,4123,0,125,,0.0
