vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1123,45.846,586,1863.54,1743.15,120.39,473,32,32
1,2,2,1111,52.156,575,1776.83,1712.9,63.93,464,36,36
2,3,3,1038,86.815,529,1651.73,1552.0,99.73,443,33,33
3,4,4,1079,28.482,567,1810.57,1708.29,102.28,452,30,30
4,5,5,1073,30.654,536,1686.56,1606.48,80.08,475,31,31
5,6,6,1082,26.438,564,1764.5,1654.89,109.61,450,34,34
6,7,7,1072,60.147,544,1691.63,1583.91,107.72,466,31,31
7,8,8,1066,71.304,487,1518.11,1503.52,14.59,519,30,30
8,9,9,1111,39.79,488,1515.73,1414.85,100.88,567,28,28
9,10,10,1104,87.564,558,1693.49,1572.64,120.85,476,35,35
10,1,1,1103,43.065,574,1770.23,1564.31,205.92,461,34,34
11,2,2,1078,26.747,541,1647.29,1491.02,156.27,473,32,32
12,3,3,1082,62.837,543,1596.73,1404.81,191.92,475,32,32
13,4,4,1141,60.585,571,1743.6,1637.25,106.35,498,36,36
14,5,5,1093,51.024,527,1656.3,1545.86,110.44,506,30,30
15,6,6,1096,32.929,507,1512.84,1402.73,110.11,527,31,31
16,7,7,1114,95.135,557,1718.98,1473.1,245.88,493,32,32
17,8,8,1126,21.329,521,1601.59,1457.93,143.66,549,28,28
18,9,9,1088,113.064,490,1461.55,1379.01,82.54,532,33,33
19,10,10,989,33.669,483,1440.81,1195.22,245.59,452,27,27
20,1,1,985,45.93,480,1408.89,1274.55,134.34,439,33,33
21,2,2,1075,51.297,501,1482.3,1367.91,114.39,512,31,31
22,3,3,1106,55.677,522,1527.36,1397.1,130.26,520,32,32
23,4,4,1112,114.864,482,1443.97,1332.06,111.91,560,35,35
24,5,5,992,23.639,463,1409.85,1223.47,186.38,477,26,26
25,6,6,1090,56.388,509,1485.13,1313.87,171.26,513,34,34
26,7,7,1007,75.634,397,1202.63,1118.33,84.3,556,27,27
27,8,8,971,92.774,350,969.97,862.74,107.23,569,26,26
28,9,9,1091,93.744,418,1253.0,1179.09,73.91,619,27,27
29,10,10,1013,30.278,481,1404.57,1240.58,163.99,464,34,34
