horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,8,8,0,0,4265,18,334920.0,5.001
20,50,29,29,20,20,4245,18,1461890.0,5.003
40,70,28,28,18,38,4227,18,1421260.0,5.002
60,90,28,28,19,57,4208,18,1240520.0,5.014
80,110,31,30,19,76,4188,19,2528570.0,5.089
100,130,42,40,22,98,4165,20,4778470.0,5.052
120,150,77,74,23,121,4141,21,7192760.0,5.026
140,170,147,121,73,194,4059,30,37549080.0,5.007
160,190,161,118,64,258,3971,54,61241440.0,5.008
180,210,135,97,73,331,3864,88,54426820.0,5.007
200,230,82,73,37,368,3818,97,14416220.0,5.042
220,250,81,71,46,414,3767,102,17350540.0,5.035
240,270,136,112,35,449,3720,114,39255810.0,5.005
260,290,192,136,84,533,3624,126,90576860.0,5.007
280,310,199,125,66,599,3513,171,114239970.0,5.009
300,330,180,116,72,671,3411,201,95277160.0,5.009
320,350,154,109,64,735,3311,237,68209290.0,5.008
340,370,155,116,65,800,3231,252,61901860.0,5.008
360,390,134,88,58,858,3139,286,71204460.0,5.006
380,410,95,82,55,913,3071,299,22202810.0,5.006
400,430,62,61,45,958,3025,300,4027390.0,5.064
420,450,60,59,39,997,2985,301,3893530.0,5.119
440,470,70,66,37,1034,2946,303,8405370.0,5.169
460,490,70,66,46,1080,2897,306,8859660.0,5.186
480,510,74,71,30,1110,2864,309,7263230.0,5.027
500,530,135,119,69,1179,2789,315,28269970.0,5.007
520,550,139,103,59,1238,2709,336,56787700.0,5.013
540,570,132,102,59,1297,2626,360,48532990.0,5.006
560,590,141,117,66,1363,2545,375,39688340.0,5.007
580,610,129,107,70,1433,2458,392,36155600.0,5.007
600,630,157,121,61,1494,2390,399,54743360.0,5.008
620,650,220,129,81,1575,2277,431,134334900.0,5.009
640,670,237,119,68,1643,2163,477,168892760.0,5.011
660,690,304,134,70,1713,2025,545,241832320.0,5.013
680,710,397,117,72,1785,1869,629,401015180.0,5.016
700,730,446,95,60,1845,1651,787,510537970.0,5.016
720,750,407,111,80,1925,1426,932,429488810.0,5.017
740,770,305,120,68,1993,1228,1062,268129580.0,5.013
760,790,233,134,65,2058,1107,1118,143171340.0,5.012
780,810,224,134,86,2144,972,1167,129755920.0,5.012
800,830,189,121,64,2208,864,1211,96884950.0,5.009
820,850,205,127,71,2279,762,1242,108535380.0,5.014
840,870,191,114,71,2350,641,1292,107811330.0,5.009
860,890,139,101,60,2410,548,1325,55832330.0,5.007
880,910,127,105,58,2468,474,1341,40782140.0,5.009
900,930,110,88,57,2525,399,1359,38401820.0,5.007
920,950,119,103,53,2578,340,1365,28642280.0,5.007
940,970,128,91,45,2623,279,1381,61497320.0,5.007
960,990,131,87,61,2684,194,1405,71686930.0,5.009
980,1010,92,62,31,2715,141,1427,48949770.0,5.491
1000,1030,81,61,41,2756,89,1438,33988260.0,5.018
1020,1050,52,36,26,2782,52,1449,25469320.0,5.059
1040,1070,38,31,20,2802,27,1454,12231990.0,5.015
1060,1090,27,23,15,2817,9,1457,6868650.0,5.04
1080,1110,9,5,5,2822,2,1459,6261990.0,5.008
1100,1130,2,0,0,2822,0,1461,3045300.0,5.007
1120,1150,0,0,0,2822,0,1461,,0.0
