vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,839,45.541,27,26,407,1473.26,1415.54,57.72,368,32,32
1,2,2,819,83.249,26,22,380,1351.62,1243.6,108.02,395,22,22
2,3,3,809,41.003,25,23,375,1357.4,1318.15,39.25,378,28,28
3,4,4,817,32.786,34,27,386,1324.17,1144.77,179.4,373,29,29
4,5,5,826,84.996,29,25,347,1174.57,1101.35,73.22,421,29,29
5,6,6,791,49.136,31,26,358,1191.37,1096.1,95.27,373,30,30
6,7,7,843,60.528,30,26,414,1468.85,1362.1,106.75,371,29,29
7,8,8,804,19.92,33,25,394,1334.84,1168.28,166.56,356,27,27
8,9,9,831,28.017,30,24,368,1288.78,1120.71,168.07,401,31,31
9,10,10,831,34.618,29,25,403,1406.0,1297.55,108.45,362,33,33
10,1,1,824,71.632,29,23,370,1298.05,1157.37,140.68,398,28,28
11,2,2,825,93.636,30,25,358,1221.66,1166.89,54.77,413,27,27
12,3,3,821,55.171,29,23,332,1123.21,984.47,138.74,433,28,28
13,4,4,840,64.201,35,28,377,1288.8,1148.0,140.8,395,34,34
14,5,5,816,43.847,35,25,389,1313.58,1094.36,219.22,363,32,32
15,6,6,825,92.716,40,28,388,1250.26,1045.2,205.06,371,33,33
16,7,7,826,52.114,34,26,381,1294.49,1131.44,163.05,381,32,32
17,8,8,795,60.891,30,24,346,1187.59,1082.76,104.83,393,28,28
18,9,9,836,25.586,30,24,363,1248.51,1025.35,223.16,423,25,25
19,10,10,837,40.525,32,28,373,1294.88,1152.12,142.76,396,34,34
20,1,1,825,75.668,32,26,322,1040.64,962.72,77.92,445,29,29
21,2,2,823,35.89,41,29,392,1253.12,1045.04,208.08,361,35,35
22,3,3,829,48.635,37,30,381,1273.9,1057.87,216.03,378,35,35
23,4,4,822,60.367,35,28,374,1255.14,1092.35,162.79,384,32,32
24,5,5,813,53.436,30,24,389,1359.59,1170.96,188.63,372,26,26
25,6,6,834,67.074,33,24,375,1277.92,1025.61,252.31,403,28,28
26,7,7,817,37.849,33,26,346,1147.49,1010.25,137.24,413,29,29
27,8,8,823,41.837,32,26,345,1160.82,997.44,163.38,416,31,31
28,9,9,847,28.533,34,25,374,1251.37,1027.45,223.92,413,30,30
29,10,10,821,71.26,36,25,362,1165.23,963.36,201.87,403,28,28
30,1,1,826,91.157,36,26,340,1085.51,894.92,190.59,426,30,30
31,2,2,822,57.8,40,25,361,1143.16,832.17,310.99,407,27,27
32,3,3,823,42.56,41,25,380,1179.9,873.51,306.39,385,29,29
33,4,4,809,29.154,31,22,347,1179.97,928.13,251.84,408,27,27
34,5,5,824,41.088,34,24,367,1204.52,1032.5,172.02,403,27,27
35,6,6,823,86.628,39,26,357,1136.36,880.98,255.38,410,28,28
36,7,7,826,84.64,32,22,340,1114.99,882.36,232.63,434,26,26
37,8,8,809,16.33,36,25,358,1176.47,958.87,217.6,399,26,26
38,9,9,799,32.235,32,23,347,1170.8,977.78,193.02,398,27,27
39,10,10,816,19.645,36,23,385,1247.86,881.39,366.47,377,27,27
40,1,1,824,77.873,32,25,374,1265.26,1051.08,214.18,392,29,29
41,2,2,811,96.614,30,21,316,1082.62,831.64,250.98,445,25,25
42,3,3,825,66.282,38,23,365,1178.16,849.93,328.23,410,25,25
43,4,4,808,86.056,36,24,359,1151.17,879.89,271.28,391,29,29
44,5,5,808,58.973,33,24,355,1190.91,952.17,238.74,391,31,31
