time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,1,1,서울역,2,"0,10"
0,05:40,10,10,인천공항,2,"9,19"
0,05:40,2,2,수서,2,"1,11"
0,05:40,3,3,삼성,2,"2,12"
0,05:40,4,4,여의도,2,"3,13"
0,05:40,5,5,김포공항,2,"4,14"
0,05:40,6,6,일산,2,"5,15"
0,05:40,7,7,판교,2,"6,16"
0,05:40,8,8,동탄/용인,2,"7,17"
0,05:40,9,9,평택,2,"8,18"
1,05:41,1,1,서울역,2,"0,10"
1,05:41,10,10,인천공항,2,"9,19"
1,05:41,2,2,수서,2,"1,11"
1,05:41,3,3,삼성,2,"2,12"
1,05:41,4,4,여의도,2,"3,13"
1,05:41,5,5,김포공항,2,"4,14"
1,05:41,6,6,일산,2,"5,15"
1,05:41,7,7,판교,2,"6,16"
1,05:41,8,8,동탄/용인,2,"7,17"
1,05:41,9,9,평택,2,"8,18"
2,05:42,1,1,서울역,2,"0,10"
2,05:42,10,10,인천공항,2,"9,19"
2,05:42,2,2,수서,2,"1,11"
2,05:42,3,3,삼성,2,"2,12"
2,05:42,4,4,여의도,2,"3,13"
2,05:42,5,5,김포공항,2,"4,14"
2,05:42,6,6,일산,2,"5,15"
2,05:42,7,7,판교,2,"6,16"
2,05:42,8,8,동탄/용인,2,"7,17"
2,05:42,9,9,평택,2,"8,18"
3,05:43,1,1,서울역,2,"0,10"
3,05:43,10,10,인천공항,2,"9,19"
3,05:43,2,2,수서,2,"1,11"
3,05:43,3,3,삼성,2,"2,12"
3,05:43,4,4,여의도,2,"3,13"
3,05:43,5,5,김포공항,2,"4,14"
3,05:43,6,6,일산,2,"5,15"
3,05:43,7,7,판교,2,"6,16"
3,05:43,8,8,동탄/용인,2,"7,17"
3,05:43,9,9,평택,2,"8,18"
4,05:44,1,1,서울역,2,"0,10"
4,05:44,10,10,인천공항,2,"9,19"
4,05:44,2,2,수서,2,"1,11"
4,05:44,3,3,삼성,2,"2,12"
4,05:44,4,4,여의도,2,"3,13"
4,05:44,5,5,김포공항,2,"4,14"
4,05:44,6,6,일산,2,"5,15"
4,05:44,7,7,판교,2,"6,16"
4,05:44,8,8,동탄/용인,2,"7,17"
4,05:44,9,9,평택,2,"8,18"
5,05:45,1,1,서울역,2,"0,10"
5,05:45,10,10,인천공항,2,"9,19"
5,05:45,2,2,수서,2,"1,11"
5,05:45,3,3,삼성,2,"2,12"
5,05:45,4,4,여의도,2,"3,13"
5,05:45,5,5,김포공항,2,"4,14"
5,05:45,6,6,일산,2,"5,15"
5,05:45,7,7,판교,2,"6,16"
5,05:45,8,8,동탄/용인,2,"7,17"
5,05:45,9,9,평택,2,"8,18"
6,05:46,1,1,서울역,2,"0,10"
6,05:46,10,10,인천공항,2,"9,19"
6,05:46,2,2,수서,2,"1,11"
6,05:46,3,3,삼성,2,"2,12"
6,05:46,4,4,여의도,2,"3,13"
6,05:46,5,5,김포공항,2,"4,14"
6,05:46,6,6,일산,2,"5,15"
6,05:46,7,7,판교,2,"6,16"
6,05:46,8,8,동탄/용인,2,"7,17"
6,05:46,9,9,평택,2,"8,18"
7,05:47,1,1,서울역,2,"0,10"
7,05:47,10,10,인천공항,2,"9,19"
7,05:47,2,2,수서,2,"1,11"
7,05:47,3,3,삼성,2,"2,12"
7,05:47,4,4,여의도,2,"3,13"
7,05:47,5,5,김포공항,2,"4,14"
7,05:47,6,6,일산,2,"5,15"
7,05:47,7,7,판교,2,"6,16"
7,05:47,8,8,동탄/용인,2,"7,17"
7,05:47,9,9,평택,2,"8,18"
8,05:48,1,1,서울역,2,"0,10"
8,05:48,10,10,인천공항,2,"9,19"
8,05:48,2,2,수서,2,"1,11"
8,05:48,3,3,삼성,2,"2,12"
8,05:48,4,4,여의도,2,"3,13"
8,05:48,5,5,김포공항,2,"4,14"
8,05:48,6,6,일산,2,"5,15"
8,05:48,7,7,판교,2,"6,16"
8,05:48,8,8,동탄/용인,2,"7,17"
8,05:48,9,9,평택,2,"8,18"
9,05:49,1,1,서울역,2,"0,10"
9,05:49,10,10,인천공항,2,"9,19"
9,05:49,2,2,수서,2,"1,11"
9,05:49,3,3,삼성,2,"2,12"
9,05:49,4,4,여의도,2,"3,13"
9,05:49,5,5,김포공항,2,"4,14"
9,05:49,6,6,일산,2,"5,15"
9,05:49,7,7,판교,2,"6,16"
9,05:49,8,8,동탄/용인,2,"7,17"
9,05:49,9,9,평택,2,"8,18"
10,05:50,1,1,서울역,2,"0,10"
10,05:50,10,10,인천공항,2,"9,19"
10,05:50,2,2,수서,2,"1,11"
10,05:50,3,3,삼성,2,"2,12"
10,05:50,4,4,여의도,2,"3,13"
10,05:50,5,5,김포공항,2,"4,14"
10,05:50,6,6,일산,2,"5,15"
10,05:50,7,7,판교,2,"6,16"
10,05:50,8,8,동탄/용인,2,"7,17"
10,05:50,9,9,평택,2,"8,18"
11,05:51,1,1,서울역,2,"0,10"
11,05:51,10,10,인천공항,2,"9,19"
11,05:51,2,2,수서,2,"1,11"
11,05:51,3,3,삼성,2,"2,12"
11,05:51,4,4,여의도,2,"3,13"
11,05:51,5,5,김포공항,2,"4,14"
11,05:51,6,6,일산,2,"5,15"
11,05:51,7,7,판교,2,"6,16"
11,05:51,8,8,동탄/용인,2,"7,17"
11,05:51,9,9,평택,2,"8,18"
12,05:52,1,1,서울역,2,"0,10"
12,05:52,10,10,인천공항,2,"9,19"
12,05:52,2,2,수서,2,"1,11"
12,05:52,3,3,삼성,2,"2,12"
12,05:52,4,4,여의도,2,"3,13"
12,05:52,5,5,김포공항,2,"4,14"
12,05:52,6,6,일산,2,"5,15"
12,05:52,7,7,판교,2,"6,16"
12,05:52,8,8,동탄/용인,2,"7,17"
