vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,6,819,143.558,29,25,360,1227.93,1181.76,46.17,407,26,26
1,2,6,790,78.287,33,26,296,951.57,867.51,84.06,440,27,27
2,3,10,795,74.008,23,21,253,850.41,822.2,28.21,494,24,24
3,4,6,797,52.099,26,23,290,964.15,932.84,31.31,457,25,25
4,5,1,819,62.836,24,20,249,817.93,721.35,96.58,530,20,20
5,6,6,800,85.998,30,24,264,828.44,731.85,96.59,480,28,28
6,7,3,818,101.713,36,27,324,997.0,829.63,167.37,436,29,29
7,8,3,796,76.353,32,24,298,935.32,759.04,176.28,446,26,26
8,9,6,805,124.959,25,20,242,757.37,678.18,79.19,517,23,23
9,10,4,810,55.647,29,23,313,1042.14,893.51,148.63,451,23,23
10,1,3,819,138.249,28,20,283,933.79,767.04,166.75,494,21,21
11,2,6,795,42.91,31,23,291,911.49,818.79,92.7,452,26,26
12,3,3,799,147.723,38,29,325,992.14,788.17,203.97,414,30,30
13,4,2,813,36.542,34,22,306,943.05,691.07,251.98,459,24,24
14,5,3,792,71.506,31,22,275,863.08,670.78,192.3,465,26,26
15,6,5,809,140.964,24,16,237,784.35,576.25,208.1,534,19,19
16,7,3,800,108.416,27,18,242,754.0,520.32,233.68,522,18,18
17,8,7,797,128.253,27,19,230,705.33,543.09,162.24,527,20,20
18,9,8,804,36.223,24,16,222,718.72,533.85,184.87,550,16,16
19,10,3,809,153.018,33,25,264,787.37,694.18,93.19,487,29,29
20,1,6,806,50.364,18,12,190,631.88,459.05,172.83,590,13,13
21,2,4,809,155.934,20,15,165,520.48,403.53,116.95,610,17,17
22,3,2,818,55.103,32,19,261,760.3,546.97,213.33,515,21,21
23,4,5,806,91.644,26,18,213,605.05,483.72,121.33,557,18,18
24,5,6,782,98.618,25,17,236,745.58,569.37,176.21,508,19,19
