horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,2,2,0,0,742,0,100220,10.005
20,50,7,7,4,4,738,0,358000,10.006
40,70,9,9,6,10,732,0,446410,10.005
60,90,3,3,3,13,729,0,145770,10.002
80,110,6,6,0,13,729,0,135390,10.019
100,130,11,11,8,21,721,0,277030,10.002
120,150,11,11,4,25,717,0,281400,10.014
140,170,31,31,19,44,698,0,687580,10.003
160,190,39,38,21,65,676,1,3000510,10.066
180,210,27,27,22,87,654,1,885260,10.074
200,230,17,17,11,98,643,1,479800,10.027
220,250,16,16,13,111,630,1,474370,10.025
240,270,22,22,9,120,621,1,674380,10.026
260,290,47,47,35,155,586,1,1565480,10.356
280,310,34,33,20,175,565,2,2227730,10.037
300,330,39,39,17,192,548,2,1316230,10.004
320,350,32,32,24,216,524,2,1090250,10.004
340,370,26,26,17,233,507,2,894120,10.198
360,390,22,22,17,250,490,2,1038870,10.068
380,410,13,13,8,258,482,2,507930,10.004
400,430,12,12,7,265,475,2,377240,10.017
420,450,22,22,14,279,461,2,790960,10.003
440,470,15,15,12,291,449,2,661110,10.003
460,490,4,3,3,294,445,3,2047070,10.02
480,510,14,14,3,297,442,3,545140,10.002
500,530,24,24,18,315,424,3,788080,10.003
520,550,25,25,16,331,408,3,754060,10.003
540,570,31,30,18,349,389,4,2707380,10.153
560,590,26,26,18,367,371,4,701250,10.158
580,610,26,26,16,383,355,4,845140,10.003
600,630,25,25,12,395,343,4,761740,10.005
620,650,38,38,23,418,320,4,1042530,10.05
640,670,56,56,28,446,292,4,1729630,10.005
660,690,79,78,39,485,252,5,3995980,10.008
680,710,94,89,52,537,196,9,9811930,10.008
700,730,91,89,57,594,137,11,5260770,10.008
720,750,64,63,45,639,91,12,2693570,10.005
740,770,48,47,26,665,64,13,2699220,10.237
760,790,49,49,34,699,30,13,952810,10.378
780,810,30,27,19,718,11,13,5358200,10.044
800,816,11,8,8,726,3,13,5191290,10.003
