horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3335,0,390670,10.002
20,50,23,23,16,16,3319,0,908930,10.045
40,70,26,25,13,29,3305,1,2646890,10.062
60,90,31,31,18,47,3287,1,1355570,10.003
80,110,37,34,19,66,3266,3,5671210,10.201
100,130,44,41,23,89,3241,5,6635960,10.024
120,150,75,73,22,111,3218,6,6384540,10.005
140,170,134,82,46,157,3161,17,72875960,10.007
160,190,143,66,37,194,3078,63,107902850,10.01
180,210,123,69,43,237,3002,96,76897280,10.009
200,230,99,68,39,276,2939,120,44787060,10.007
220,250,79,70,41,317,2890,128,15130200,10.006
240,270,117,76,29,346,2857,132,63070320,10.007
260,290,197,81,50,396,2779,160,173031840,10.016
280,310,231,73,40,436,2662,237,233437290,10.015
300,330,214,69,33,469,2567,299,217256530,10.016
320,350,203,64,41,510,2451,374,211396740,10.013
340,370,157,65,38,548,2362,425,142910890,10.014
360,390,119,51,32,580,2288,467,104590590,10.009
380,410,101,61,34,614,2227,494,62034650,10.008
400,430,88,59,31,645,2185,505,45938590,10.02
420,450,86,59,36,681,2128,526,43468010,10.007
440,470,67,55,31,712,2088,535,20329000,10.099
460,490,73,63,35,747,2049,539,17135280,10.315
480,510,94,70,39,786,2004,545,37665990,10.009
500,530,141,73,41,827,1948,560,102911690,10.009
520,550,167,63,37,864,1867,604,156403160,10.011
540,570,171,65,31,895,1785,655,158932050,10.021
560,590,162,61,32,927,1697,711,152481850,10.01
580,610,168,67,31,958,1625,752,155225640,10.011
600,630,206,72,34,992,1536,807,202983240,10.015
620,650,247,73,41,1033,1428,874,261275710,10.016
640,670,293,69,27,1060,1307,968,335385800,10.017
660,690,358,73,41,1101,1164,1070,426548270,10.022
680,710,438,68,30,1131,1003,1201,549205570,10.027
700,730,500,67,38,1169,782,1384,645335200,10.029
720,750,450,58,32,1201,566,1568,585147210,10.026
740,770,362,67,30,1231,357,1747,441748080,10.025
760,790,276,63,34,1265,222,1848,313165600,10.022
780,810,222,55,35,1300,94,1941,241016270,10.016
800,816,94,13,13,1313,23,1999,118983830,10.156
