num_vehicles,total_penalty,complete_batch_count,overdue_batch_count,total_batch_count,runtime_seconds,output_directory,is_best_penalty
20,4278714500,546,2789,3335,414.607,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_20,False
25,4004195800,698,2637,3335,413.148,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_25,False
30,3725466500,861,2474,3335,414.851,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_30,False
35,3496409600,997,2338,3335,414.133,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_35,False
40,3271061800,1132,2203,3335,412.78,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_40,False
45,2988459600,1313,2022,3335,412.297,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_45,False
50,2778976700,1448,1887,3335,412.969,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_50,False
55,2583676100,1578,1757,3335,412.239,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_55,False
60,2341352300,1730,1605,3335,412.287,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_60,False
65,2148315600,1859,1476,3335,412.851,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_65,False
70,1923737300,2010,1325,3335,413.229,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_70,False
75,1764492900,2117,1218,3335,413.597,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_75,False
80,1597419100,2228,1107,3335,412.428,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_80,False
85,1548409800,2266,1069,3335,413.586,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_85,False
90,1448243300,2335,1000,3335,414.628,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_90,True
95,1699457800,2175,1160,3335,414.163,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_95,False
100,1498263100,2309,1026,3335,413.567,C:\Users\choih\Desktop\연구\PDPTW\자료\결과\Ortools\d1000\Penalty_Per_Vehicles\Remove_Pending_Depot\Pending\100000\vehicles_100,False
