vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,789,36.032,23,22,379,1385.09,1332.31,52.78,358,26,26
1,2,2,819,63.454,24,22,371,1341.15,1283.35,57.8,404,22,22
2,3,2,810,52.031,24,22,368,1320.05,1255.13,64.92,390,26,26
3,4,8,818,75.495,27,24,377,1361.26,1293.57,67.69,377,32,32
4,5,3,819,23.965,28,24,345,1180.47,1117.98,62.49,416,29,29
5,6,8,801,37.792,34,27,393,1344.47,1198.34,146.13,344,32,32
6,7,8,782,27.55,28,24,384,1344.63,1262.66,81.97,340,29,29
7,8,9,817,93.744,30,25,340,1153.38,1082.28,71.1,419,29,29
8,9,8,814,76.054,27,24,364,1282.88,1223.09,59.79,394,28,28
9,10,8,814,48.806,24,22,355,1275.05,1205.2,69.85,407,26,26
10,1,6,817,95.442,27,25,361,1282.99,1233.99,49.0,400,28,28
11,2,9,818,83.283,33,28,355,1173.13,1116.04,57.09,405,29,29
12,3,7,816,92.762,31,25,367,1279.96,1111.77,168.19,383,33,33
13,4,1,818,45.56,33,28,370,1263.24,1184.25,78.99,378,35,35
14,5,4,819,121.598,30,23,362,1230.39,1106.62,123.77,399,29,29
15,6,9,789,121.598,27,23,326,1125.93,1066.49,59.44,399,32,32
16,7,3,819,30.253,34,28,378,1264.94,1127.7,137.24,377,32,32
17,8,9,815,45.905,34,25,358,1201.84,1040.16,161.68,389,34,34
18,9,8,805,77.668,28,23,338,1146.66,1031.42,115.24,411,28,28
19,10,8,817,42.565,32,25,370,1263.91,1134.92,128.99,389,29,29
20,1,6,817,62.718,36,27,373,1225.05,980.28,244.77,372,36,36
21,2,1,818,127.484,30,26,352,1213.02,1134.0,79.02,406,30,30
22,3,6,806,48.148,36,27,378,1264.28,1093.45,170.83,364,32,32
23,4,9,799,37.282,37,27,365,1189.87,980.85,209.02,374,30,30
24,5,5,815,37.97,35,25,368,1233.09,1003.76,229.33,393,27,27
25,6,9,790,45.101,35,26,343,1126.22,937.83,188.39,389,29,29
26,7,8,811,68.317,30,21,313,1028.0,771.28,256.72,448,25,25
27,8,4,808,82.232,35,27,371,1246.42,1028.15,218.27,369,34,34
28,9,6,810,69.101,31,24,339,1138.66,949.7,188.96,417,27,27
29,10,7,818,70.484,35,27,362,1187.8,1021.55,166.25,394,31,31
30,1,9,783,77.224,38,25,375,1217.75,938.6,279.15,350,29,29
31,2,2,819,74.134,35,25,371,1220.63,949.39,271.24,394,27,27
32,3,3,819,44.073,36,25,368,1205.66,944.77,260.89,397,27,27
33,4,2,817,59.324,39,26,389,1279.7,941.77,337.93,368,30,30
34,5,8,807,31.901,38,26,368,1171.77,897.19,274.58,379,30,30
35,6,8,808,41.159,39,27,354,1146.23,871.02,275.21,392,31,31
36,7,5,813,35.224,39,26,348,1067.12,834.5,232.62,411,27,27
37,8,8,801,62.462,33,25,348,1166.22,967.24,198.98,401,26,26
38,9,5,818,50.226,36,25,359,1152.9,926.75,226.15,403,28,28
39,10,3,819,53.547,35,24,357,1156.87,907.97,248.9,404,29,29
40,1,2,809,41.855,35,27,355,1164.06,1055.07,108.99,390,32,32
41,2,6,810,50.514,37,22,354,1137.62,767.66,369.96,402,27,27
42,3,8,812,75.551,33,24,339,1120.15,880.72,239.43,423,25,25
43,4,7,805,74.129,36,25,386,1321.67,969.93,351.74,361,29,29
44,5,8,819,113.612,38,23,323,976.02,739.13,236.89,442,27,27
