horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3335,0,390670,10.001
20,50,23,23,16,16,3319,0,883410,10.003
40,70,26,26,14,30,3305,0,1040070,10.187
60,90,31,31,18,48,3287,0,1159310,10.003
80,110,37,37,22,70,3265,0,1422000,10.004
100,130,43,42,25,95,3240,0,3702750,10.115
120,150,74,71,21,116,3217,2,7254110,10.073
140,170,133,109,68,184,3141,10,34500680,10.008
160,190,123,84,49,233,3066,36,54763240,10.015
180,210,111,85,56,289,2992,54,37147770,10.008
200,230,89,76,48,337,2932,66,20139440,10.007
220,250,72,70,43,380,2888,67,5618540,10.048
240,270,115,104,39,419,2848,68,20393020,10.007
260,290,188,111,64,483,2767,85,115578620,10.011
280,310,219,101,52,535,2653,147,173348800,10.017
300,330,205,99,53,588,2549,198,157188430,10.015
320,350,185,85,49,637,2442,256,150131300,10.013
340,370,148,89,52,689,2349,297,90699900,10.011
360,390,106,77,54,743,2273,319,44753140,10.008
380,410,86,76,41,784,2225,326,17277690,10.007
400,430,86,74,44,828,2174,333,20802950,10.007
420,450,75,67,45,873,2121,341,14478240,10.106
440,470,60,58,35,908,2084,343,5131950,10.241
460,490,69,66,37,945,2045,345,6852090,10.032
480,510,90,87,47,992,1996,347,7176940,10.006
500,530,133,95,52,1044,1941,350,57709950,10.009
520,550,160,86,54,1098,1854,383,110751110,10.01
540,570,158,89,46,1144,1770,421,103230380,10.011
560,590,147,84,48,1192,1684,459,94835850,10.011
580,610,155,98,50,1242,1610,483,87193160,10.012
600,630,191,99,48,1290,1526,519,137840140,10.013
620,650,237,94,54,1344,1415,576,212332860,10.014
640,670,280,99,44,1388,1291,656,265990710,10.019
660,690,342,85,49,1437,1157,741,380933520,10.022
680,710,431,86,44,1481,991,863,508046610,10.027
700,730,488,80,42,1523,775,1037,603502770,10.027
720,750,443,81,47,1570,553,1212,537530920,10.025
740,770,349,83,41,1611,347,1377,394358740,10.023
760,790,266,89,51,1662,213,1460,256957350,10.021
780,810,213,76,49,1711,81,1543,195980420,10.017
800,816,81,20,19,1730,20,1585,88264370,10.135
