vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,823,60,33,31,2,288,535,869.88,841.51,28.37,461,3598788
1,2,2,813,66,31,29,2,270,543,843.01,816.87,26.14,457,3375014
2,3,3,822,50,30,27,3,208,614,575.94,538.35,37.59,538,2712616
3,4,4,816,54,34,30,4,287,529,878.73,809.01,69.72,453,3606805
4,5,5,826,40,25,21,4,225,601,693.29,624.14,69.15,545,2797175
5,6,6,819,41,26,23,3,255,564,820.12,775.67,44.45,504,3127189
6,7,7,801,42,30,25,5,285,516,924.9,812.88,112.02,456,3512415
7,8,8,819,53,40,32,8,302,517,899.62,747.83,151.79,435,3873034
8,9,9,821,42,37,33,4,340,481,1072.51,1000.74,71.77,405,4212528
9,10,10,812,38,31,25,6,246,566,731.29,597.26,134.03,502,3125726
10,1,1,822,48,35,30,5,309,513,959.85,872.7,87.15,439,3853723
11,2,2,818,43,26,23,3,236,582,764.32,709.26,55.06,520,2929836
12,3,3,821,31,27,23,4,248,573,761.28,701.96,59.32,517,3072884
13,4,4,815,45,30,27,3,229,586,642.47,599.98,42.49,518,2930743
14,5,5,814,35,23,22,1,224,590,694.17,684.56,9.61,534,2749980
15,6,6,823,33,31,22,9,276,547,841.1,666.56,174.54,491,3437336
16,7,7,812,32,25,23,2,206,606,600.35,556.86,43.49,552,2599822
17,8,8,824,26,24,20,4,220,604,673.98,597.79,76.19,558,2726836
18,9,9,832,26,21,20,1,211,621,688.63,626.59,62.04,573,2578141
19,10,10,796,30,26,23,3,219,577,639.76,561.9,77.86,525,2753257
20,1,1,782,47,27,24,3,225,557,684.75,635.03,49.72,487,2833983
21,2,2,811,36,26,22,4,216,595,642.25,598.7,43.55,537,2722096
22,3,3,822,36,27,22,5,235,587,717.94,628.01,89.93,531,2937853
23,4,4,814,33,26,23,3,236,578,701.12,663.14,37.98,524,2929836
24,5,5,819,36,28,23,5,256,563,831.41,724.6,106.81,499,3174384
25,6,6,824,32,23,20,3,212,612,673.23,625.65,47.58,556,2625336
26,7,7,821,28,24,20,4,237,584,765.01,692.36,72.65,536,2903415
27,8,8,816,28,27,23,4,205,611,575.69,523.58,52.11,557,2626243
28,9,9,818,34,25,24,1,220,598,660.27,602.55,57.72,536,2745240
29,10,10,821,30,25,20,5,249,572,814.68,673.55,141.13,516,3046463
30,1,1,772,23,18,17,1,173,599,538.28,523.4,14.88,557,2128223
31,2,2,807,27,20,18,2,183,624,592.03,564.56,27.47,576,2268901
32,3,3,758,26,22,18,4,212,546,698.02,614.55,83.47,504,2606932
33,4,4,824,31,26,22,4,222,602,669.01,617.1,51.91,548,2784418
34,5,5,815,30,23,19,4,199,616,591.72,535.56,56.16,566,2490305
35,6,6,817,34,24,21,3,221,596,668.97,624.52,44.45,540,2737223
36,7,7,815,25,23,19,4,171,644,515.46,455.11,60.35,598,2199469
37,8,8,818,23,22,19,3,177,641,534.32,459.06,75.26,597,2243387
38,9,9,758,18,15,12,3,147,611,482.46,402.68,79.78,581,1802949
39,10,10,832,29,21,19,2,187,645,585.41,498.31,87.1,593,2328853
40,1,1,820,21,17,15,2,164,656,527.52,508.56,18.96,616,2016336
41,2,2,821,34,25,22,3,177,644,493.92,456.3,37.62,586,2298599
42,3,3,816,17,20,15,5,181,635,559.67,420.01,139.66,601,2248127
43,4,4,809,22,21,19,2,203,606,634.77,597.23,37.54,564,2495045
44,5,5,823,20,22,18,4,210,613,686.41,606.57,79.84,575,2586158
45,6,6,819,25,21,19,2,150,669,404.69,374.05,30.64,621,1944534
46,7,7,826,12,13,9,4,108,718,313.86,251.92,61.94,694,1361048
47,8,8,785,17,16,13,3,147,638,491.26,404.58,86.68,604,1821353
48,9,9,828,29,20,18,2,179,649,566.97,509.21,57.76,597,2227353
49,10,10,795,26,20,17,3,175,620,544.07,457.71,86.36,574,2185805
50,1,1,794,15,17,10,7,143,651,389.41,261.73,127.68,623,1798209
51,2,2,824,15,11,10,1,97,727,306.1,273.72,32.38,697,1209983
52,3,3,752,19,17,13,4,168,584,552.25,462.96,89.29,554,2057884
53,4,4,748,20,15,13,2,136,612,442.83,413.34,29.49,578,1688692
54,5,5,778,17,15,12,3,126,652,392.71,314.77,77.94,620,1584822
55,6,6,811,27,20,16,4,151,660,444.56,381.35,63.21,612,1936517
56,7,7,805,14,15,12,3,122,683,352.04,289.6,62.44,655,1543274
57,8,8,822,27,22,19,3,193,629,588.12,506.74,81.38,579,2409579
58,9,9,825,20,14,12,2,143,682,454.39,369.99,84.4,648,1742997
59,10,10,824,15,15,12,3,162,662,536.54,456.6,79.94,634,1958754
60,1,1,822,22,19,14,5,167,655,532.01,407.95,124.06,619,2084305
61,2,2,775,22,18,16,2,155,620,487.25,438.8,48.45,578,1941257
62,3,3,832,21,18,13,5,186,646,600.8,480.99,119.81,604,2263254
63,4,4,763,17,18,14,4,173,590,565.8,492.23,73.57,556,2128223
64,5,5,772,17,15,13,2,145,627,447.1,398.7,48.4,595,1782175
65,6,6,777,15,15,11,4,154,623,476.74,349.2,127.54,595,1875658
66,7,7,815,16,14,11,3,167,648,553.07,436.1,116.97,618,1992285
67,8,8,762,12,9,7,2,99,663,328.84,240.86,87.98,641,1193949
68,9,9,807,23,20,16,4,208,599,672.78,577.17,95.61,555,2528576
69,10,10,813,10,10,7,3,94,719,297.68,205.68,92.0,699,1160418
70,1,1,788,24,19,16,3,195,593,627.55,585.2,42.35,549,2375141
71,2,2,803,19,15,12,3,141,662,456.36,397.14,59.22,628,1740627
72,3,3,819,17,16,13,3,152,667,456.81,412.24,44.57,633,1873288
73,4,4,741,18,15,12,3,118,623,326.98,284.16,42.82,589,1501726
74,5,5,778,20,15,14,1,135,643,420.54,405.66,14.88,607,1678305
75,6,6,741,15,9,8,1,78,663,220.57,207.81,12.76,639,975822
76,7,7,825,12,12,10,2,100,725,307.5,271.19,36.31,701,1259548
77,8,8,804,14,11,10,1,98,706,319.47,279.93,39.54,680,1220370
78,9,9,812,8,12,7,5,117,695,401.68,244.4,157.28,679,1436127
79,10,10,813,12,14,12,2,144,669,426.09,382.96,43.13,645,1753384
80,1,1,818,11,10,8,2,78,740,206.83,179.19,27.64,720,994226
81,2,2,765,13,10,8,2,87,678,256.97,196.04,60.93,652,1087709
82,3,3,819,18,16,14,2,140,679,405.11,362.02,43.09,645,1748644
83,4,4,796,14,11,9,2,108,688,342.05,306.38,35.67,660,1324240
84,5,5,754,14,11,9,2,99,655,327.01,280.23,46.78,629,1230757
85,6,6,758,8,11,7,4,103,655,319.51,235.35,84.16,639,1272305
86,7,7,823,16,17,11,6,143,680,398.72,338.9,59.82,652,1798209
87,8,8,810,16,14,11,3,128,682,406.81,317.31,89.5,652,1587192
88,9,9,820,13,15,11,4,150,670,521.64,389.29,132.35,644,1834110
89,10,10,818,11,12,9,3,127,691,410.31,327.28,83.03,669,1539997
90,1,1,823,15,14,12,2,114,709,329.21,301.74,27.47,681,1441774
91,2,2,768,12,10,8,2,112,656,358.88,289.77,69.11,636,1347384
92,3,3,749,10,13,10,3,125,624,399.55,343.97,55.58,604,1537627
93,4,4,755,7,8,5,3,67,688,197.47,163.12,34.35,674,843161
94,5,5,795,16,15,11,4,137,658,405.67,347.92,57.75,626,1699079
