horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.004
20,50,23,23,16,16,4217,15,883410.0,20.08
40,70,26,26,14,30,4203,15,1001790.0,20.002
60,90,31,31,18,48,4185,15,1093130.0,20.003
80,110,37,37,22,70,4163,15,1257030.0,20.091
100,130,43,43,26,96,4137,15,1380540.0,20.004
120,150,73,72,22,118,4114,16,3273240.0,20.065
140,170,132,129,84,202,4027,19,7881470.0,20.007
160,190,111,107,72,274,3952,22,8732320.0,20.317
180,210,99,95,66,340,3882,26,8769100.0,20.29
200,230,81,77,49,389,3829,30,7784680.0,20.441
220,250,71,71,43,432,3786,30,1970960.0,20.03
240,270,115,112,45,477,3741,30,10999270.0,20.584
260,290,183,172,108,585,3627,36,25276990.0,20.008
280,310,181,167,96,681,3517,50,26694170.0,20.009
300,330,171,163,106,787,3405,56,15560340.0,20.013
320,350,143,137,87,874,3314,60,13931760.0,20.008
340,370,122,116,79,953,3230,65,12828930.0,20.469
360,390,89,88,66,1019,3163,66,4560580.0,20.075
380,410,78,78,45,1064,3118,66,2614520.0,20.073
400,430,81,80,52,1116,3066,66,4194800.0,20.279
420,450,69,68,47,1163,3018,67,3895250.0,20.201
440,470,59,59,37,1200,2981,67,2058120.0,20.005
460,490,68,68,39,1239,2942,67,2339160.0,20.009
480,510,89,88,49,1288,2892,68,4317840.0,20.134
500,530,131,131,77,1365,2815,68,3460220.0,20.482
520,550,136,133,87,1452,2727,69,7999970.0,20.017
540,570,133,125,73,1525,2647,76,15343500.0,20.016
560,590,126,116,72,1597,2566,85,17390160.0,20.589
580,610,139,134,83,1680,2479,89,11602020.0,20.014
600,630,162,158,82,1762,2394,92,10676340.0,20.008
620,650,207,180,115,1877,2270,101,41581850.0,20.01
640,670,237,190,100,1977,2151,120,66951100.0,20.012
660,690,304,194,106,2083,2008,157,158923570.0,20.016
680,710,384,204,114,2197,1832,219,259486350.0,20.029
700,730,431,186,109,2306,1622,320,355006920.0,20.024
720,750,392,173,103,2409,1402,437,321120570.0,20.027
740,770,300,171,100,2509,1196,543,191107540.0,20.017
760,790,217,187,109,2618,1061,569,46297180.0,20.011
780,810,184,170,102,2720,945,583,23247090.0,20.016
800,830,177,170,99,2819,839,590,13350300.0,20.013
820,850,194,181,104,2923,725,600,21689950.0,20.012
840,870,173,156,104,3027,605,616,26976480.0,20.009
860,890,139,133,83,3110,516,622,11613360.0,20.007
880,910,113,110,72,3182,441,625,8075700.0,20.507
900,930,115,108,66,3248,369,631,15200360.0,20.08
920,950,112,104,66,3314,298,636,16422130.0,20.306
940,970,110,101,63,3377,230,641,17869400.0,20.408
960,990,97,92,65,3442,161,645,11207210.0,20.501
980,1010,81,79,46,3488,114,646,5833640.0,20.044
1000,1030,70,69,51,3539,62,647,3958050.0,20.115
1020,1050,41,41,32,3571,30,647,1685930.0,20.141
1040,1070,22,21,15,3586,14,648,2394440.0,20.004
1060,1090,14,14,12,3598,2,648,622080.0,20.006
1080,1110,2,2,2,3600,0,648,98330.0,20.003
1100,1130,0,0,0,3600,0,648,,0.0
1120,1150,0,0,0,3600,0,648,,0.0
