vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1092,42.427,33,32,534,1959.45,1901.73,57.72,474,42,42
1,2,2,1090,41.977,33,31,492,1766.37,1702.8,63.57,516,41,41
2,3,3,1109,48.591,40,36,526,1853.42,1762.15,91.27,501,41,41
3,4,4,1043,25.491,33,30,475,1713.02,1601.83,111.19,488,40,40
4,5,5,1068,41.421,34,33,476,1696.67,1634.63,62.04,520,36,36
5,6,6,1099,50.652,38,34,489,1717.04,1604.56,112.48,526,42,42
6,7,7,1093,72.944,38,33,488,1709.75,1581.55,128.2,527,39,39
7,8,8,1096,69.624,41,34,500,1741.47,1595.49,145.98,516,40,40
8,9,9,987,62.598,37,32,435,1508.07,1439.66,68.41,476,38,38
9,10,10,1009,16.546,34,30,448,1553.16,1446.92,106.24,487,37,37
10,1,1,969,45.954,28,27,418,1519.04,1461.32,57.72,491,30,30
11,2,2,983,53.493,35,32,447,1561.6,1445.88,115.72,462,37,37
12,3,3,988,50.601,34,28,396,1329.45,1190.06,139.39,516,38,38
13,4,4,978,43.766,38,31,402,1369.2,1167.96,201.24,500,38,38
14,5,5,1013,41.495,35,28,412,1390.06,1233.87,156.19,535,33,33
15,6,6,1125,68.824,37,31,429,1450.56,1363.52,87.04,622,37,37
16,7,7,982,35.836,32,28,403,1419.35,1334.15,85.2,513,33,33
17,8,8,947,55.753,34,29,389,1331.51,1233.38,98.13,492,33,33
18,9,9,981,74.663,35,31,428,1489.41,1408.23,81.18,479,37,37
19,10,10,1111,57.812,41,34,460,1554.77,1432.33,122.44,575,38,38
20,1,1,997,42.634,35,31,429,1481.0,1391.12,89.88,490,39,39
21,2,2,1109,50.744,42,35,478,1630.98,1514.51,116.47,551,40,40
22,3,3,1034,26.024,37,33,422,1429.02,1360.66,68.36,540,36,36
23,4,4,968,49.148,38,30,381,1246.72,1037.17,209.55,525,31,31
24,5,5,1111,69.365,41,31,403,1289.54,1160.21,129.33,626,41,41
25,6,6,1039,31.704,33,27,362,1219.33,1027.25,192.08,611,33,33
26,7,7,1126,45.185,41,34,481,1626.56,1481.78,144.78,557,44,44
27,8,8,1063,76.442,43,37,404,1358.98,1257.76,101.22,571,44,44
28,9,9,982,113.064,32,25,341,1132.46,1020.2,112.26,581,30,30
29,10,10,1102,111.084,39,34,450,1559.49,1479.64,79.85,568,42,42
30,1,1,943,20.611,30,26,359,1231.22,1098.42,132.8,522,31,31
31,2,2,997,62.824,41,30,388,1249.46,1038.03,211.43,539,35,35
32,3,3,971,47.919,34,26,345,1153.92,936.1,217.82,560,33,33
33,4,4,969,43.859,29,23,338,1156.19,973.68,182.51,575,28,28
34,5,5,981,48.13,40,31,396,1303.77,1051.58,252.19,513,36,36
35,6,6,947,18.954,40,30,359,1132.17,935.93,196.24,514,37,37
36,7,7,952,62.158,36,26,323,1018.96,805.58,213.38,565,32,32
37,8,8,1082,86.978,34,27,344,1116.78,958.09,158.69,676,31,31
38,9,9,1073,39.325,36,27,388,1342.09,1108.58,233.51,617,34,34
39,10,10,958,32.388,38,28,382,1256.69,978.42,278.27,510,33,33
40,1,1,1085,54.315,47,36,430,1367.16,1180.83,186.33,565,45,45
41,2,2,957,43.504,33,27,334,1088.61,962.55,126.06,563,30,30
42,3,3,1056,60.284,27,20,269,863.81,732.58,131.23,739,24,24
43,4,4,959,38.274,29,18,277,891.62,615.33,276.29,634,24,24
44,5,5,981,25.072,35,24,298,894.5,624.36,270.14,619,32,32
45,6,6,1052,126.538,44,31,373,1157.23,902.96,254.27,599,40,40
46,7,7,1059,74.823,39,27,339,1052.67,782.95,269.72,650,35,35
47,8,8,1052,58.857,40,30,382,1224.55,1014.57,209.98,598,36,36
48,9,9,1090,55.505,31,24,307,1014.25,857.67,156.58,723,30,30
49,10,10,1061,32.057,50,34,439,1351.06,1055.62,295.44,546,38,38
50,1,1,1034,134.618,39,29,354,1123.7,943.44,180.26,600,40,40
51,2,2,1116,62.708,32,28,330,1086.45,1005.54,80.91,724,31,31
52,3,3,1041,69.328,48,37,372,1115.45,935.73,179.72,577,46,46
53,4,4,985,48.794,26,17,259,855.61,623.77,231.84,682,22,22
54,5,5,1108,47.134,50,35,407,1246.0,960.3,285.7,623,39,39
55,6,6,1043,25.406,48,33,434,1376.49,1102.76,273.73,535,37,37
56,7,7,1064,42.346,39,28,369,1163.89,951.49,212.4,625,35,35
57,8,8,1073,67.789,48,33,382,1124.1,873.48,250.62,607,42,42
58,9,9,977,74.571,32,21,273,870.9,635.54,235.36,652,26,26
59,10,10,1062,19.256,45,33,372,1183.1,953.01,230.09,614,38,38
60,1,1,997,49.283,30,21,276,875.22,652.49,222.73,671,25,25
61,2,2,1038,118.068,33,24,279,843.28,760.57,82.71,693,33,33
62,3,3,1046,28.898,34,26,334,1049.98,872.45,177.53,648,32,32
