vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1094,85.352,35,34,505,1803.15,1782.12,21.03,507,41,41
1,2,2,1084,53.231,36,32,512,1817.87,1719.42,98.45,498,37,37
2,3,3,1122,48.621,33,30,507,1826.18,1734.32,91.86,543,36,36
3,4,4,1107,101.014,34,32,492,1754.43,1736.85,17.58,529,43,43
4,5,5,1093,17.291,34,33,479,1725.71,1663.67,62.04,542,36,36
5,6,6,1124,26.786,37,34,490,1741.12,1649.9,91.22,558,38,38
6,7,7,1111,47.041,38,33,505,1766.64,1703.14,63.5,524,41,41
7,8,8,1054,74.659,39,33,461,1592.92,1492.8,100.12,519,37,37
8,9,9,1045,56.748,31,30,442,1586.8,1564.6,22.2,529,37,37
9,10,10,1068,33.461,30,29,459,1667.99,1598.1,69.89,529,40,40
10,1,1,1096,55.344,37,33,502,1793.29,1691.39,101.9,516,39,39
11,2,2,996,21.361,32,30,422,1494.71,1426.43,68.28,500,37,37
12,3,3,969,41.232,27,25,341,1166.66,1089.95,76.71,572,28,28
13,4,4,1113,58.081,32,28,417,1453.77,1373.65,80.12,630,33,33
14,5,5,990,39.642,36,32,430,1471.06,1362.75,108.31,482,39,39
15,6,6,1082,83.873,40,34,447,1502.2,1396.55,105.65,551,42,42
16,7,7,965,16.434,29,25,377,1311.81,1204.53,107.28,528,30,30
17,8,8,976,82.452,40,31,427,1411.86,1242.13,169.73,473,38,38
18,9,9,968,86.436,30,26,345,1179.91,1130.75,49.16,553,35,35
19,10,10,1042,31.825,40,34,450,1542.35,1400.81,141.54,516,38,38
20,1,1,975,33.889,40,29,417,1377.93,1152.21,225.72,488,35,35
21,2,2,1001,65.514,27,22,296,1012.48,909.82,102.66,649,28,28
22,3,3,1105,40.963,35,30,399,1341.83,1239.64,102.19,640,33,33
23,4,4,977,57.689,36,27,429,1481.75,1279.79,201.96,480,34,34
24,5,5,1101,29.137,36,27,354,1151.77,1023.49,128.28,681,33,33
25,6,6,984,26.382,32,25,348,1171.32,1013.83,157.49,574,31,31
26,7,7,1102,42.029,27,25,325,1133.2,1078.9,54.3,711,33,33
27,8,8,1056,54.481,30,23,293,961.92,846.22,115.7,713,25,25
28,9,9,958,51.076,38,32,381,1248.57,1164.39,84.18,503,37,37
29,10,10,1109,47.168,37,33,410,1373.77,1272.58,101.19,623,38,38
30,1,1,954,55.344,29,25,348,1211.8,1102.39,109.41,544,31,31
31,2,2,977,62.824,35,29,348,1174.84,1028.63,146.21,561,34,34
32,3,3,1008,49.315,31,27,323,1064.81,968.83,95.98,617,34,34
33,4,4,951,47.695,33,23,298,944.96,797.46,147.5,601,26,26
34,5,5,996,38.632,35,29,365,1193.87,1036.67,157.2,563,34,34
35,6,6,1050,38.21,33,24,316,1010.45,893.03,117.42,678,28,28
36,7,7,1095,74.804,41,32,382,1236.22,1059.68,176.54,641,36,36
37,8,8,933,84.238,42,31,352,1071.43,921.39,150.04,507,37,37
38,9,9,970,102.28,23,19,228,713.62,657.99,55.63,690,26,26
39,10,10,1077,68.248,35,25,336,1081.0,932.69,148.31,683,29,29
40,1,1,958,55.344,31,28,330,1092.76,1003.37,89.39,562,33,33
41,2,2,954,52.038,32,27,358,1212.39,1024.75,187.64,532,32,32
42,3,3,1063,85.312,26,22,258,824.4,755.18,69.22,753,26,26
43,4,4,964,30.833,33,26,332,1051.01,911.99,139.02,570,31,31
44,5,5,956,40.238,30,22,277,843.67,704.55,139.12,619,30,30
45,6,6,1056,34.14,37,28,350,1087.92,1004.43,83.49,644,31,31
46,7,7,1062,78.565,17,13,195,652.37,591.56,60.81,831,18,18
47,8,8,949,75.704,33,22,266,805.57,611.89,193.68,631,26,26
48,9,9,1046,93.468,21,13,217,706.76,538.18,168.58,795,17,17
49,10,10,1147,33.783,32,24,360,1222.07,1051.11,170.96,725,31,31
50,1,1,1026,85.358,28,22,279,916.37,820.63,95.74,689,29,29
51,2,2,1114,68.014,27,18,265,857.09,644.35,212.74,807,21,21
52,3,3,1114,65.271,24,19,236,762.26,665.1,97.16,832,23,23
53,4,4,959,38.274,31,25,293,946.93,770.61,176.32,606,30,30
54,5,5,861,50.577,34,25,276,821.28,667.28,154.0,519,33,33
55,6,6,1064,81.574,34,26,317,1012.12,826.94,185.18,685,31,31
56,7,7,1055,107.058,34,26,347,1171.33,949.8,221.53,640,34,34
57,8,8,1037,92.774,33,28,289,889.49,838.18,51.31,678,35,35
58,9,9,1050,78.924,32,24,295,935.76,752.31,183.45,693,31,31
59,10,10,1053,67.228,34,24,324,1062.35,856.45,205.9,671,29,29
60,1,1,1053,32.583,36,28,324,1040.6,867.16,173.44,663,33,33
61,2,2,791,52.556,26,20,205,603.98,474.49,129.49,540,23,23
62,3,3,1038,113.614,37,27,317,971.06,771.64,199.42,647,37,37
63,4,4,1049,89.961,40,30,300,846.47,709.67,136.8,671,39,39
64,5,5,1010,99.23,43,32,337,993.43,856.07,137.36,595,39,39
65,6,6,1051,67.004,31,22,266,853.71,644.19,209.52,733,26,26
66,7,7,984,105.284,21,16,175,550.67,485.9,64.77,769,20,20
67,8,8,1040,101.708,29,23,228,707.99,546.54,161.45,746,33,33
68,9,9,1050,25.077,24,17,230,762.39,561.49,200.9,770,25,25
69,10,10,1053,129.628,31,22,249,729.91,629.64,100.27,746,29,29
70,1,1,1058,56.061,22,15,197,611.89,473.99,137.9,817,22,22
71,2,2,1045,109.534,36,26,292,854.78,725.76,129.02,685,34,34
72,3,3,1018,106.024,30,23,257,796.15,665.85,130.3,701,30,30
73,4,4,996,57.594,17,13,165,539.57,439.1,100.47,797,17,17
74,5,5,988,92.814,27,21,206,578.48,472.03,106.45,728,27,27
75,6,6,1002,90.108,33,24,310,972.23,752.29,219.94,624,34,34
76,7,7,999,78.174,37,28,295,880.87,696.73,184.14,634,35,35
77,8,8,995,102.854,33,26,286,892.33,758.11,134.22,645,32,32
78,9,9,864,60.914,25,19,222,651.17,543.84,107.33,596,23,23
79,10,10,1038,34.09,40,24,349,1062.47,731.33,331.14,629,30,30
80,1,1,987,106.898,32,22,236,679.61,518.7,160.91,697,27,27
81,2,2,871,88.054,36,27,262,727.67,588.49,139.18,547,31,31
82,3,3,1020,51.205,35,27,283,864.07,704.72,159.35,671,33,33
83,4,4,1056,40.336,37,24,299,878.09,625.51,252.58,701,28,28
84,5,5,999,29.499,20,15,188,589.86,481.87,107.99,769,21,21
85,6,6,1066,25.283,35,25,326,1076.74,815.46,261.28,678,31,31
86,7,7,1068,72.944,37,26,326,984.43,696.97,287.46,676,33,33
87,8,8,1058,62.504,27,20,214,622.68,478.8,143.88,790,27,27
88,9,9,911,62.055,28,20,206,592.8,426.8,166.0,657,24,24
89,10,10,1009,29.648,22,18,219,710.22,591.61,118.61,746,22,22
90,1,1,1056,68.484,34,21,260,776.21,561.07,215.14,740,28,28
91,2,2,927,92.566,34,24,250,679.13,495.71,183.42,617,30,30
92,3,3,1047,91.396,38,27,296,835.87,654.48,181.39,683,34,34
93,4,4,1060,60.326,39,26,302,875.79,652.82,222.97,698,30,30
94,5,5,910,118.774,26,19,216,605.68,462.86,142.82,644,25,25
95,6,6,1074,80.184,35,22,263,700.69,524.76,175.93,755,28,28
96,7,7,996,71.638,34,23,255,717.03,506.21,210.82,685,28,28
97,8,8,870,85.339,25,17,195,562.37,391.45,170.92,633,21,21
98,9,9,1003,65.124,31,21,228,637.99,420.75,217.24,723,26,26
99,10,10,1008,103.459,28,22,237,746.38,644.04,102.34,715,28,28
100,1,1,1033,54.993,32,22,262,793.56,613.24,180.32,711,30,30
101,2,2,888,103.068,25,15,177,451.33,298.17,153.16,675,18,18
102,3,3,924,92.074,35,23,248,641.57,468.22,173.35,624,26,26
103,4,4,842,88.366,25,15,174,467.13,281.92,185.21,632,18,18
104,5,5,869,60.13,26,16,184,482.66,335.9,146.76,643,21,21
