vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,5,1011,124.854,34,31,486,1735.63,1699.9,35.73,449,38,38
1,2,7,1087,94.132,36,33,495,1732.32,1684.11,48.21,514,39,39
2,3,9,1084,57.109,33,31,494,1763.97,1727.03,36.94,518,36,36
3,4,9,1028,38.834,32,30,443,1594.98,1566.61,28.37,507,39,39
4,5,10,1098,113.614,37,34,447,1537.16,1498.13,39.03,573,39,39
5,6,9,1067,54.959,34,33,455,1631.29,1619.84,11.45,534,39,39
6,7,3,1100,73.73,34,34,500,1798.75,1798.75,0.0,512,44,44
7,8,9,1033,40.741,34,31,451,1586.22,1547.73,38.49,508,37,37
8,9,9,1080,113.064,30,30,447,1629.83,1629.83,0.0,557,38,38
9,10,9,1081,113.064,34,32,473,1691.3,1657.13,34.17,526,41,41
10,1,9,1004,81.193,35,32,438,1533.16,1487.54,45.62,490,38,38
11,2,9,1041,113.064,34,31,420,1469.24,1407.0,62.24,543,39,39
12,3,4,1091,57.586,35,30,430,1503.48,1445.38,58.1,589,36,36
13,4,9,1015,114.447,32,30,409,1449.44,1409.2,40.24,540,33,33
14,5,9,990,86.436,29,24,322,1074.05,1002.44,71.61,610,29,29
15,6,9,977,50.266,30,28,388,1339.24,1321.66,17.58,525,32,32
16,7,10,1076,120.018,32,28,386,1342.54,1294.44,48.1,624,33,33
17,8,9,959,34.862,38,31,414,1388.66,1249.94,138.72,475,35,35
18,9,9,940,32.558,34,30,407,1400.22,1326.61,73.61,463,35,35
19,10,9,940,67.332,40,33,404,1321.74,1227.58,94.16,456,40,40
20,1,9,956,57.102,35,32,410,1424.94,1367.49,57.45,468,39,39
21,2,9,953,83.197,28,25,342,1195.86,1119.36,76.5,555,28,28
22,3,9,968,86.436,37,34,403,1358.02,1313.84,44.18,477,44,44
23,4,9,958,51.076,33,30,369,1269.08,1228.06,41.02,517,36,36
24,5,9,941,113.064,35,28,342,1116.42,1005.75,110.67,535,32,32
25,6,9,962,113.064,34,30,384,1312.0,1250.81,61.19,508,35,35
26,7,5,1049,107.566,33,26,383,1319.97,1173.25,146.72,598,34,34
27,8,9,973,54.63,38,32,409,1381.19,1247.7,133.49,486,39,39
28,9,3,1072,111.551,34,29,381,1285.77,1219.63,66.14,623,34,34
29,10,9,926,81.993,44,32,367,1125.73,927.24,198.49,489,35,35
30,1,9,927,93.744,28,24,300,1023.01,930.48,92.53,575,26,26
31,2,9,1090,63.874,27,25,309,1069.4,1023.95,45.45,719,31,31
32,3,7,1047,129.126,32,25,323,1069.22,959.34,109.88,660,32,32
33,4,5,1051,107.566,32,26,317,1038.89,978.0,60.89,670,32,32
34,5,9,954,94.012,32,24,306,973.28,823.16,150.12,588,30,30
35,6,9,939,102.278,34,26,301,921.27,808.62,112.65,566,36,36
36,7,7,1051,36.106,29,22,291,940.53,844.56,95.97,706,27,27
37,8,9,1019,76.361,35,29,363,1170.72,1094.32,76.4,588,34,34
38,9,7,1056,98.642,29,22,277,895.75,809.33,86.42,721,29,29
39,10,10,1079,132.794,29,26,314,1066.95,968.94,98.01,705,30,30
40,1,5,1050,35.779,35,27,345,1109.39,1009.4,99.99,635,35,35
41,2,5,1028,25.465,27,24,274,904.25,875.68,28.57,692,31,31
42,3,9,977,110.311,17,15,190,631.83,597.01,34.82,745,21,21
43,4,9,973,59.108,33,23,280,854.25,715.38,138.87,641,26,26
44,5,10,1085,120.018,24,17,249,819.4,671.61,147.79,796,20,20
45,6,9,938,93.744,33,24,314,1028.17,783.24,244.93,566,29,29
46,7,5,1026,134.853,30,20,259,813.04,599.51,213.53,721,23,23
47,8,9,943,93.744,36,27,300,867.2,743.03,124.17,579,32,32
48,9,9,944,93.744,33,24,326,1068.79,875.87,192.92,562,28,28
49,10,5,1033,104.248,39,27,315,998.23,740.82,257.41,656,31,31
50,1,5,1023,115.29,37,28,362,1199.47,1017.99,181.48,589,36,36
51,2,8,1026,133.364,28,23,259,827.51,758.85,68.66,709,29,29
52,3,5,1092,128.087,40,28,361,1154.48,932.42,222.06,663,34,34
53,4,3,1079,113.614,24,18,242,758.59,669.53,89.06,793,22,22
54,5,3,1042,94.027,37,30,323,1006.86,901.07,105.79,649,35,35
55,6,3,1038,113.614,37,27,330,1044.58,858.95,185.63,636,36,36
56,7,7,1020,85.544,34,25,311,988.74,793.96,194.78,645,32,32
57,8,9,1102,113.064,24,19,218,678.07,617.32,60.75,834,25,25
58,9,10,1099,35.974,45,32,436,1385.62,1132.21,253.41,587,38,38
59,10,10,1098,104.149,46,37,412,1273.11,1128.32,144.79,600,43,43
60,1,7,1034,132.515,28,22,238,755.51,649.91,105.6,736,30,30
61,2,6,995,108.124,31,25,274,853.57,753.43,100.14,661,30,30
62,3,9,962,47.221,38,29,312,939.1,755.39,183.71,578,36,36
63,4,5,1000,112.886,26,19,226,713.91,571.92,141.99,730,22,22
64,5,5,1013,149.498,31,23,250,709.69,630.19,79.5,701,31,31
65,6,3,1042,62.849,33,26,308,984.92,858.47,126.45,672,31,31
66,7,7,978,125.054,35,27,281,854.67,750.57,104.1,635,31,31
67,8,7,990,133.588,31,24,279,879.22,728.97,150.25,649,31,31
68,9,7,988,125.054,32,24,239,686.79,573.53,113.26,685,32,32
69,10,9,949,118.294,33,27,268,832.43,733.19,99.24,617,32,32
70,1,6,988,130.288,35,27,281,843.68,689.09,154.59,643,32,32
71,2,10,1052,106.853,34,24,270,797.06,660.87,136.19,720,31,31
72,3,9,987,118.294,30,24,264,832.84,727.37,105.47,667,28,28
73,4,10,1050,120.018,35,25,313,954.63,780.86,173.77,675,31,31
74,5,5,1039,139.973,30,22,237,677.25,577.24,100.01,740,31,31
75,6,9,1042,113.064,45,32,358,1024.99,817.52,207.47,600,42,42
76,7,3,1043,113.614,40,31,303,873.12,729.62,143.5,664,38,38
77,8,9,1056,113.064,24,19,218,699.88,636.49,63.39,792,23,23
78,9,9,990,99.538,34,26,267,788.25,661.06,127.19,663,30,30
79,10,9,981,113.064,28,21,228,707.05,602.48,104.57,699,27,27
80,1,6,860,131.534,17,14,119,348.04,299.41,48.63,703,19,19
81,2,6,875,125.054,28,25,204,559.06,511.7,47.36,609,31,31
82,3,6,865,125.054,31,21,251,721.51,585.73,135.78,560,27,27
83,4,6,905,140.068,32,22,247,694.84,530.09,164.75,600,29,29
84,5,8,800,127.484,23,17,176,490.77,410.58,80.19,580,22,22
85,6,6,874,140.068,30,23,236,667.32,564.0,103.32,584,27,27
86,7,10,1065,47.272,38,26,309,873.74,717.18,156.56,688,34,34
87,8,9,1006,54.122,35,26,261,741.47,604.79,136.68,675,35,35
88,9,6,903,131.534,22,16,198,576.76,482.27,94.49,665,20,20
89,10,10,1015,68.282,33,26,283,872.19,749.56,122.63,666,33,33
90,1,10,1074,81.787,35,25,297,918.22,764.93,153.29,707,35,35
91,2,8,789,133.364,16,12,130,359.17,294.03,65.14,627,16,16
92,3,10,1041,125.674,36,26,288,862.45,671.11,191.34,685,34,34
93,4,9,983,113.064,35,27,285,841.64,668.32,173.32,642,28,28
94,5,9,981,45.188,34,25,283,818.57,663.01,155.56,628,35,35
95,6,6,864,119.852,19,14,152,452.2,368.29,83.91,678,17,17
96,7,10,1045,90.322,33,23,283,853.78,678.79,174.99,700,31,31
97,8,6,865,154.391,22,17,180,494.79,398.95,95.84,643,21,21
98,9,8,997,98.39,36,24,285,862.38,614.3,248.08,662,25,25
99,10,10,1020,110.34,37,28,288,885.43,704.05,181.38,660,36,36
100,1,6,875,141.884,26,19,190,499.97,387.06,112.91,637,24,24
101,2,9,994,57.048,34,25,274,789.8,668.91,120.89,664,28,28
102,3,10,1023,115.924,31,22,224,634.82,515.99,118.83,737,31,31
103,4,6,933,55.39,29,18,230,667.75,472.38,195.37,661,21,21
104,5,6,961,137.875,34,20,232,610.11,444.93,165.18,677,26,26
105,6,8,826,141.877,22,19,158,442.78,407.07,35.71,622,23,23
106,7,8,835,134.488,20,15,128,340.36,299.8,40.56,665,21,21
107,8,6,941,103.945,30,20,215,576.17,426.4,149.77,678,24,24
108,9,10,1029,66.563,26,18,208,627.88,516.56,111.32,775,23,23
109,10,6,971,63.49,35,23,255,701.76,519.57,182.19,662,27,27
110,1,6,900,109.33,26,16,179,435.97,307.1,128.87,677,22,22
111,2,6,964,112.273,34,21,254,669.92,427.98,241.94,664,23,23
112,3,10,1007,85.188,32,21,245,677.38,495.4,181.98,714,24,24
113,4,6,921,138.798,26,16,175,421.37,282.7,138.67,710,18,18
114,5,8,871,121.994,25,20,192,575.67,472.21,103.46,625,27,27
115,6,6,922,125.054,26,16,187,513.01,343.84,169.17,695,20,20
116,7,6,901,138.798,23,14,176,490.0,324.83,165.17,689,18,18
117,8,6,912,96.592,26,18,188,531.97,385.19,146.78,672,26,26
118,9,6,925,138.798,29,19,202,540.41,400.85,139.56,677,23,23
119,10,6,901,138.798,29,19,202,516.55,392.37,124.18,659,20,20
120,1,6,866,138.097,21,16,167,455.87,347.8,108.07,661,19,19
121,2,6,866,115.662,19,14,145,429.66,330.38,99.28,687,17,17
122,3,8,1014,66.863,18,14,163,496.47,445.25,51.22,815,18,18
123,4,6,869,131.534,20,14,144,376.4,297.1,79.3,691,17,17
124,5,9,982,91.539,18,14,144,392.71,335.37,57.34,806,16,16
