vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,9,1065,53.21,32,32,518,1901.73,1901.73,0.0,463,42,42
1,2,3,1100,45.39,30,30,491,1799.36,1799.36,0.0,535,37,37
2,3,9,1049,57.303,37,37,504,1805.75,1805.75,0.0,463,41,41
3,4,10,1098,66.46,33,32,501,1810.37,1798.92,11.45,519,39,39
4,5,9,1087,54.625,32,31,474,1716.85,1711.87,4.98,537,38,38
5,6,9,1080,113.064,34,32,463,1636.9,1614.0,22.9,545,36,36
6,7,9,1081,113.064,35,34,470,1678.99,1660.95,18.04,531,40,40
7,8,9,981,68.144,31,29,394,1372.72,1328.6,44.12,513,37,37
8,9,9,954,100.358,31,26,371,1296.11,1224.93,71.18,525,29,29
9,10,9,949,53.418,27,27,395,1427.26,1427.26,0.0,484,35,35
10,1,9,992,65.501,31,29,420,1484.58,1443.15,41.43,498,37,37
11,2,7,1056,98.642,26,26,349,1247.15,1247.15,0.0,647,30,30
12,3,9,927,50.05,29,29,373,1309.14,1309.14,0.0,482,36,36
13,4,9,962,79.329,27,26,340,1199.82,1177.76,22.06,564,29,29
14,5,9,927,92.934,34,33,387,1318.48,1300.44,18.04,458,41,41
15,6,9,979,53.331,27,25,330,1174.16,1134.06,40.1,585,32,32
16,7,9,938,24.777,31,28,368,1252.26,1221.85,30.41,502,34,34
17,8,7,1034,133.588,32,30,384,1338.66,1311.62,27.04,578,36,36
18,9,9,964,76.557,27,24,336,1186.19,1147.94,38.25,572,28,28
19,10,9,943,63.877,25,23,326,1160.98,1100.08,60.9,563,27,27
20,1,3,1072,118.178,30,29,368,1277.18,1265.73,11.45,630,37,37
21,2,9,964,43.77,27,26,369,1314.36,1292.3,22.06,529,33,33
22,3,9,968,86.436,24,22,307,1086.4,1040.95,45.45,609,26,26
23,4,9,968,121.598,30,27,309,1022.66,981.38,41.28,595,32,32
24,5,9,946,51.413,29,27,343,1150.53,1129.47,21.06,533,35,35
25,6,9,966,93.746,30,24,321,1097.07,983.87,113.2,585,30,30
26,7,9,987,115.754,26,23,262,842.61,796.06,46.55,667,29,29
27,8,4,1106,68.756,28,24,309,1040.47,977.13,63.34,743,27,27
28,9,9,1090,63.874,26,23,307,1056.73,1011.65,45.08,727,28,28
29,10,9,962,100.689,29,24,325,1090.33,987.79,102.54,575,31,31
30,1,10,1079,132.794,27,25,307,1062.55,1040.43,22.12,710,31,31
31,2,10,1085,63.76,34,30,402,1391.46,1330.3,61.16,605,39,39
32,3,9,949,82.846,28,24,291,958.5,898.21,60.29,604,27,27
33,4,7,1087,52.564,31,28,370,1276.7,1213.21,63.49,647,35,35
34,5,9,964,84.899,29,24,268,855.47,766.92,88.55,638,29,29
35,6,9,939,102.278,27,23,287,974.58,910.78,63.8,594,29,29
36,7,9,940,102.278,35,28,302,953.74,837.72,116.02,572,33,33
37,8,10,1067,57.019,33,26,327,1073.99,966.97,107.02,676,32,32
38,9,8,1031,117.452,32,27,308,972.48,906.85,65.63,663,30,30
39,10,5,1033,46.8,23,18,227,755.64,690.4,65.24,758,24,24
40,1,7,1052,46.617,26,20,267,878.64,769.34,109.3,735,25,25
41,2,9,944,93.744,18,13,184,595.93,475.4,120.53,728,16,16
42,3,9,1019,106.494,22,20,227,749.88,730.02,19.86,738,27,27
43,4,5,1092,144.604,40,32,412,1387.35,1231.57,155.78,604,38,38
44,5,9,945,113.064,23,18,226,721.45,635.95,85.5,673,23,23
45,6,3,1075,63.512,29,26,318,1107.82,1040.01,67.81,697,30,30
46,7,3,1041,41.241,29,24,288,951.1,873.06,78.04,693,30,30
47,8,3,1079,97.575,37,32,311,982.06,916.69,65.37,700,34,34
48,9,5,1050,68.135,26,20,239,748.07,680.56,67.51,765,23,23
49,10,3,1042,91.251,35,29,304,952.49,841.64,110.85,676,31,31
50,1,7,1047,133.588,18,15,201,696.65,645.61,51.04,808,19,19
51,2,5,1023,115.29,19,16,173,551.2,490.87,60.33,806,22,22
52,3,5,1029,149.498,27,22,249,779.73,720.97,58.76,724,28,28
53,4,9,1102,113.064,13,10,138,470.48,415.42,55.06,936,14,14
54,5,10,1099,120.191,28,20,268,840.23,719.39,120.84,781,25,25
55,6,9,977,110.814,24,21,244,802.54,763.77,38.77,683,25,25
56,7,10,1098,76.867,26,22,252,805.76,753.61,52.15,790,28,28
57,8,6,995,69.443,33,26,304,982.67,859.13,123.54,631,30,30
58,9,10,1032,99.234,31,26,277,887.89,805.98,81.91,687,34,34
59,10,9,982,113.064,17,15,155,471.14,446.06,25.08,791,18,18
60,1,6,980,106.236,11,8,119,410.41,343.79,66.62,841,10,10
61,2,9,1031,110.814,26,22,224,698.98,638.29,60.69,753,27,27
