horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.001
20,50,23,23,16,16,4217,15,883410.0,20.002
40,70,26,26,14,30,4203,15,1027310.0,20.002
60,90,31,31,18,48,4185,15,1140710.0,20.003
80,110,37,37,22,70,4163,15,1325590.0,20.168
100,130,43,42,25,95,4138,15,3783380.0,20.026
120,150,74,73,23,118,4114,16,4710420.0,20.092
140,170,132,123,78,196,4032,20,15214160.0,20.005
160,190,116,101,66,262,3956,30,24321560.0,20.006
180,210,103,93,60,322,3887,39,19415150.0,20.093
200,230,86,78,49,371,3831,46,16116650.0,20.072
220,250,73,69,42,413,3786,49,9204550.0,20.222
240,270,115,112,47,460,3738,50,11458210.0,20.353
260,290,180,133,79,539,3652,57,74137350.0,20.007
280,310,206,128,73,612,3538,98,119072110.0,20.008
300,330,192,115,64,676,3441,131,119752740.0,20.008
320,350,179,118,71,747,3324,177,100723620.0,20.007
340,370,132,99,63,810,3241,197,55408940.0,20.144
360,390,100,85,60,870,3167,211,26770920.0,20.102
380,410,82,81,47,917,3119,212,5031380.0,20.205
400,430,82,81,53,970,3065,213,4405930.0,20.143
420,450,68,67,45,1015,3019,214,3974080.0,20.057
440,470,60,59,35,1050,2983,215,3737990.0,20.051
460,490,70,70,40,1090,2943,215,2523580.0,20.004
480,510,90,90,51,1141,2892,215,3039040.0,20.039
500,530,131,118,66,1207,2826,215,23079170.0,20.006
520,550,147,105,65,1272,2744,232,67379540.0,20.067
540,570,150,109,60,1332,2658,258,66037540.0,20.007
560,590,137,110,66,1398,2571,279,45354220.0,20.006
580,610,144,112,63,1461,2498,289,52371530.0,20.172
600,630,181,118,62,1523,2412,313,97176730.0,20.007
620,650,225,119,73,1596,2303,349,161214330.0,20.01
640,670,270,122,61,1657,2180,411,224117190.0,20.015
660,690,333,115,64,1721,2043,484,329837350.0,20.013
680,710,419,115,63,1784,1869,595,461070830.0,20.023
700,730,468,101,62,1846,1654,748,562082790.0,20.02
720,750,424,94,58,1904,1436,908,511534620.0,20.021
740,770,334,101,47,1951,1237,1060,368419290.0,20.022
760,790,258,113,66,2017,1094,1137,223667710.0,20.01
780,810,217,123,69,2086,963,1199,142370630.0,20.012
800,830,195,120,61,2147,863,1238,110767590.0,20.01
820,850,218,128,72,2219,754,1275,130706370.0,20.009
840,870,202,119,67,2286,635,1327,123638760.0,20.009
860,890,169,109,68,2354,531,1363,89564870.0,20.146
880,910,128,95,57,2411,446,1391,52167990.0,20.124
900,930,120,94,56,2467,378,1403,41944340.0,20.156
920,950,121,92,55,2522,309,1417,48134070.0,20.005
940,970,121,93,54,2576,239,1433,48919120.0,20.024
960,990,106,77,48,2624,175,1449,51091780.0,20.147
980,1010,95,71,36,2660,125,1463,44462220.0,20.027
1000,1030,81,67,48,2708,66,1474,26792310.0,20.055
1020,1050,45,40,30,2738,32,1478,9781350.0,20.12
1040,1070,24,21,15,2753,14,1481,5813170.0,20.067
1060,1090,14,14,12,2765,2,1481,617450.0,20.003
1080,1110,2,2,2,2767,0,1481,98330.0,20.002
1100,1130,0,0,0,2767,0,1481,,0.0
1120,1150,0,0,0,2767,0,1481,,0.0
