horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,4233,15,390670.0,20.002
20,50,23,23,16,16,4217,15,883410.0,20.004
40,70,26,26,14,30,4203,15,1001790.0,20.085
60,90,31,31,18,48,4185,15,1080370.0,20.003
80,110,37,37,22,70,4163,15,1244270.0,20.005
100,130,43,43,26,96,4137,15,1361940.0,20.003
120,150,73,72,22,118,4114,16,3243750.0,20.172
140,170,132,129,84,202,4027,19,7934740.0,20.339
160,190,111,107,75,277,3949,22,8728910.0,20.112
180,210,96,93,64,341,3882,25,7051800.0,20.169
200,230,81,77,49,390,3829,29,7724900.0,20.01
220,250,71,71,44,434,3785,29,1986690.0,20.059
240,270,114,111,46,480,3739,29,10938620.0,20.343
260,290,181,173,110,590,3624,34,20111840.0,20.014
280,310,178,168,96,686,3518,44,19450260.0,20.01
300,330,172,165,108,794,3405,49,14943200.0,20.008
320,350,143,137,86,880,3314,54,13350250.0,20.007
340,370,122,119,83,963,3228,57,8190610.0,20.284
360,390,87,87,65,1028,3163,57,2704390.0,20.027
380,410,78,78,46,1074,3117,57,2649630.0,20.004
400,430,80,79,51,1125,3066,57,4129260.0,20.206
420,450,69,68,47,1172,3018,58,3888990.0,20.283
440,470,59,59,37,1209,2981,58,2054040.0,20.165
460,490,68,68,39,1248,2942,58,2355050.0,20.004
480,510,89,89,49,1297,2893,58,2879010.0,20.135
500,530,132,132,78,1375,2815,58,3465600.0,20.418
520,550,136,136,90,1465,2725,58,3681330.0,20.007
540,570,131,128,76,1541,2647,60,7965060.0,20.006
560,590,126,120,77,1618,2565,65,11609090.0,20.351
580,610,138,134,82,1700,2480,68,10158980.0,20.857
600,630,163,159,82,1782,2395,71,10615790.0,20.008
620,650,208,192,124,1906,2262,80,27389030.0,20.016
640,670,229,205,106,2012,2142,94,35825810.0,20.011
660,690,295,219,116,2128,2002,118,108662780.0,20.015
680,710,378,227,126,2254,1823,171,216770740.0,20.017
700,730,422,218,124,2378,1614,256,295578010.0,20.022
720,750,384,203,121,2499,1391,358,265255680.0,20.022
740,770,289,187,106,2605,1197,446,152773370.0,20.015
760,790,218,198,119,2724,1059,465,33404560.0,20.013
780,810,182,172,108,2832,941,475,17829940.0,20.011
800,830,173,168,95,2927,841,480,10677710.0,20.009
820,850,196,187,111,3038,721,489,17184610.0,20.014
840,870,169,155,101,3139,606,503,23946000.0,20.012
860,890,140,135,87,3226,514,508,10959450.0,20.069
880,910,111,106,67,3293,442,513,10801850.0,20.099
900,930,116,109,66,3359,369,520,14635930.0,20.655
920,950,112,107,71,3430,295,523,11540310.0,20.236
940,970,107,99,61,3491,231,526,16921090.0,20.348
960,990,98,92,63,3554,163,531,13550970.0,20.12
980,1010,83,81,47,3601,115,532,6021860.0,20.244
1000,1030,71,69,50,3651,64,533,5425580.0,20.149
1020,1050,43,42,32,3683,31,534,3284110.0,20.056
1040,1070,23,22,16,3699,14,535,2444730.0,20.117
1060,1090,14,14,12,3711,2,535,617450.0,20.02
1080,1110,2,2,2,3713,0,535,98330.0,20.004
1100,1130,0,0,0,3713,0,535,,0.0
1120,1150,0,0,0,3713,0,535,,0.0
