vehicle_id,home_depot,final_node,final_available_time,final_remaining_range_km,Movement,Passenger,total_flight_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,pickup_count,delivery_count
0,1,1,1094,73.102,34,33,524,1903.55,1882.52,21.03,494,38,38
1,2,2,1114,55.954,39,34,529,1873.89,1750.78,123.11,513,36,36
2,3,3,1072,92.192,36,33,481,1704.19,1643.86,60.33,505,43,43
3,4,4,1098,16.52,41,37,510,1766.95,1680.94,86.01,502,43,43
4,5,5,1119,38.231,32,31,472,1715.82,1653.78,62.04,569,39,39
5,6,6,1102,26.869,34,31,487,1734.32,1636.63,97.69,535,40,40
6,7,7,1071,16.08,34,33,488,1752.21,1712.09,40.12,497,43,43
7,8,8,1110,38.293,41,37,503,1770.84,1685.24,85.6,525,41,41
8,9,9,1109,66.047,36,33,501,1794.36,1684.48,109.88,530,39,39
9,10,10,1094,58.694,35,33,474,1677.58,1613.05,64.53,538,41,41
10,1,1,1057,55.344,33,30,453,1613.8,1515.98,97.82,530,37,37
11,2,2,1095,62.824,35,32,474,1673.69,1593.96,79.73,549,36,36
12,3,3,1105,24.62,31,30,425,1516.64,1463.86,52.78,596,42,42
13,4,4,1059,44.794,33,27,407,1417.42,1242.03,175.39,586,33,33
14,5,5,1016,39.075,33,31,402,1396.62,1321.98,74.64,538,38,38
15,6,6,974,25.568,29,24,342,1151.88,1026.71,125.17,570,31,31
16,7,7,980,46.316,29,25,377,1327.0,1242.7,84.3,537,33,33
17,8,8,988,35.288,34,29,386,1304.53,1232.7,71.83,530,36,36
18,9,9,962,88.544,30,25,361,1234.02,1144.25,89.77,537,32,32
19,10,10,968,30.249,35,28,404,1408.47,1241.54,166.93,496,34,34
20,1,1,1007,42.715,34,29,426,1474.15,1354.9,119.25,511,35,35
21,2,2,1116,39.979,41,34,471,1631.47,1505.03,126.44,561,42,42
22,3,3,971,49.5,31,27,365,1243.06,1151.38,91.68,540,33,33
23,4,4,1002,60.284,20,17,250,850.87,763.73,87.14,712,20,20
24,5,5,976,40.456,28,24,309,1053.05,938.73,114.32,605,31,31
25,6,6,1110,58.5,30,26,318,1056.0,1001.59,54.41,732,30,30
26,7,7,982,81.478,33,27,361,1180.62,1065.07,115.55,553,34,34
27,8,8,975,85.607,35,26,363,1228.41,1043.56,184.85,550,31,31
28,9,9,1138,31.549,30,23,336,1139.98,970.93,169.05,734,34,34
29,10,10,983,27.134,35,31,396,1377.61,1253.22,124.39,513,37,37
30,1,1,954,18.958,36,29,384,1280.51,1111.19,169.32,500,35,35
31,2,2,954,52.352,34,26,329,1093.45,911.18,182.27,565,30,30
32,3,3,1037,35.671,30,24,284,897.81,834.15,63.66,699,27,27
33,4,4,1091,79.691,36,31,395,1352.22,1232.59,119.63,624,36,36
34,5,5,1066,66.402,22,18,239,780.79,716.57,64.22,785,21,21
