vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,826,60,34,31,3,315,511,1018.54,958.21,60.33,437,3897641
1,2,2,819,56,28,25,3,231,588,698.21,641.82,56.39,524,2914709
2,3,3,819,53,38,29,9,329,490,1067.84,893.01,174.83,414,4116675
3,4,4,815,50,31,27,4,282,533,865.28,787.46,77.82,463,3499658
4,5,5,806,53,28,27,1,240,566,737.42,724.66,12.76,498,3008192
5,6,6,819,49,37,31,6,268,551,793.8,704.06,89.74,473,3464664
6,7,7,809,59,33,31,2,285,524,918.01,885.75,32.26,440,3567627
7,8,8,810,50,33,28,5,275,535,790.22,731.31,58.91,465,3463757
8,9,9,825,63,35,29,6,286,539,849.46,717.81,131.65,453,3614822
9,10,10,818,47,36,29,7,311,507,959.66,820.21,139.45,437,3892901
10,1,1,810,47,38,31,7,328,482,947.75,843.22,104.53,400,4106288
11,2,2,821,47,35,29,6,281,540,828.43,745.05,83.38,468,3562887
12,3,3,822,55,34,31,3,258,564,756.83,725.17,31.66,484,3305582
13,4,4,815,49,31,25,6,263,552,787.99,715.74,72.25,484,3302305
14,5,5,819,55,35,29,6,299,520,918.25,835.55,82.7,446,3749853
15,6,6,819,45,32,26,6,233,586,669.0,560.03,108.97,522,3009099
16,7,7,806,41,32,27,5,262,544,826.61,736.12,90.49,480,3310322
17,8,8,816,44,33,26,7,282,534,843.88,720.49,123.39,462,3536466
18,9,9,820,43,32,27,5,291,529,895.44,790.23,105.21,459,3611545
19,10,10,813,48,32,27,5,283,530,881.32,787.27,94.05,458,3528449
20,1,1,801,48,32,30,2,278,523,863.0,848.41,14.59,447,3476514
21,2,2,817,50,34,29,5,281,536,878.34,794.39,83.95,452,3544483
22,3,3,818,50,35,28,7,284,534,797.81,717.82,79.99,460,3594048
23,4,4,817,44,30,27,3,271,546,852.57,802.93,49.64,472,3366997
24,5,5,805,36,27,23,4,253,552,797.58,773.89,23.69,496,3124819
25,6,6,819,41,31,27,4,253,566,719.31,665.25,54.06,500,3198435
26,7,7,819,33,29,24,5,225,594,600.68,542.43,58.25,536,2870791
27,8,8,818,46,31,27,4,302,516,992.81,910.79,82.02,442,3707398
28,9,9,809,33,22,20,2,204,605,652.0,573.14,78.86,553,2523836
29,10,10,824,41,36,27,9,307,517,909.7,794.6,115.1,447,3851353
30,1,1,826,43,36,30,6,306,520,907.5,779.42,128.08,442,3840966
31,2,2,821,42,32,24,8,273,548,819.7,687.2,132.5,478,3424579
32,3,3,819,40,29,25,4,250,569,740.81,696.81,44.0,509,3130466
33,4,4,819,35,35,25,10,291,528,841.8,663.75,178.05,466,3666757
34,5,5,803,35,33,24,9,282,521,858.48,704.48,154.0,463,3536466
35,6,6,824,43,36,28,8,294,530,823.07,705.75,117.32,458,3716322
36,7,7,819,29,28,22,6,251,568,765.62,669.09,96.53,516,3122449
37,8,8,819,29,27,22,5,247,572,766.83,652.93,113.9,520,3062497
38,9,9,809,33,31,23,8,262,547,760.83,602.47,158.36,491,3291918
39,10,10,815,33,27,21,6,239,576,739.87,592.18,147.69,518,2979401
40,1,1,823,31,31,24,7,287,536,854.61,753.5,101.11,478,3551593
41,2,2,821,34,33,25,8,242,579,674.19,581.92,92.27,519,3120986
42,3,3,829,32,23,19,4,210,619,667.19,586.4,80.79,569,2604562
43,4,4,806,33,24,18,6,208,598,640.83,540.79,100.04,546,2602192
44,5,5,809,28,25,22,3,210,599,589.06,531.76,57.3,551,2641370
45,6,6,821,34,28,24,4,284,537,912.63,830.15,82.48,483,3465220
46,7,7,819,39,32,25,7,257,562,733.3,650.93,82.37,494,3258387
47,8,8,824,27,26,20,6,232,592,703.45,509.35,194.1,546,2888288
48,9,9,817,26,25,18,7,196,621,588.96,448.15,140.81,579,2495952
49,10,10,825,29,30,24,6,245,580,715.67,586.09,129.58,524,3096935
50,1,1,821,30,30,21,9,245,576,687.01,553.68,133.33,526,3096935
51,2,2,818,28,27,19,8,218,600,624.6,502.37,122.23,550,2761274
52,3,3,819,25,21,16,5,158,661,447.62,362.3,85.32,617,2027630
53,4,4,821,30,28,21,7,248,573,709.24,574.32,134.92,519,3091288
54,5,5,825,27,25,20,5,219,606,638.19,557.28,80.91,556,2734853
55,6,6,808,27,25,22,3,259,549,831.01,803.09,27.92,501,3150333
56,7,7,797,23,24,17,7,227,570,651.09,517.31,133.78,532,2799545
57,8,8,800,28,23,19,4,189,611,545.4,486.01,59.39,559,2386435
58,9,9,825,29,28,20,8,258,567,783.02,617.66,165.36,517,3195158
