horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,8,0,0,3320,0,1440513,20.023
20,50,23,16,12,12,3308,0,3249023,20.031
40,70,30,16,9,21,3296,3,4500760,20.021
60,90,37,27,16,37,3275,8,5424740,20.039
80,110,40,28,17,54,3255,11,5620012,20.033
100,130,48,35,21,75,3230,15,6349895,20.15
120,150,79,63,18,93,3207,20,9853806,20.227
140,170,138,115,75,168,3126,26,15901328,20.609
160,190,122,84,61,229,3051,40,15871226,20.132
180,210,109,66,45,274,2990,56,14891224,20.026
200,230,100,64,42,316,2929,75,13865478,20.11
220,250,82,55,33,349,2885,86,11015082,20.27
240,270,124,84,40,389,2837,94,16955056,20.529
260,290,189,172,107,496,2717,107,26857010,20.01
280,310,181,170,101,597,2609,114,24604736,20.011
300,330,172,162,104,701,2501,118,22075899,20.009
320,350,148,114,68,769,2426,125,18297247,20.11
340,370,143,100,70,839,2338,143,18920122,20.356
360,390,106,71,55,894,2266,160,14682023,20.156
380,410,90,59,31,925,2225,170,12803875,20.198
400,430,97,61,40,965,2172,183,13319456,20.069
420,450,84,51,36,1001,2120,199,12253521,20.292
440,470,70,42,27,1028,2083,209,10382554,20.032
460,490,79,51,29,1057,2044,219,11813687,20.012
480,510,100,70,37,1094,1996,230,13998325,20.087
500,530,144,115,70,1164,1916,240,17475326,20.391
520,550,146,114,75,1239,1834,247,18428147,20.037
540,570,149,116,71,1310,1746,264,19272452,20.009
560,590,134,102,67,1377,1667,276,17193078,20.671
580,610,149,112,67,1444,1587,289,19460898,20.008
600,630,178,156,79,1523,1491,306,24109685,20.01
620,650,212,199,133,1656,1349,315,27997712,20.012
640,670,224,218,119,1775,1224,321,28351455,20.022
660,690,282,267,142,1917,1080,323,35506860,20.015
680,710,361,304,172,2089,891,340,44189539,20.022
700,730,391,303,180,2269,673,378,50094286,20.032
720,750,341,251,171,2440,461,419,44772469,20.027
740,770,257,198,118,2558,304,458,33734234,20.022
760,790,223,200,127,2685,157,478,26911615,20.013
780,810,157,139,103,2788,49,483,18432041,20.012
800,816,49,16,16,2804,22,494,8768034,20.132
