vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,3,809,60,35,31,4,297,512,921.0,858.58,62.42,438,3729079
1,2,2,818,53,30,29,1,260,558,807.53,796.08,11.45,490,3252740
2,3,8,817,57,38,33,5,323,494,1000.34,925.88,74.46,414,4054353
3,4,4,817,52,35,29,6,311,506,1006.16,906.17,99.99,434,3874497
4,5,5,813,52,34,29,5,291,522,902.15,803.31,98.84,450,3648353
5,6,5,806,61,34,30,4,254,552,754.71,674.93,79.78,478,3264034
6,7,6,819,50,35,30,5,291,528,873.45,772.43,101.02,456,3666757
7,8,7,819,56,40,31,9,291,528,801.64,703.32,98.32,452,3758777
8,9,6,819,47,36,30,6,315,504,994.51,864.26,130.25,434,3934449
9,10,4,817,51,34,29,5,307,510,961.74,883.79,77.95,432,3814545
10,1,4,819,57,41,32,9,349,470,1059.86,924.47,135.39,390,4379627
11,2,4,814,40,37,29,8,333,481,1038.4,891.65,146.75,417,4139819
12,3,9,804,46,31,30,1,338,466,1124.38,1114.77,9.61,390,4081330
13,4,5,814,54,35,33,2,309,505,961.03,933.45,27.58,425,3853723
14,5,5,816,49,32,29,3,252,564,760.46,690.29,70.17,486,3206452
15,6,6,819,41,32,27,5,236,583,659.18,586.38,72.8,513,3040260
16,7,4,815,45,38,30,8,301,514,845.61,751.61,94.0,444,3825839
17,8,6,796,41,33,28,5,280,516,882.24,790.54,91.7,450,3515692
18,9,3,818,39,29,24,5,237,581,691.44,627.28,64.16,523,2995435
19,10,6,819,45,35,27,8,283,536,843.55,702.73,140.82,466,3583661
20,1,7,814,49,35,29,6,303,511,902.95,780.24,122.71,441,3791401
21,2,2,807,46,39,33,6,303,504,908.09,804.81,103.28,426,3865017
22,3,5,817,43,32,28,4,229,588,654.51,586.79,67.72,520,2967551
23,4,1,818,38,30,25,5,253,565,766.94,692.52,74.42,505,3180031
24,5,2,811,44,37,30,7,296,515,854.37,770.35,84.02,443,3755500
25,6,6,819,45,35,28,7,293,526,880.63,786.71,93.92,454,3687531
26,7,6,819,38,30,25,5,226,593,636.78,577.28,59.5,531,2899582
27,8,3,807,41,39,29,10,333,474,1011.51,894.56,116.95,404,4176627
28,9,1,808,43,28,25,3,273,535,857.97,820.71,37.26,473,3350963
29,10,6,809,37,29,27,2,282,527,892.34,876.81,15.53,463,3462850
30,1,6,817,42,32,28,4,277,540,836.18,777.47,58.71,472,3466127
31,2,6,814,45,34,28,6,278,536,805.46,728.48,76.98,460,3513322
32,3,3,818,37,38,28,10,312,506,854.24,740.43,113.81,440,3940096
33,4,3,812,46,35,32,3,302,510,922.98,837.99,84.99,430,3781014
34,5,6,800,39,31,27,4,263,537,778.31,711.82,66.49,469,3302305
35,6,5,812,44,33,28,5,269,543,779.56,730.75,48.81,471,3401435
36,7,6,819,30,27,21,6,221,598,600.25,490.43,109.82,546,2792435
37,8,3,819,34,31,27,4,285,534,877.58,835.91,41.67,472,3530819
38,9,7,818,31,30,23,7,240,578,702.84,643.74,59.1,520,3045000
39,10,5,816,38,34,27,7,309,507,963.04,827.44,135.6,441,3835319
40,1,3,818,36,37,30,7,319,499,973.71,847.91,125.8,435,3994401
41,2,5,814,32,32,25,7,261,553,751.98,659.43,92.55,495,3299935
42,3,7,819,34,31,25,6,235,584,649.85,571.13,78.72,528,3011469
43,4,5,810,31,28,22,6,220,590,644.33,551.73,92.6,536,2800452
44,5,8,811,33,27,24,3,274,537,887.76,843.31,44.45,479,3342946
45,6,4,818,35,34,27,7,299,519,887.28,813.06,74.22,455,3731449
46,7,8,819,26,28,21,7,251,568,762.69,671.75,90.94,522,3122449
47,8,7,811,23,25,19,6,240,571,739.63,640.07,99.56,527,2952980
48,9,3,818,31,30,22,8,262,556,788.52,661.15,127.37,504,3273514
49,10,7,800,37,31,26,5,282,518,869.54,800.03,69.51,454,3499658
50,1,3,815,35,36,28,8,354,461,1123.06,961.66,161.4,397,4339542
51,2,2,819,34,37,27,10,288,531,820.42,657.66,162.76,469,3672404
52,3,1,817,25,19,16,3,148,669,439.2,411.32,27.88,623,1886952
53,4,3,808,28,31,20,11,237,571,654.92,445.58,209.34,521,3032243
54,5,5,819,36,27,24,3,243,576,724.25,672.21,52.04,516,3020949
55,6,5,783,32,29,25,4,246,537,766.84,725.5,41.34,479,3088918
56,7,4,808,21,23,19,4,196,612,612.77,554.69,58.08,570,2459144
57,8,6,799,30,28,22,6,227,572,653.56,578.7,74.86,516,2873161
58,9,5,788,28,26,20,6,232,556,689.93,594.91,95.02,508,2888288
59,10,6,817,31,28,23,5,249,568,733.38,639.62,93.76,512,3101675
60,1,4,808,29,26,21,5,244,564,796.01,708.33,87.68,514,3012932
61,2,5,806,35,27,24,3,231,575,706.69,648.46,58.23,517,2896305
62,3,7,799,25,23,18,5,216,583,698.84,638.94,59.9,539,2666884
63,4,3,807,31,29,22,7,260,547,817.89,712.02,105.87,493,3234336
64,5,2,806,29,28,24,4,257,549,793.08,698.62,94.46,493,3184771
65,6,7,819,28,26,19,7,231,588,726.83,625.91,100.92,538,2877901
66,7,3,814,26,26,19,7,198,616,534.93,448.62,86.31,566,2535130
67,8,5,801,26,25,19,6,234,567,728.3,634.77,93.53,517,2890658
68,9,6,810,28,27,20,7,263,547,833.21,743.0,90.21,493,3228689
69,10,6,817,23,21,17,4,214,603,659.03,611.64,47.39,561,2609302
70,1,6,815,25,23,18,5,215,600,665.57,573.27,92.3,558,2656497
71,2,7,805,37,29,24,5,236,569,676.23,608.03,68.2,507,2985048
72,3,6,799,21,24,17,7,208,591,618.68,515.77,102.91,553,2602192
73,4,6,803,26,24,19,5,187,616,503.07,408.73,94.34,570,2384065
74,5,5,787,26,20,16,4,187,600,589.55,516.31,73.24,554,2310449
75,6,2,806,27,23,17,6,199,607,596.32,505.58,90.74,559,2490305
76,7,3,817,27,21,18,3,201,616,604.51,558.99,45.52,570,2474271
77,8,5,790,26,24,19,5,226,564,721.78,630.0,91.78,516,2789158
78,9,7,792,23,24,16,8,215,577,651.97,540.45,111.52,535,2674901
79,10,5,774,24,23,17,6,201,573,627.64,546.82,80.82,529,2511079
80,1,7,800,27,34,22,12,286,514,868.99,682.14,186.85,464,3596418
81,2,3,806,20,20,15,5,156,650,410.07,316.68,93.39,610,1988452
