horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,8,0,0,3335,0,1440513,20.013
20,50,23,16,12,12,3323,0,3249023,20.013
40,70,30,15,9,21,3311,3,4586067,20.045
60,90,37,25,15,36,3291,8,5551535,20.093
80,110,41,22,15,51,3272,12,6075952,20.135
100,130,50,32,18,69,3249,17,7222458,20.201
120,150,83,61,17,86,3223,26,10811927,20.173
140,170,139,97,62,148,3155,32,18095875,20.015
160,190,137,66,44,192,3081,62,21021803,20.306
180,210,126,64,43,235,3008,92,19469496,20.194
200,230,105,58,38,273,2945,117,15079552,20.238
220,250,85,50,33,306,2898,131,12354617,20.013
240,270,125,71,36,342,2853,140,18458727,20.123
260,290,193,118,69,411,2767,157,27402826,20.01
280,310,219,119,66,477,2657,201,32752940,20.02
300,330,209,107,65,542,2555,238,30720705,20.02
320,350,191,96,54,596,2455,284,28723130,20.017
340,370,161,83,56,652,2363,320,23246829,20.235
360,390,120,66,52,704,2282,349,17927110,20.033
380,410,95,53,27,731,2238,366,14232544,20.03
400,430,99,58,39,770,2184,381,14116412,20.186
420,450,85,48,32,802,2136,397,12625277,20.09
440,470,75,38,24,826,2098,411,11603211,20.252
460,490,83,48,28,854,2056,425,12605329,20.035
480,510,101,65,33,887,2010,438,14391420,20.034
500,530,147,94,56,943,1941,451,19982606,20.016
520,550,160,88,55,998,1862,475,23229491,20.016
540,570,166,92,52,1050,1777,508,24861991,20.009
560,590,154,77,47,1097,1697,541,22870232,20.014
580,610,168,90,59,1156,1608,571,24998405,20.017
600,630,189,110,54,1210,1526,599,26229139,20.01
620,650,237,128,76,1286,1412,637,35120975,20.027
640,670,277,125,57,1343,1296,696,42638320,20.028
660,690,347,132,62,1405,1167,763,55053556,20.026
680,710,441,135,87,1492,973,870,72949690,20.038
700,730,470,132,69,1561,773,1001,80965668,20.042
720,750,441,127,77,1638,541,1156,78736754,20.026
740,770,337,123,60,1698,348,1289,57398495,20.044
760,790,267,137,81,1779,200,1356,41253873,20.031
780,810,200,103,71,1850,73,1412,31661647,20.018
800,816,73,29,29,1879,14,1442,13049826,20.005
