time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
1,05:41,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
2,05:42,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
3,05:43,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
4,05:44,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
5,05:45,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
6,05:46,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
7,05:47,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
8,05:48,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
9,05:49,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
10,05:50,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
11,05:51,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
12,05:52,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
13,05:53,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
14,05:54,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
15,05:55,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
16,05:56,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
17,05:57,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
18,05:58,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
19,05:59,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
20,06:00,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
21,06:01,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
22,06:02,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
23,06:03,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
24,06:04,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
25,06:05,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
26,06:06,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
27,06:07,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
28,06:08,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
29,06:09,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
30,06:10,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
31,06:11,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
32,06:12,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
33,06:13,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
34,06:14,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
35,06:15,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
36,06:16,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
37,06:17,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
38,06:18,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
39,06:19,8,8,동탄/용인,10,"7,17,27,37,47,57,67,77,87,97"
40,06:20,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
41,06:21,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
42,06:22,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
43,06:23,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
44,06:24,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
45,06:25,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
46,06:26,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
47,06:27,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
48,06:28,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
49,06:29,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
50,06:30,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
51,06:31,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
52,06:32,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
53,06:33,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
54,06:34,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
55,06:35,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
56,06:36,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
57,06:37,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
58,06:38,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
59,06:39,8,8,동탄/용인,8,"27,37,47,57,67,77,87,97"
60,06:40,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
61,06:41,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
62,06:42,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
63,06:43,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
64,06:44,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
65,06:45,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
66,06:46,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
67,06:47,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
68,06:48,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
69,06:49,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
70,06:50,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
71,06:51,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
72,06:52,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
73,06:53,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
74,06:54,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
75,06:55,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
76,06:56,8,8,동탄/용인,7,"37,47,57,67,77,87,97"
77,06:57,8,8,동탄/용인,8,"9,37,47,57,67,77,87,97"
78,06:58,8,8,동탄/용인,8,"9,37,47,57,67,77,87,97"
79,06:59,8,8,동탄/용인,8,"9,37,47,57,67,77,87,97"
80,07:00,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
81,07:01,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
82,07:02,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
83,07:03,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
84,07:04,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
85,07:05,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
86,07:06,8,8,동탄/용인,7,"9,47,57,67,77,87,97"
87,07:07,8,8,동탄/용인,8,"9,35,47,57,67,77,87,97"
88,07:08,8,8,동탄/용인,7,"35,47,57,67,77,87,97"
89,07:09,8,8,동탄/용인,7,"35,47,57,67,77,87,97"
90,07:10,8,8,동탄/용인,7,"35,47,57,67,77,87,97"
91,07:11,8,8,동탄/용인,7,"35,47,57,67,77,87,97"
92,07:12,8,8,동탄/용인,7,"35,47,57,67,77,87,97"
93,07:13,8,8,동탄/용인,6,"47,57,67,77,87,97"
94,07:14,8,8,동탄/용인,6,"47,57,67,77,87,97"
95,07:15,8,8,동탄/용인,6,"47,57,67,77,87,97"
96,07:16,8,8,동탄/용인,6,"47,57,67,77,87,97"
97,07:17,8,8,동탄/용인,6,"47,57,67,77,87,97"
98,07:18,8,8,동탄/용인,6,"47,57,67,77,87,97"
99,07:19,8,8,동탄/용인,6,"47,57,67,77,87,97"
100,07:20,8,8,동탄/용인,6,"47,57,67,77,87,97"
101,07:21,8,8,동탄/용인,6,"47,57,67,77,87,97"
102,07:22,8,8,동탄/용인,6,"47,57,67,77,87,97"
103,07:23,8,8,동탄/용인,5,"57,67,77,87,97"
104,07:24,8,8,동탄/용인,5,"57,67,77,87,97"
105,07:25,8,8,동탄/용인,5,"57,67,77,87,97"
106,07:26,8,8,동탄/용인,4,"67,77,87,97"
107,07:27,8,8,동탄/용인,4,"67,77,87,97"
108,07:28,8,8,동탄/용인,4,"67,77,87,97"
109,07:29,8,8,동탄/용인,5,"15,67,77,87,97"
110,07:30,8,8,동탄/용인,5,"15,67,77,87,97"
111,07:31,8,8,동탄/용인,5,"15,67,77,87,97"
112,07:32,8,8,동탄/용인,5,"15,67,77,87,97"
113,07:33,8,8,동탄/용인,5,"15,67,77,87,97"
114,07:34,8,8,동탄/용인,5,"15,67,77,87,97"
115,07:35,8,8,동탄/용인,5,"15,67,77,87,97"
116,07:36,8,8,동탄/용인,5,"15,67,77,87,97"
117,07:37,8,8,동탄/용인,5,"15,67,77,87,97"
118,07:38,8,8,동탄/용인,4,"67,77,87,97"
119,07:39,8,8,동탄/용인,4,"67,77,87,97"
120,07:40,8,8,동탄/용인,4,"67,77,87,97"
121,07:41,8,8,동탄/용인,4,"67,77,87,97"
122,07:42,8,8,동탄/용인,4,"67,77,87,97"
123,07:43,8,8,동탄/용인,4,"67,77,87,97"
124,07:44,8,8,동탄/용인,4,"67,77,87,97"
125,07:45,8,8,동탄/용인,4,"67,77,87,97"
126,07:46,8,8,동탄/용인,5,"8,67,77,87,97"
127,07:47,8,8,동탄/용인,5,"8,67,77,87,97"
128,07:48,8,8,동탄/용인,5,"8,67,77,87,97"
129,07:49,8,8,동탄/용인,4,"67,77,87,97"
130,07:50,8,8,동탄/용인,4,"67,77,87,97"
131,07:51,8,8,동탄/용인,4,"67,77,87,97"
132,07:52,8,8,동탄/용인,5,"57,67,77,87,97"
133,07:53,8,8,동탄/용인,5,"57,67,77,87,97"
134,07:54,8,8,동탄/용인,6,"57,67,77,84,87,97"
135,07:55,8,8,동탄/용인,7,"1,57,67,77,84,87,97"
136,07:56,8,8,동탄/용인,7,"1,57,67,77,84,87,97"
137,07:57,8,8,동탄/용인,6,"1,57,67,77,87,97"
138,07:58,8,8,동탄/용인,6,"1,57,67,77,87,97"
139,07:59,8,8,동탄/용인,7,"1,50,57,67,77,87,97"
140,08:00,8,8,동탄/용인,6,"1,50,57,77,87,97"
141,08:01,8,8,동탄/용인,5,"1,50,77,87,97"
142,08:02,8,8,동탄/용인,5,"1,50,77,87,97"
143,08:03,8,8,동탄/용인,3,"1,77,97"
144,08:04,8,8,동탄/용인,3,"1,77,97"
145,08:05,8,8,동탄/용인,3,"1,77,97"
146,08:06,8,8,동탄/용인,6,"1,6,27,28,77,97"
147,08:07,8,8,동탄/용인,6,"1,6,27,28,77,97"
148,08:08,8,8,동탄/용인,6,"1,6,27,28,77,97"
149,08:09,8,8,동탄/용인,5,"1,27,28,77,97"
150,08:10,8,8,동탄/용인,5,"1,27,28,77,97"
151,08:11,8,8,동탄/용인,6,"1,27,28,32,77,97"
152,08:12,8,8,동탄/용인,5,"1,32,60,77,97"
153,08:13,8,8,동탄/용인,5,"1,32,60,77,97"
154,08:14,8,8,동탄/용인,4,"1,60,77,97"
155,08:15,8,8,동탄/용인,4,"1,60,77,97"
156,08:16,8,8,동탄/용인,4,"1,60,77,97"
157,08:17,8,8,동탄/용인,4,"1,60,77,97"
158,08:18,8,8,동탄/용인,4,"1,60,77,97"
159,08:19,8,8,동탄/용인,4,"1,60,77,97"
160,08:20,8,8,동탄/용인,3,"1,60,77"
161,08:21,8,8,동탄/용인,2,"1,77"
162,08:22,8,8,동탄/용인,2,"1,77"
163,08:23,8,8,동탄/용인,2,"35,77"
164,08:24,8,8,동탄/용인,2,"35,77"
165,08:25,8,8,동탄/용인,2,"35,77"
166,08:26,8,8,동탄/용인,4,"35,45,48,58"
167,08:27,8,8,동탄/용인,4,"35,45,48,58"
168,08:28,8,8,동탄/용인,4,"35,45,48,58"
169,08:29,8,8,동탄/용인,2,"35,45"
170,08:30,8,8,동탄/용인,2,"35,45"
171,08:31,8,8,동탄/용인,2,"35,45"
172,08:32,8,8,동탄/용인,1,35
173,08:33,8,8,동탄/용인,2,"35,72"
174,08:34,8,8,동탄/용인,2,"35,72"
175,08:35,8,8,동탄/용인,3,"35,40,72"
176,08:36,8,8,동탄/용인,3,"35,40,72"
177,08:37,8,8,동탄/용인,3,"35,40,72"
178,08:38,8,8,동탄/용인,3,"35,40,72"
179,08:39,8,8,동탄/용인,3,"35,40,72"
180,08:40,8,8,동탄/용인,2,"40,72"
181,08:41,8,8,동탄/용인,1,72
188,08:48,8,8,동탄/용인,1,22
189,08:49,8,8,동탄/용인,1,22
190,08:50,8,8,동탄/용인,1,22
191,08:51,8,8,동탄/용인,1,22
192,08:52,8,8,동탄/용인,1,22
193,08:53,8,8,동탄/용인,1,22
194,08:54,8,8,동탄/용인,1,29
195,08:55,8,8,동탄/용인,1,29
196,08:56,8,8,동탄/용인,1,29
197,08:57,8,8,동탄/용인,1,29
198,08:58,8,8,동탄/용인,2,"29,53"
199,08:59,8,8,동탄/용인,2,"29,53"
200,09:00,8,8,동탄/용인,1,53
201,09:01,8,8,동탄/용인,1,53
202,09:02,8,8,동탄/용인,2,"53,71"
203,09:03,8,8,동탄/용인,2,"53,71"
204,09:04,8,8,동탄/용인,1,71
206,09:06,8,8,동탄/용인,1,20
207,09:07,8,8,동탄/용인,2,"20,57"
208,09:08,8,8,동탄/용인,2,"20,57"
209,09:09,8,8,동탄/용인,2,"20,57"
210,09:10,8,8,동탄/용인,2,"20,55"
211,09:11,8,8,동탄/용인,2,"20,55"
212,09:12,8,8,동탄/용인,1,55
220,09:20,8,8,동탄/용인,1,4
221,09:21,8,8,동탄/용인,1,4
222,09:22,8,8,동탄/용인,1,4
223,09:23,8,8,동탄/용인,1,4
224,09:24,8,8,동탄/용인,1,4
225,09:25,8,8,동탄/용인,1,4
226,09:26,8,8,동탄/용인,1,4
227,09:27,8,8,동탄/용인,1,4
228,09:28,8,8,동탄/용인,1,4
246,09:46,8,8,동탄/용인,1,30
247,09:47,8,8,동탄/용인,1,30
248,09:48,8,8,동탄/용인,1,30
267,10:07,8,8,동탄/용인,1,96
268,10:08,8,8,동탄/용인,1,96
269,10:09,8,8,동탄/용인,1,96
270,10:10,8,8,동탄/용인,1,96
271,10:11,8,8,동탄/용인,2,"8,96"
272,10:12,8,8,동탄/용인,2,"8,96"
273,10:13,8,8,동탄/용인,1,8
274,10:14,8,8,동탄/용인,1,8
275,10:15,8,8,동탄/용인,2,"8,76"
276,10:16,8,8,동탄/용인,2,"8,76"
277,10:17,8,8,동탄/용인,1,76
278,10:18,8,8,동탄/용인,1,76
279,10:19,8,8,동탄/용인,1,76
280,10:20,8,8,동탄/용인,1,76
281,10:21,8,8,동탄/용인,1,76
282,10:22,8,8,동탄/용인,1,76
287,10:27,8,8,동탄/용인,1,66
288,10:28,8,8,동탄/용인,1,66
289,10:29,8,8,동탄/용인,1,66
290,10:30,8,8,동탄/용인,2,"64,66"
291,10:31,8,8,동탄/용인,3,"64,66,73"
292,10:32,8,8,동탄/용인,4,"14,64,66,73"
293,10:33,8,8,동탄/용인,3,"14,64,73"
294,10:34,8,8,동탄/용인,3,"14,64,73"
295,10:35,8,8,동탄/용인,3,"14,64,73"
296,10:36,8,8,동탄/용인,2,"14,73"
297,10:37,8,8,동탄/용인,1,14
298,10:38,8,8,동탄/용인,1,14
299,10:39,8,8,동탄/용인,1,14
300,10:40,8,8,동탄/용인,1,14
301,10:41,8,8,동탄/용인,1,14
302,10:42,8,8,동탄/용인,1,14
303,10:43,8,8,동탄/용인,2,"14,97"
304,10:44,8,8,동탄/용인,2,"14,97"
305,10:45,8,8,동탄/용인,2,"14,97"
306,10:46,8,8,동탄/용인,2,"14,97"
307,10:47,8,8,동탄/용인,3,"14,68,97"
308,10:48,8,8,동탄/용인,4,"14,68,86,97"
309,10:49,8,8,동탄/용인,3,"14,68,86"
310,10:50,8,8,동탄/용인,3,"14,68,86"
311,10:51,8,8,동탄/용인,3,"14,68,86"
312,10:52,8,8,동탄/용인,3,"14,68,86"
313,10:53,8,8,동탄/용인,3,"21,39,86"
314,10:54,8,8,동탄/용인,2,"21,39"
315,10:55,8,8,동탄/용인,2,"21,39"
316,10:56,8,8,동탄/용인,2,"39,78"
317,10:57,8,8,동탄/용인,2,"39,78"
318,10:58,8,8,동탄/용인,2,"39,78"
326,11:06,8,8,동탄/용인,1,84
327,11:07,8,8,동탄/용인,1,84
328,11:08,8,8,동탄/용인,1,84
329,11:09,8,8,동탄/용인,1,84
330,11:10,8,8,동탄/용인,1,84
331,11:11,8,8,동탄/용인,1,84
336,11:16,8,8,동탄/용인,1,3
337,11:17,8,8,동탄/용인,1,3
338,11:18,8,8,동탄/용인,1,3
351,11:31,8,8,동탄/용인,2,"44,63"
352,11:32,8,8,동탄/용인,2,"44,63"
353,11:33,8,8,동탄/용인,2,"44,63"
354,11:34,8,8,동탄/용인,3,"44,63,72"
355,11:35,8,8,동탄/용인,3,"44,63,72"
356,11:36,8,8,동탄/용인,3,"44,63,72"
357,11:37,8,8,동탄/용인,2,"63,72"
358,11:38,8,8,동탄/용인,2,"63,72"
359,11:39,8,8,동탄/용인,2,"63,72"
360,11:40,8,8,동탄/용인,2,"63,72"
361,11:41,8,8,동탄/용인,2,"63,72"
362,11:42,8,8,동탄/용인,2,"63,72"
363,11:43,8,8,동탄/용인,2,"63,72"
364,11:44,8,8,동탄/용인,2,"63,72"
365,11:45,8,8,동탄/용인,2,"63,72"
366,11:46,8,8,동탄/용인,2,"63,72"
367,11:47,8,8,동탄/용인,1,72
368,11:48,8,8,동탄/용인,1,72
369,11:49,8,8,동탄/용인,1,72
370,11:50,8,8,동탄/용인,1,72
371,11:51,8,8,동탄/용인,2,"55,72"
372,11:52,8,8,동탄/용인,2,"55,72"
373,11:53,8,8,동탄/용인,2,"55,72"
