time_min,time_hhmm,route_node_id,physical_node_id,physical_address,vehicle_count,vehicle_ids
0,05:40,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
1,05:41,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
2,05:42,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
3,05:43,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
4,05:44,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
5,05:45,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
6,05:46,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
7,05:47,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
8,05:48,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
9,05:49,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
10,05:50,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
11,05:51,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
12,05:52,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
13,05:53,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
14,05:54,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
15,05:55,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
16,05:56,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
17,05:57,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
18,05:58,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
19,05:59,1,1,서울역,10,"0,10,20,30,40,50,60,70,80,90"
20,06:00,1,1,서울역,8,"10,30,40,50,60,70,80,90"
21,06:01,1,1,서울역,8,"10,30,40,50,60,70,80,90"
22,06:02,1,1,서울역,8,"10,30,40,50,60,70,80,90"
23,06:03,1,1,서울역,8,"10,30,40,50,60,70,80,90"
24,06:04,1,1,서울역,8,"10,30,40,50,60,70,80,90"
25,06:05,1,1,서울역,8,"10,30,40,50,60,70,80,90"
26,06:06,1,1,서울역,8,"10,30,40,50,60,70,80,90"
27,06:07,1,1,서울역,8,"10,30,40,50,60,70,80,90"
28,06:08,1,1,서울역,8,"10,30,40,50,60,70,80,90"
29,06:09,1,1,서울역,8,"10,30,40,50,60,70,80,90"
30,06:10,1,1,서울역,8,"10,30,40,50,60,70,80,90"
31,06:11,1,1,서울역,8,"10,30,40,50,60,70,80,90"
32,06:12,1,1,서울역,8,"10,30,40,50,60,70,80,90"
33,06:13,1,1,서울역,8,"10,30,40,50,60,70,80,90"
34,06:14,1,1,서울역,8,"10,30,40,50,60,70,80,90"
35,06:15,1,1,서울역,8,"10,30,40,50,60,70,80,90"
36,06:16,1,1,서울역,10,"1,10,30,38,40,50,60,70,80,90"
37,06:17,1,1,서울역,10,"1,10,30,38,40,50,60,70,80,90"
38,06:18,1,1,서울역,10,"1,10,30,38,40,50,60,70,80,90"
39,06:19,1,1,서울역,9,"10,30,38,40,50,60,70,80,90"
40,06:20,1,1,서울역,9,"10,30,38,40,50,60,70,80,90"
41,06:21,1,1,서울역,9,"10,30,38,40,50,60,70,80,90"
42,06:22,1,1,서울역,9,"10,30,38,40,50,60,70,80,90"
43,06:23,1,1,서울역,9,"10,30,38,40,50,60,70,80,90"
44,06:24,1,1,서울역,10,"10,13,30,38,40,50,60,70,80,90"
45,06:25,1,1,서울역,10,"10,13,30,38,40,50,60,70,80,90"
46,06:26,1,1,서울역,10,"10,13,30,38,40,50,60,70,80,90"
47,06:27,1,1,서울역,8,"10,30,40,50,60,70,80,90"
48,06:28,1,1,서울역,8,"10,30,40,50,60,70,80,90"
49,06:29,1,1,서울역,8,"10,30,40,50,60,70,80,90"
50,06:30,1,1,서울역,8,"10,30,40,50,60,70,80,90"
51,06:31,1,1,서울역,8,"10,30,40,50,60,70,80,90"
52,06:32,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
53,06:33,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
54,06:34,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
55,06:35,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
56,06:36,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
57,06:37,1,1,서울역,10,"7,10,17,30,40,50,60,70,80,90"
58,06:38,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
59,06:39,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
60,06:40,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
61,06:41,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
62,06:42,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
63,06:43,1,1,서울역,9,"10,17,30,40,50,60,70,80,90"
64,06:44,1,1,서울역,10,"10,17,23,30,40,50,60,70,80,90"
65,06:45,1,1,서울역,10,"10,17,23,30,40,50,60,70,80,90"
66,06:46,1,1,서울역,9,"10,23,30,40,50,60,70,80,90"
67,06:47,1,1,서울역,9,"10,23,30,40,50,60,70,80,90"
68,06:48,1,1,서울역,9,"10,23,30,40,50,60,70,80,90"
69,06:49,1,1,서울역,9,"10,23,30,40,50,60,70,80,90"
70,06:50,1,1,서울역,8,"10,30,40,50,60,70,80,90"
71,06:51,1,1,서울역,8,"10,30,40,50,60,70,80,90"
72,06:52,1,1,서울역,8,"10,30,40,50,60,70,80,90"
73,06:53,1,1,서울역,8,"10,30,40,50,60,70,80,90"
74,06:54,1,1,서울역,8,"10,30,40,50,60,70,80,90"
75,06:55,1,1,서울역,8,"10,30,40,50,60,70,80,90"
76,06:56,1,1,서울역,8,"10,30,40,50,60,70,80,90"
77,06:57,1,1,서울역,8,"10,30,40,50,60,70,80,90"
78,06:58,1,1,서울역,8,"10,30,40,50,60,70,80,90"
79,06:59,1,1,서울역,8,"10,30,40,50,60,70,80,90"
80,07:00,1,1,서울역,6,"40,50,60,70,80,90"
81,07:01,1,1,서울역,6,"40,50,60,70,80,90"
82,07:02,1,1,서울역,6,"40,50,60,70,80,90"
83,07:03,1,1,서울역,6,"40,50,60,70,80,90"
84,07:04,1,1,서울역,6,"40,50,60,70,80,90"
85,07:05,1,1,서울역,6,"40,50,60,70,80,90"
86,07:06,1,1,서울역,6,"40,50,60,70,80,90"
87,07:07,1,1,서울역,6,"40,50,60,70,80,90"
88,07:08,1,1,서울역,6,"40,50,60,70,80,90"
89,07:09,1,1,서울역,6,"40,50,60,70,80,90"
90,07:10,1,1,서울역,6,"40,50,60,70,80,90"
91,07:11,1,1,서울역,6,"40,50,60,70,80,90"
92,07:12,1,1,서울역,6,"40,50,60,70,80,90"
93,07:13,1,1,서울역,6,"40,50,60,70,80,90"
94,07:14,1,1,서울역,6,"40,50,60,70,80,90"
95,07:15,1,1,서울역,6,"40,50,60,70,80,90"
96,07:16,1,1,서울역,6,"40,50,60,70,80,90"
97,07:17,1,1,서울역,7,"10,40,50,60,70,80,90"
98,07:18,1,1,서울역,8,"10,40,50,55,60,70,80,90"
99,07:19,1,1,서울역,8,"10,40,50,55,60,70,80,90"
100,07:20,1,1,서울역,8,"0,40,50,55,60,70,80,90"
101,07:21,1,1,서울역,8,"0,40,50,55,60,70,80,90"
102,07:22,1,1,서울역,8,"0,40,50,55,60,70,80,90"
103,07:23,1,1,서울역,8,"0,40,50,55,60,70,80,90"
104,07:24,1,1,서울역,7,"40,50,55,60,70,80,90"
105,07:25,1,1,서울역,7,"40,50,55,60,70,80,90"
106,07:26,1,1,서울역,7,"40,50,55,60,70,80,90"
107,07:27,1,1,서울역,7,"40,50,55,60,70,80,90"
108,07:28,1,1,서울역,7,"40,50,55,60,70,80,90"
109,07:29,1,1,서울역,7,"40,50,55,60,70,80,90"
110,07:30,1,1,서울역,7,"40,50,55,60,70,80,90"
111,07:31,1,1,서울역,7,"40,50,55,60,70,80,90"
112,07:32,1,1,서울역,7,"40,50,55,60,70,80,90"
113,07:33,1,1,서울역,8,"37,40,50,55,60,70,80,90"
114,07:34,1,1,서울역,8,"37,40,50,55,60,70,80,90"
115,07:35,1,1,서울역,8,"37,40,50,55,60,70,80,90"
116,07:36,1,1,서울역,8,"37,40,50,55,60,70,80,90"
117,07:37,1,1,서울역,8,"37,40,50,55,60,70,80,90"
