vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,811,68,35,30,5,284,527,880.66,782.06,98.6,441,3594048
1,2,2,812,64,35,32,3,316,496,1009.64,973.89,35.75,418,3926432
2,3,3,805,60,32,28,4,271,534,800.51,707.74,92.77,456,3403805
3,4,4,818,60,30,29,1,287,531,912.1,888.71,23.39,447,3533189
4,5,5,814,60,36,33,3,321,493,1041.11,970.94,70.17,405,3996771
5,6,6,824,53,28,26,2,256,568,803.35,718.95,84.4,492,3174384
6,7,7,819,49,34,29,5,252,567,750.26,646.58,103.68,489,3243260
7,8,8,815,59,30,27,3,248,567,739.12,671.9,67.22,487,3128096
8,9,9,830,52,34,29,5,257,573,749.11,612.69,136.42,497,3295195
9,10,10,807,53,31,27,4,284,523,912.29,820.0,92.29,439,3520432
10,1,1,811,44,30,27,3,270,541,838.91,794.41,44.5,467,3356610
11,2,2,814,53,30,28,2,246,568,736.66,696.33,40.33,484,3107322
12,3,3,824,51,33,31,2,300,524,945.05,923.99,21.06,444,3723432
13,4,4,819,51,25,24,1,254,565,829.73,806.34,23.39,493,3098398
14,5,5,821,52,36,33,3,302,519,898.8,847.83,50.97,435,3799418
15,6,6,824,55,31,28,3,264,560,782.53,724.32,58.21,478,3312692
16,7,7,819,41,34,28,6,270,549,747.78,654.13,93.65,477,3430226
17,8,8,809,44,32,27,5,231,578,633.72,544.51,89.21,504,2988325
18,9,9,809,53,27,26,1,264,545,840.15,787.37,52.78,463,3239076
19,10,10,808,45,25,24,1,252,556,833.9,800.38,33.52,488,3077624
20,1,1,825,46,25,24,1,234,591,716.98,707.37,9.61,519,2890658
21,2,2,778,37,28,24,4,256,522,793.86,709.41,84.45,462,3174384
22,3,3,816,34,20,17,3,156,660,440.13,410.94,29.19,612,1988452
23,4,4,837,37,32,25,7,292,545,894.04,758.65,135.39,479,3621932
24,5,5,826,34,30,24,6,238,588,711.84,609.22,102.62,528,3024226
25,6,6,821,36,29,24,5,269,552,820.33,709.03,111.3,494,3327819
26,7,7,819,41,33,28,5,246,573,704.34,619.79,84.55,509,3162534
27,8,8,804,33,32,26,6,292,512,920.35,813.74,106.61,450,3621932
28,9,9,774,42,27,24,3,240,534,774.05,664.06,109.99,464,2989788
29,10,10,827,46,36,30,6,312,515,942.2,811.56,130.64,435,3903288
30,1,1,818,49,29,25,4,257,561,777.5,715.01,62.49,487,3203175
31,2,2,782,37,24,18,6,197,585,610.37,489.75,120.62,529,2487935
32,3,3,827,35,25,22,3,226,601,718.15,667.45,50.7,545,2807562
33,4,4,817,29,24,20,4,201,616,599.73,537.33,62.4,568,2529483
34,5,5,803,41,30,26,4,232,571,692.2,613.67,78.53,499,2961904
35,6,6,819,33,27,22,5,233,586,730.5,662.07,68.43,528,2917079
36,7,7,819,36,32,26,6,281,538,862.01,763.17,98.84,478,3507675
37,8,8,814,32,24,21,3,206,608,633.4,578.34,55.06,552,2581418
38,9,9,813,27,23,19,4,224,589,708.93,603.27,105.66,537,2749980
39,10,10,816,32,25,21,4,225,591,744.72,637.04,107.68,537,2797175
40,1,1,823,34,27,23,4,226,597,696.67,622.85,73.82,535,2844370
41,2,2,819,31,26,20,6,231,588,726.92,625.29,101.63,536,2877901
42,3,3,815,24,23,16,7,197,618,608.91,499.25,109.66,572,2469531
43,4,4,817,34,31,24,7,292,525,932.12,856.51,75.61,463,3603528
