horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1365232,20.004
20,50,23,23,15,15,3305,0,3277142,20.003
40,70,27,26,12,27,3293,0,3671679,20.038
60,90,34,33,20,47,3273,0,4902142,20.06
80,110,38,37,22,69,3250,1,5232117,20.052
100,130,43,42,23,92,3227,1,5815086,20.025
120,150,76,73,23,115,3203,2,9217318,20.279
140,170,134,117,66,181,3136,3,17901937,20.437
160,190,132,100,65,246,3057,17,21983147,20.258
180,210,115,88,59,305,2982,33,20082345,20.024
200,230,92,74,43,348,2929,43,15626728,20.286
220,250,82,69,39,387,2882,51,12658541,20.04
240,270,121,107,43,430,2836,54,18416347,20.288
260,290,188,137,75,505,2752,63,30745559,20.014
280,310,216,129,75,580,2642,98,41126206,20.015
300,330,205,126,70,650,2540,130,38817466,20.018
320,350,187,120,64,714,2437,169,35936689,20.013
340,370,154,113,71,785,2345,190,26065014,20.01
360,390,113,88,61,846,2265,209,19179063,20.132
380,410,89,80,47,893,2212,215,13511695,20.315
400,430,84,81,49,942,2162,216,10996707,20.074
420,450,74,70,47,989,2111,220,10203335,20.236
440,470,61,60,36,1025,2074,221,8149528,20.209
460,490,70,70,41,1066,2033,221,8798373,20.106
480,510,89,88,46,1112,1987,221,10343905,20.009
500,530,135,121,66,1178,1920,222,18264858,20.006
520,550,150,117,66,1244,1845,231,23251139,20.008
540,570,160,115,58,1302,1764,254,27698505,20.014
560,590,152,116,75,1377,1673,270,24367376,20.013
580,610,155,111,64,1441,1597,282,26571348,20.021
600,630,188,119,52,1493,1525,302,33720655,20.015
620,650,246,139,85,1578,1404,338,48652855,20.02
640,670,279,132,64,1642,1295,383,59809878,20.026
660,690,353,146,66,1708,1169,443,80051966,20.031
680,710,450,149,82,1790,993,537,110834981,20.042
700,730,493,139,63,1853,790,677,132154601,20.042
720,750,458,144,80,1933,562,825,122623079,20.038
740,770,358,144,76,2009,362,949,88954325,20.022
760,790,281,143,79,2088,206,1026,60568710,20.02
780,810,206,110,82,2170,75,1075,43476728,20.02
800,816,75,22,22,2192,32,1096,22737095,20.107
