vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,800,33,15,13,2,109,691,304.16,275.79,28.37,651,1408243
1,2,2,804,47,18,16,2,120,684,318.42,272.97,45.45,636,1577712
2,3,3,812,37,14,14,0,108,704,327.17,327.17,0.0,658,1379452
3,4,4,822,45,21,20,1,178,644,521.66,509.06,12.6,586,2235370
4,5,5,813,41,18,16,2,138,675,370.69,346.48,24.21,625,1764678
5,6,6,822,40,22,17,5,197,625,626.18,526.3,99.88,567,2451127
6,7,7,816,31,16,14,2,113,703,351.58,297.28,54.3,659,1468195
7,8,8,811,36,18,16,2,141,670,437.11,376.56,60.55,616,1795839
8,9,9,831,34,20,18,2,163,668,466.52,404.13,62.39,620,2061161
9,10,10,817,26,16,13,3,131,686,375.03,280.43,94.6,646,1655161
10,1,1,821,29,15,12,3,103,718,279.97,237.36,42.61,686,1345921
11,2,2,821,32,14,12,2,94,727,238.41,208.67,29.74,687,1234034
12,3,3,818,26,17,13,4,132,686,369.01,307.62,61.39,648,1683952
13,4,4,803,28,12,10,2,109,694,340.71,294.59,46.12,660,1353031
14,5,5,795,28,14,13,1,108,687,305.75,278.18,27.57,649,1379452
15,6,6,809,20,9,8,1,83,726,259.92,226.94,32.98,698,1027757
16,7,7,818,16,15,12,3,124,694,369.49,300.48,69.01,668,1564048
17,8,8,818,26,13,12,1,99,719,276.01,228.22,47.79,681,1267565
18,9,9,817,30,19,17,2,143,674,404.46,318.49,85.97,626,1835017
19,10,10,820,43,21,18,3,160,660,457.76,393.84,63.92,600,2048404
20,1,1,804,23,10,9,1,75,729,216.5,206.89,9.61,697,963065
21,2,2,806,27,17,14,3,134,672,357.07,337.46,19.61,634,1704726
22,3,3,824,21,11,10,1,83,741,210.92,186.99,23.93,713,1064565
23,4,4,821,18,10,8,2,82,739,236.13,220.6,15.53,713,1035774
24,5,5,812,22,12,11,1,109,703,329.2,281.41,47.79,675,1353031
25,6,6,819,29,20,16,4,133,686,334.43,287.63,46.8,646,1749551
26,7,7,826,23,13,11,2,78,748,186.73,169.32,17.41,716,1049438
27,8,8,808,22,12,11,1,100,708,290.1,254.93,35.17,674,1259548
28,9,9,820,22,14,11,3,103,717,291.11,203.65,87.46,685,1327517
29,10,10,822,21,12,10,2,86,736,231.15,164.78,66.37,708,1114130
30,1,1,808,20,17,13,4,129,679,344.72,310.23,34.49,647,1652791
31,2,2,816,22,12,10,2,99,717,285.56,234.6,50.96,685,1249161
32,3,3,817,16,14,11,3,89,728,189.07,146.46,42.61,700,1182099
33,4,4,828,18,12,9,3,95,733,268.46,207.86,60.6,707,1207613
34,5,5,815,21,14,11,3,93,722,227.64,178.97,48.67,692,1223647
35,6,6,817,23,14,11,3,98,719,293.29,222.23,71.06,687,1275582
36,7,7,784,14,9,8,1,85,699,273.55,241.31,32.24,677,1048531
37,8,8,824,24,14,13,1,127,697,399.71,364.54,35.17,663,1576805
38,9,9,820,23,10,8,2,80,740,235.99,179.13,56.86,708,1015000
39,10,10,820,18,11,9,2,95,725,295.59,229.22,66.37,697,1189209
40,1,1,800,11,10,8,2,87,713,268.22,235.74,32.48,691,1087709
41,2,2,822,21,17,12,5,135,687,390.57,305.2,85.37,651,1715113
42,3,3,821,17,13,11,2,98,723,280.84,263.43,17.41,693,1257178
43,4,4,812,13,9,7,2,67,745,170.41,152.83,17.58,723,861565
44,5,5,787,18,12,10,2,92,695,254.07,222.4,31.67,667,1176452
45,6,6,783,15,11,10,1,89,694,257.26,244.5,12.76,666,1126887
46,7,7,806,21,14,11,3,103,703,260.19,218.85,41.34,667,1327517
47,8,8,817,20,13,11,2,104,713,289.71,226.78,62.93,677,1319500
48,9,9,815,13,11,9,2,103,712,322.61,247.63,74.98,688,1272305
49,10,10,812,17,11,9,2,94,718,288.73,209.88,78.85,692,1178822
50,1,1,818,15,10,8,2,77,741,225.16,192.16,33.0,717,983839
51,2,2,810,19,13,11,2,85,725,238.75,210.74,28.01,697,1122147
52,3,3,818,19,12,10,2,107,711,316.56,288.55,28.01,683,1332257
53,4,4,820,15,11,9,2,92,728,277.86,234.77,43.09,704,1158048
54,5,5,825,19,12,11,1,117,708,375.14,362.38,12.76,678,1436127
55,6,6,816,19,10,8,2,87,729,261.1,235.74,25.36,701,1087709
56,7,7,821,18,13,11,2,93,728,272.02,226.43,45.59,696,1205243
57,8,8,788,12,7,6,1,74,714,250.94,203.15,47.79,692,897466
58,9,9,826,17,14,11,3,128,698,411.6,299.04,112.56,670,1587192
59,10,10,801,14,13,9,4,101,700,279.97,217.01,62.96,676,1288339
60,1,1,826,13,8,7,1,69,757,218.0,176.95,41.05,735,863935
61,2,2,829,18,13,9,4,96,733,279.3,188.72,90.58,705,1236404
62,3,3,808,12,8,6,2,50,758,94.94,81.25,13.69,738,666582
63,4,4,818,11,10,8,2,62,756,148.73,122.99,25.74,734,828034
64,5,5,754,12,6,5,1,48,706,134.12,100.6,33.52,688,609000
65,6,6,826,13,14,11,3,104,722,317.52,263.81,53.71,696,1337904
66,7,7,804,13,13,10,3,92,712,238.51,166.3,72.21,686,1194856
67,8,8,801,12,8,7,1,69,732,222.59,195.02,27.57,714,863935
68,9,9,767,9,9,7,2,90,677,299.52,202.06,97.46,663,1100466
69,10,10,847,14,12,10,2,120,727,389.71,295.89,93.82,701,1467288
70,1,1,818,15,11,10,1,81,737,227.45,204.06,23.39,711,1043791
71,2,2,812,17,11,9,2,88,724,243.74,182.05,61.69,696,1116500
72,3,3,822,17,14,12,2,106,716,319.87,285.51,34.36,686,1358678
73,4,4,750,5,6,4,2,57,693,179.7,109.27,70.43,683,702483
74,5,5,823,15,11,9,2,102,721,299.98,240.74,59.24,695,1261918
75,6,6,814,14,13,11,2,83,731,206.73,161.28,45.45,705,1101373
76,7,7,820,14,13,10,3,83,737,185.73,142.47,43.26,713,1101373
77,8,8,770,15,11,9,2,84,686,230.93,178.63,52.3,664,1074952
78,9,9,764,10,10,8,2,97,667,300.59,215.16,85.43,649,1191579
79,10,10,806,18,15,11,4,125,681,361.32,286.49,74.83,655,1574435
80,1,1,810,12,8,6,2,58,752,137.12,117.31,19.81,734,749678
81,2,2,822,13,11,8,3,90,732,242.99,166.42,76.57,712,1137274
82,3,3,776,11,10,7,3,84,692,248.81,191.29,57.52,674,1056548
83,4,4,805,8,11,6,5,98,707,292.7,199.49,93.21,693,1220370
84,5,5,809,15,9,8,1,100,709,328.03,316.58,11.45,687,1204336
85,6,6,774,14,13,8,5,104,670,300.53,203.49,97.04,644,1319500
86,7,7,804,12,11,7,4,88,716,246.3,164.26,82.04,692,1116500
