vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,815,70,34,30,4,269,546,821.97,743.52,78.45,470,3419839
1,2,2,816,57,35,33,2,276,540,821.05,795.31,25.74,456,3510952
2,3,3,818,57,33,30,3,276,542,831.37,776.31,55.06,466,3474144
3,4,4,809,65,35,31,4,311,498,981.01,913.17,67.84,408,3874497
4,5,5,811,53,30,26,4,279,532,915.81,783.6,132.21,462,3450093
5,6,6,817,52,31,29,2,277,540,902.75,857.3,45.45,454,3447723
6,7,7,816,54,34,30,4,296,520,894.25,793.17,101.08,444,3700288
7,8,8,815,46,32,27,5,234,581,674.41,585.22,89.19,513,3019486
8,9,9,819,64,40,33,7,299,520,870.9,713.3,157.6,426,3841873
9,10,10,820,54,39,33,6,311,509,932.53,813.01,119.52,429,3948113
10,1,1,820,56,36,32,4,323,497,992.09,876.0,116.09,413,4017545
11,2,2,821,59,31,28,3,271,550,833.52,782.55,50.97,470,3385401
12,3,3,816,42,27,24,3,265,551,862.53,803.76,58.77,483,3249463
13,4,4,803,45,30,27,3,245,558,720.19,670.47,49.72,486,3096935
14,5,5,817,57,33,30,3,289,528,865.09,824.15,40.94,442,3609175
15,6,6,815,41,31,25,6,247,568,745.2,593.05,152.15,504,3136113
16,7,7,814,41,31,25,6,263,551,807.41,715.42,91.99,485,3302305
17,8,8,813,40,28,24,4,283,530,908.46,836.64,71.82,464,3454833
18,9,9,835,44,30,28,2,250,585,744.92,678.8,66.12,515,3148870
19,10,10,830,42,32,27,5,295,535,923.45,815.1,108.35,465,3653093
20,1,1,823,48,33,28,5,278,545,838.57,757.32,81.25,467,3494918
21,2,2,816,55,31,26,5,238,578,686.5,628.51,57.99,494,3042630
22,3,3,828,39,33,28,5,311,517,958.55,865.73,92.82,447,3837689
23,4,4,826,45,29,26,3,257,569,769.08,713.51,55.57,499,3203175
24,5,5,823,44,34,28,6,260,563,711.02,628.44,82.58,489,3326356
25,6,6,824,44,28,25,3,272,552,886.54,809.44,77.1,484,3340576
26,7,7,819,45,32,28,4,251,568,747.46,689.74,57.72,492,3196065
27,8,8,826,35,31,25,6,289,537,912.25,814.2,98.05,475,3572367
28,9,9,829,42,28,24,4,296,533,944.73,847.58,97.15,459,3589864
29,10,10,821,40,33,27,6,266,555,773.73,637.53,136.2,481,3370274
30,1,1,824,46,30,25,5,261,563,809.71,725.93,83.78,497,3263127
31,2,2,817,39,28,22,6,227,590,670.57,590.51,80.06,524,2873161
32,3,3,819,40,28,24,4,230,589,650.49,591.44,59.05,525,2904322
33,4,4,817,35,27,22,5,195,622,557.29,494.34,62.95,566,2522373
34,5,5,817,37,23,21,2,163,654,459.69,433.55,26.14,594,2116373
35,6,6,818,33,30,23,7,247,571,730.74,592.11,138.63,515,3117709
36,7,7,826,37,27,23,4,227,599,686.18,608.36,77.82,537,2854757
37,8,8,823,28,27,23,4,257,566,809.73,688.24,121.49,514,3166367
38,9,9,831,33,30,24,6,279,552,881.99,773.09,108.9,490,3450093
39,10,10,789,29,24,19,5,204,585,639.32,544.82,94.5,529,2560644
40,1,1,825,31,28,21,7,229,596,678.14,555.29,122.85,540,2893935
41,2,2,818,30,27,22,5,248,570,741.07,672.21,68.86,518,3072884
42,3,3,816,35,29,25,4,248,568,753.37,725.1,28.27,504,3109692
43,4,4,722,25,21,16,5,187,535,583.83,485.94,97.89,491,2328853
44,5,5,818,29,30,21,9,238,580,637.37,503.06,134.31,530,3024226
45,6,6,819,33,27,22,5,232,587,684.87,614.53,70.34,531,2906692
46,7,7,795,27,24,18,6,191,604,564.97,417.81,147.16,562,2425613
47,8,8,830,34,25,20,5,224,606,680.41,595.91,84.5,554,2786788
48,9,9,843,22,21,14,7,197,646,602.88,445.9,156.98,604,2432723
49,10,10,803,31,28,23,5,249,554,748.65,662.37,86.28,500,3101675
50,1,1,825,28,29,24,5,255,570,802.58,731.6,70.98,518,3182401
51,2,2,824,23,21,15,6,191,633,554.44,457.25,97.19,591,2370401
52,3,3,754,19,20,14,6,191,563,599.51,470.43,129.08,531,2351997
53,4,4,830,29,29,21,8,242,588,681.56,544.38,137.18,534,3047370
54,5,5,816,22,22,17,5,183,633,567.24,482.64,84.6,593,2305709
55,6,6,814,20,20,15,5,193,621,604.43,518.44,85.99,583,2372771
56,7,7,807,22,17,13,4,176,631,554.08,476.25,77.83,593,2140980
57,8,8,826,28,24,18,6,190,636,516.28,449.72,66.56,586,2415226
58,9,9,822,26,24,18,6,241,581,779.09,602.39,176.7,537,2944963
59,10,10,830,26,23,17,6,195,635,568.82,461.72,107.1,591,2448757
60,1,1,810,24,23,17,6,224,586,698.15,587.81,110.34,542,2749980
61,2,2,819,24,27,22,5,214,605,605.65,541.39,64.26,559,2719726
62,3,3,790,24,18,14,4,163,627,515.81,449.79,66.02,587,2024353
63,4,4,818,27,22,18,4,188,630,563.37,506.22,57.15,584,2357644
64,5,5,808,32,24,20,4,190,618,559.89,483.8,76.09,564,2415226
65,6,6,819,33,27,22,5,220,599,634.27,564.54,69.73,539,2782048
66,7,7,823,20,17,12,5,143,680,427.45,327.87,99.58,644,1798209
67,8,8,824,27,24,19,5,207,617,633.89,528.49,105.4,569,2591805
68,9,9,778,20,19,14,5,168,610,518.49,375.8,142.69,574,2094692
69,10,10,824,22,25,19,6,243,581,759.43,652.14,107.29,537,2984141
70,1,1,821,18,21,16,5,180,641,524.62,459.9,64.72,605,2256144
71,2,2,810,18,15,12,3,142,668,425.66,390.38,35.28,636,1751014
72,3,3,822,25,21,18,3,207,615,672.97,594.54,78.43,569,2536593
73,4,4,826,27,24,17,7,185,641,528.25,389.99,138.26,591,2363291
74,5,5,780,11,14,9,5,139,641,435.88,332.26,103.62,619,1701449
75,6,6,822,16,16,13,3,163,659,540.08,438.24,101.84,627,1987545
76,7,7,786,14,12,9,3,120,666,403.02,294.07,108.95,644,1467288
77,8,8,835,23,20,15,5,189,646,591.06,453.07,137.99,608,2331223
78,9,9,833,21,18,14,4,160,673,492.55,393.52,99.03,637,1993192
79,10,10,820,13,16,12,4,157,663,492.27,377.96,114.31,637,1925223
80,1,1,826,19,16,12,4,146,680,479.64,381.69,97.95,648,1810966
81,2,2,824,24,19,16,3,162,662,490.49,432.28,58.21,618,2032370
82,3,3,822,24,26,19,7,218,604,653.36,536.59,116.77,556,2742870
83,4,4,815,18,13,10,3,147,668,473.56,370.84,102.72,636,1766141
84,5,5,840,18,18,14,4,184,656,586.66,457.49,129.17,624,2242480
85,6,6,708,13,17,13,4,152,556,468.36,387.11,81.25,532,1891692
86,7,7,824,22,19,15,4,144,680,422.31,304.93,117.38,640,1845404
87,8,8,791,23,18,16,2,152,639,470.25,406.36,63.89,597,1910096
88,9,9,840,16,16,11,5,155,685,498.58,370.0,128.58,657,1904449
89,10,10,830,17,17,13,4,174,656,567.03,455.69,111.34,622,2120206
90,1,1,818,8,8,6,2,89,729,307.4,268.38,39.02,715,1071675
91,2,2,808,17,15,12,3,110,698,320.74,294.54,26.2,666,1418630
92,3,3,811,29,21,17,4,186,625,588.99,471.89,117.1,579,2318466
93,4,4,797,5,8,5,3,96,701,322.74,225.46,97.28,691,1144384
94,5,5,824,23,19,16,3,184,640,589.68,569.17,20.51,604,2260884
95,6,6,803,17,14,13,1,105,698,309.5,305.42,4.08,668,1348291
96,7,7,819,17,12,9,3,134,685,452.5,408.65,43.85,657,1612706
97,8,8,793,17,18,14,4,146,647,423.21,372.07,51.14,617,1847774
98,9,9,708,10,10,7,3,118,590,397.02,297.64,99.38,570,1409706
99,10,10,825,10,11,8,3,128,697,411.39,308.58,102.81,677,1531980
100,1,1,827,12,15,10,5,141,686,443.25,298.25,145.0,664,1740627
101,2,2,826,22,21,15,6,174,652,532.25,435.4,96.85,610,2193822
102,3,3,737,13,17,12,5,158,579,509.45,398.76,110.69,555,1954014
