horizon_start,horizon_end,request_id,batch_id,planned_visit,planned_pickup_time,committed,drop_penalty
0,30,R1,B1,False,,False,135400
0,30,R2,B2,True,27.0,False,137350
0,30,R3,B3,True,24.0,False,137350
0,30,R4,B4,True,24.0,False,134050
0,30,R5,B5,False,,False,129000
0,30,R6,B6,True,25.0,False,137250
0,30,R7,B7,False,,False,137250
0,30,R8,B8,True,29.0,False,137250
0,30,R9,B9,True,30.0,False,134050
0,30,R10,B10,False,,False,137350
20,50,R1,B1,False,,False,140280
20,50,R2,B2,True,23.0,True,141311
20,50,R3,B3,True,26.0,True,141358
20,50,R4,B4,False,,False,138263
20,50,R5,B5,False,,False,133682
20,50,R6,B6,True,32.0,True,141252
20,50,R7,B7,False,,False,141350
20,50,R8,B8,True,29.0,True,141252
20,50,R9,B9,True,30.0,True,138263
20,50,R10,B10,False,,False,143825
20,50,R11,B11,True,33.0,True,268100
20,50,R12,B12,False,,False,136300
20,50,R13,B13,False,,False,137250
20,50,R14,B14,True,36.0,True,135400
20,50,R15,B15,False,,False,137150
20,50,R16,B16,True,43.0,False,134050
20,50,R17,B17,False,,False,129100
20,50,R18,B18,True,40.0,False,136250
20,50,R19,B19,True,40.0,False,134050
20,50,R20,B20,True,44.0,False,135400
20,50,R21,B21,False,,False,129100
20,50,R22,B22,True,49.0,False,135400
20,50,R23,B23,False,,False,134050
40,70,R1,B1,False,,False,174444
40,70,R4,B4,False,,False,159332
40,70,R5,B5,False,,False,157095
40,70,R7,B7,False,,False,153652
40,70,R10,B10,False,,False,163253
40,70,R12,B12,False,,False,147931
40,70,R13,B13,False,,False,141159
40,70,R15,B15,False,,False,141147
40,70,R16,B16,True,43.0,True,138263
40,70,R17,B17,False,,False,135815
40,70,R18,B18,False,,False,140608
40,70,R19,B19,True,40.0,True,138263
40,70,R20,B20,True,52.0,True,143784
40,70,R21,B21,False,,False,135815
40,70,R22,B22,True,49.0,True,143575
40,70,R23,B23,True,57.0,True,138263
40,70,R24,B24,False,,False,135400
40,70,R25,B25,False,,False,134500
40,70,R26,B26,True,60.0,False,137350
40,70,R27,B27,True,54.0,True,134050
40,70,R28,B28,False,,False,137350
40,70,R29,B29,True,63.0,False,274500
40,70,R30,B30,True,57.0,True,137350
40,70,R31,B31,False,,False,136250
40,70,R32,B32,True,66.0,False,137250
40,70,R33,B33,True,68.0,False,135400
40,70,R34,B34,False,,False,134050
40,70,R35,B35,True,63.0,False,137250
40,70,R36,B36,True,64.0,False,274700
40,70,R37,B37,False,,False,122250
40,70,R38,B38,True,64.0,False,137250
40,70,R39,B39,True,65.0,False,135400
40,70,R40,B40,True,68.0,False,137250
40,70,R41,B41,True,70.0,False,137350
40,70,R42,B42,False,,False,137250
60,90,R13,B13,False,,False,168529
60,90,R15,B15,False,,False,169126
60,90,R17,B17,False,,False,182827
60,90,R18,B18,False,,False,162401
60,90,R21,B21,False,,False,155963
60,90,R24,B24,False,,False,143784
60,90,R25,B25,False,,False,137542
60,90,R26,B26,False,,False,150301
60,90,R28,B28,False,,False,141311
60,90,R29,B29,True,63.0,True,282505
60,90,R31,B31,False,,False,140608
60,90,R32,B32,True,60.0,True,141252
60,90,R33,B33,True,68.0,True,143784
60,90,R34,B34,False,,False,138320
60,90,R35,B35,True,67.0,True,141252
60,90,R36,B36,True,64.0,True,282717
60,90,R37,B37,False,,False,125287
60,90,R38,B38,True,64.0,True,141252
60,90,R39,B39,True,65.0,True,143575
60,90,R40,B40,True,77.0,True,141252
60,90,R41,B41,False,,False,141358
60,90,R42,B42,False,,False,141252
60,90,R43,B43,True,74.0,True,137250
60,90,R44,B44,True,75.0,True,274700
60,90,R45,B45,True,72.0,True,274700
60,90,R46,B46,True,72.0,True,137350
60,90,R47,B47,True,73.0,True,134050
