vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,824,68,37,32,5,280,544,858.75,751.64,107.11,456,3589308
1,2,2,812,63,31,27,4,235,577,706.19,633.27,72.92,501,3011469
2,3,3,811,55,30,28,2,229,582,681.98,648.44,33.54,506,2930743
3,4,4,812,60,33,30,3,300,512,940.46,881.08,59.38,430,3723432
4,5,5,823,63,35,32,3,292,531,886.7,815.99,70.71,451,3677144
5,6,6,809,52,33,28,5,277,532,882.17,752.4,129.77,452,3484531
6,7,7,822,54,33,28,5,282,540,904.03,804.15,99.88,464,3536466
7,8,8,818,52,31,29,2,237,581,658.47,595.54,62.93,503,3032243
8,9,9,814,43,25,23,2,229,585,731.01,657.52,73.49,519,2838723
9,10,10,827,55,28,26,2,252,575,763.31,709.0,54.31,497,3132836
10,1,1,798,66,32,28,4,264,534,761.62,698.28,63.34,444,3331096
11,2,2,807,44,30,27,3,268,539,833.4,760.38,73.02,467,3335836
12,3,3,797,48,32,28,4,245,552,677.25,596.93,80.32,474,3133743
13,4,4,819,43,22,20,2,196,623,622.5,554.27,68.23,555,2440740
14,5,5,803,41,24,22,2,201,602,612.33,580.07,32.26,542,2529483
15,6,6,806,40,30,24,6,288,518,922.84,771.48,151.36,458,3543576
16,7,7,804,49,25,23,2,242,562,768.63,733.24,35.39,490,2973754
17,8,8,809,40,27,22,5,246,563,733.66,629.88,103.78,499,3052110
18,9,9,815,43,26,21,5,224,591,704.1,568.35,135.75,529,2805192
19,10,10,804,43,32,27,5,292,512,873.69,774.26,99.43,432,3621932
20,1,1,815,36,29,25,4,246,569,705.14,654.28,50.86,505,3088918
21,2,2,810,48,31,28,3,254,556,768.87,738.46,30.41,484,3208822
22,3,3,798,45,27,25,2,227,571,687.79,642.2,45.59,499,2854757
23,4,4,780,32,31,24,7,246,534,705.49,582.09,123.4,474,3125726
24,5,5,810,43,29,24,5,244,566,705.43,643.35,62.08,494,3068144
25,6,6,777,42,24,21,3,229,548,699.76,652.18,47.58,482,2820319
26,7,7,813,40,27,23,4,186,627,527.93,468.0,59.93,561,2428890
27,8,8,816,29,24,21,3,223,593,710.38,654.67,55.71,545,2757997
28,9,9,833,41,26,22,4,248,585,746.32,647.03,99.29,527,3054480
29,10,10,813,46,30,26,4,265,548,807.25,721.38,85.87,476,3304675
30,1,1,759,36,25,21,4,243,516,784.7,718.06,66.64,456,2984141
31,2,2,803,35,32,26,6,258,545,762.96,692.02,70.94,481,3268774
32,3,3,801,41,26,22,4,217,584,636.64,563.54,73.1,518,2732483
33,4,4,828,30,27,21,6,224,604,668.35,572.0,96.35,556,2823596
34,5,5,818,37,27,24,3,216,602,608.95,514.59,94.36,542,2740500
35,6,6,807,37,27,22,5,223,584,696.85,586.29,110.56,518,2813209
36,7,7,811,38,27,23,4,208,603,643.67,563.58,80.09,543,2657404
37,8,8,829,25,20,17,3,186,643,558.77,463.54,95.23,601,2300062
38,9,9,814,30,23,19,4,225,589,739.14,634.15,104.99,535,2760367
39,10,10,811,26,21,15,6,180,631,530.8,380.36,150.44,589,2256144
40,1,1,823,21,23,15,8,210,613,630.74,516.49,114.25,575,2604562
41,2,2,819,23,23,18,5,198,621,591.58,531.49,60.09,581,2479918
42,3,3,794,34,26,22,4,214,580,644.03,558.17,85.86,522,2701322
43,4,4,825,31,26,21,5,217,608,654.44,547.8,106.64,552,2732483
44,5,5,768,27,25,19,6,248,520,777.89,659.86,118.03,476,3036076
45,6,6,769,21,19,14,5,191,578,626.06,506.85,119.21,540,2333593
46,7,7,810,28,21,17,4,171,639,524.42,465.91,58.51,589,2162661
47,8,8,793,30,18,16,2,171,622,535.7,508.05,27.65,570,2107449
48,9,9,822,30,23,18,5,183,639,520.49,420.65,99.84,589,2324113
49,10,10,826,39,28,25,3,262,564,784.45,679.85,104.6,492,3236706
50,1,1,820,29,26,19,7,214,606,595.11,509.49,85.62,554,2701322
51,2,2,818,29,24,20,4,185,633,527.96,473.02,54.94,577,2363291
52,3,3,808,30,27,22,5,242,566,749.44,650.54,98.9,516,3010562
53,4,4,814,28,23,19,4,210,604,674.27,603.07,71.2,558,2604562
54,5,5,808,28,22,17,5,161,647,440.69,366.95,73.74,599,2077195
55,6,6,815,26,21,18,3,180,635,555.84,485.67,70.17,587,2256144
56,7,7,816,27,24,19,5,213,603,689.79,588.47,101.32,553,2654127
57,8,8,813,16,14,11,3,116,697,338.94,306.43,32.51,669,1462548
58,9,9,797,26,17,15,2,194,603,655.72,575.64,80.08,561,2327946
59,10,10,822,31,26,23,3,260,562,834.35,757.43,76.92,504,3179124
60,1,1,830,28,22,18,4,208,622,645.62,548.08,97.54,570,2565384
61,2,2,830,23,19,14,5,171,659,546.13,416.54,129.59,617,2125853
62,3,3,799,13,11,9,2,131,668,419.49,351.83,67.66,644,1563141
63,4,4,820,24,20,17,3,182,638,591.26,536.72,54.54,590,2258514
64,5,5,834,25,19,15,4,182,652,561.45,459.0,102.45,612,2240110
65,6,6,818,18,18,15,3,161,657,497.13,381.09,116.04,625,2003579
66,7,7,818,25,19,16,3,170,648,534.82,475.44,59.38,604,2115466
67,8,8,787,14,16,11,5,156,631,517.83,377.02,140.81,605,1914836
68,9,9,818,19,15,11,4,138,680,420.65,361.84,58.81,644,1709466
69,10,10,825,24,25,21,4,221,604,680.05,603.7,76.35,558,2755627
70,1,1,823,22,17,15,2,133,690,369.36,344.87,24.49,652,1694339
71,2,2,819,29,23,19,4,169,650,429.22,396.94,32.28,602,2178695
72,3,3,785,30,25,19,6,218,567,666.59,542.17,124.42,515,2724466
73,4,4,816,18,16,12,4,153,663,472.79,435.61,37.18,635,1883675
74,5,5,820,21,15,12,3,155,665,519.72,420.97,98.75,629,1886045
75,6,6,799,24,15,14,1,117,682,323.72,280.86,42.86,638,1491339
76,7,7,764,15,14,11,3,146,618,481.09,382.06,99.03,592,1774158
77,8,8,741,13,11,9,2,98,643,293.89,259.76,34.13,617,1220370
78,9,9,820,20,24,17,7,234,586,755.74,568.89,186.85,546,2872254
79,10,10,725,22,14,14,0,120,605,378.14,378.14,0.0,569,1504096
80,1,1,760,8,8,6,2,78,682,249.51,189.31,60.2,668,957418
81,2,2,810,15,16,12,4,130,680,363.14,310.38,52.76,650,1644774
82,3,3,795,19,18,14,4,148,647,466.01,352.9,113.11,613,1868548
83,4,4,798,23,18,16,2,138,660,418.33,378.81,39.52,620,1764678
84,5,5,796,22,13,11,2,104,692,293.28,257.13,36.15,650,1319500
85,6,6,763,18,19,16,3,195,568,622.68,541.97,80.71,534,2375141
86,7,7,811,12,14,9,5,104,707,268.55,179.2,89.35,683,1337904
87,8,8,813,14,14,9,5,110,703,338.68,230.14,108.54,675,1400226
88,9,9,825,13,11,9,2,117,708,390.01,267.43,122.58,682,1417723
89,10,10,830,18,15,13,2,131,699,400.01,343.24,56.77,663,1636757
90,1,1,825,17,14,12,2,118,707,366.8,322.38,44.42,675,1483322
91,2,2,833,17,20,14,6,180,653,561.38,403.34,158.04,619,2237740
92,3,3,739,21,19,16,3,163,576,504.55,436.93,67.62,538,2042757
93,4,4,813,12,10,7,3,101,712,337.52,239.03,98.49,692,1233127
94,5,5,802,24,19,15,4,173,629,553.99,462.49,91.5,587,2146627
95,6,6,805,15,12,10,2,113,692,382.39,314.98,67.41,662,1394579
96,7,7,801,24,22,17,5,206,595,658.12,563.38,94.74,551,2544610
97,8,8,760,10,9,7,2,89,671,301.72,210.98,90.74,651,1090079
98,9,9,808,19,16,13,3,163,645,514.1,444.89,69.21,611,1987545
99,10,10,789,14,15,10,5,130,659,415.37,336.71,78.66,633,1626370
100,1,1,817,13,15,10,5,125,692,381.19,241.28,139.91,670,1574435
101,2,2,777,14,15,12,3,113,664,346.44,304.59,41.85,636,1449791
102,3,3,761,11,10,7,3,95,666,284.1,209.21,74.89,644,1170805
103,4,4,743,12,10,6,4,77,666,229.7,162.38,67.32,644,983839
104,5,5,717,10,9,9,0,67,650,177.78,177.78,0.0,630,861565
105,6,6,814,15,16,13,3,150,664,469.94,409.78,60.16,634,1852514
106,7,7,724,10,11,7,4,104,620,334.52,223.91,110.61,600,1282692
107,8,8,819,11,13,8,5,103,716,302.67,199.3,103.37,694,1309113
108,9,9,819,13,15,10,5,125,694,347.95,233.34,114.61,668,1574435
109,10,10,804,17,16,13,3,138,666,417.94,361.8,56.14,634,1727870
110,1,1,717,7,8,5,3,81,636,255.16,184.65,70.51,622,988579
111,2,2,788,13,13,10,3,116,672,366.6,273.97,92.63,650,1444144
112,3,3,782,15,17,12,5,150,632,467.35,354.44,112.91,602,1870918
113,4,4,799,11,11,8,3,96,703,270.22,207.81,62.41,683,1199596
114,5,5,816,17,18,13,5,140,676,391.06,327.43,63.63,646,1785452
115,6,6,821,14,16,11,5,143,678,402.85,332.03,70.82,650,1779805
116,7,7,702,7,9,6,3,99,603,333.89,268.0,65.89,589,1193949
117,8,8,711,10,8,7,1,89,622,291.26,243.47,47.79,602,1071675
118,9,9,820,14,15,11,4,151,669,478.78,381.95,96.83,641,1844497
119,10,10,803,18,14,11,3,133,670,414.3,355.04,59.26,640,1639127
120,1,1,706,4,5,3,2,46,660,139.48,119.62,19.86,652,569822
121,2,2,804,15,11,9,2,70,734,169.68,149.47,20.21,704,929534
122,3,3,808,14,13,11,2,118,690,353.45,297.25,56.2,662,1464918
123,4,4,701,4,4,3,1,50,651,174.3,131.44,42.86,643,592966
124,5,5,700,9,10,7,3,94,606,299.79,272.69,27.1,588,1160418
125,6,6,799,9,14,9,5,129,670,409.22,298.61,110.61,652,1597579
126,7,7,784,12,11,9,2,114,670,376.62,332.22,44.4,646,1386562
127,8,8,760,9,9,6,3,79,681,249.0,189.15,59.85,667,986209
128,9,9,731,8,8,5,3,87,644,289.26,198.85,90.41,630,1050901
129,10,10,770,15,11,9,2,105,665,337.04,285.48,51.56,637,1293079
130,1,1,705,4,4,2,2,51,654,177.78,125.36,52.42,646,603353
131,2,2,713,5,8,5,3,72,641,219.21,147.86,71.35,631,895096
132,3,3,730,12,11,10,1,105,625,318.49,294.56,23.93,601,1293079
133,4,4,802,9,6,4,2,58,744,185.87,151.11,34.76,730,712870
134,5,5,765,12,11,10,1,134,631,433.58,393.46,40.12,607,1594302
135,6,6,815,14,10,8,2,100,715,325.11,272.02,53.09,689,1222740
