vehicle_id,home_depot,final_node,final_available_time,Total_Passenger,Total_Movement,Passenger_Movement,Empty_Movement,total_flight_time_min,total_ground_time_min,total_flight_distance_km,passenger_flight_distance_km,empty_flight_distance_km,charging_time_min,Total_Cost
0,1,1,802,17,10,7,3,58,744,131.73,101.01,30.72,730,786486
1,2,2,806,17,8,6,2,52,754,151.92,108.22,43.7,734,687356
2,3,3,812,20,8,7,1,52,760,96.37,83.77,12.6,740,687356
3,4,4,818,16,9,8,1,72,746,187.07,174.47,12.6,730,913500
4,5,5,810,17,8,6,2,58,752,165.55,130.17,35.38,734,749678
5,6,6,824,15,8,6,2,62,762,172.57,129.98,42.59,748,791226
6,7,7,814,11,9,7,2,55,759,135.72,121.44,14.28,745,736921
7,8,8,828,13,11,7,4,75,753,198.79,144.01,54.78,737,981469
8,9,9,833,24,9,8,1,76,757,219.22,157.18,62.04,739,955048
9,10,10,814,14,8,6,2,71,743,213.5,147.13,66.37,729,884709
10,1,1,805,14,7,5,2,47,758,113.05,82.04,31.01,742,617017
11,2,2,807,16,9,6,3,52,755,116.55,86.73,29.82,737,705760
12,3,3,816,18,8,7,1,50,766,121.98,105.85,16.13,746,666582
13,4,4,806,12,8,5,3,50,756,113.16,85.03,28.13,744,666582
14,5,5,815,19,10,8,2,57,758,123.01,87.63,35.38,738,776099
15,6,6,826,15,8,5,3,88,738,296.46,170.71,125.75,720,1061288
16,7,7,823,15,10,6,4,88,735,260.17,197.9,62.27,717,1098096
17,8,8,822,12,10,6,4,75,747,209.47,97.58,111.89,733,963065
18,9,9,819,8,7,5,2,63,756,182.93,120.54,62.39,744,783209
19,10,10,815,12,7,5,2,58,757,160.27,114.15,46.12,739,731274
20,1,1,811,17,9,6,3,68,743,146.48,110.5,35.98,723,871952
21,2,2,806,11,10,6,4,61,745,132.27,91.0,41.27,731,817647
22,3,3,782,7,4,3,1,46,736,157.7,133.77,23.93,730,551418
23,4,4,816,17,8,6,2,52,764,116.94,88.21,28.73,744,687356
24,5,5,814,15,9,7,2,62,752,158.5,123.12,35.38,734,809630
25,6,6,825,13,7,5,2,50,775,138.18,81.81,56.37,759,648178
26,7,7,826,16,7,6,1,51,775,135.12,112.92,22.2,757,658565
27,8,8,811,11,10,5,5,82,729,229.59,101.64,127.95,717,1035774
28,9,9,817,13,7,5,2,61,756,182.08,130.51,51.57,738,762435
29,10,10,802,7,5,3,2,53,749,179.41,112.37,67.04,739,642531
30,1,1,813,13,11,9,2,59,754,131.88,122.82,9.06,736,815277
31,2,2,817,15,10,8,2,65,752,163.94,134.2,29.74,734,859195
32,3,3,804,13,8,5,3,57,747,147.31,83.21,64.1,731,739291
33,4,4,796,17,9,8,1,54,742,122.53,109.93,12.6,722,726534
34,5,5,814,11,8,5,3,53,761,131.19,88.73,42.46,745,697743
35,6,6,822,15,8,6,2,55,767,137.25,104.99,32.26,747,718517
36,7,7,809,11,7,6,1,59,750,179.98,166.65,13.33,738,741661
37,8,8,780,10,7,4,3,54,726,162.89,95.13,67.76,714,689726
38,9,9,817,8,9,4,5,80,737,242.31,88.03,154.28,727,996596
39,10,10,823,9,9,6,3,71,752,197.44,124.25,73.19,740,903113
40,1,1,815,14,10,7,3,69,746,166.02,123.13,42.89,728,900743
41,2,2,820,13,9,7,2,64,756,187.38,149.61,37.77,738,830404
42,3,3,814,17,9,7,2,58,756,129.7,104.92,24.78,734,768082
43,4,4,811,13,10,7,3,72,739,200.29,148.37,51.92,721,931904
44,5,5,815,15,13,9,4,73,742,165.44,99.66,65.78,724,997503
45,6,6,816,11,8,5,3,60,756,178.51,100.61,77.9,742,770452
46,7,7,804,10,11,6,5,72,732,170.21,107.72,62.49,718,950308
47,8,8,821,11,9,5,4,72,749,215.41,107.54,107.87,735,913500
48,9,9,835,9,6,5,1,71,764,246.05,171.26,74.79,752,847901
49,10,10,826,11,8,4,4,67,759,196.9,68.79,128.11,743,843161
