horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,0,0,0,3320,0,2556300,20.003
20,50,23,15,11,11,3309,0,5138495,20.024
40,70,31,23,12,23,3293,4,5886096,20.083
60,90,34,33,21,44,3272,4,5929733,20.139
80,110,37,37,22,66,3250,4,6376046,20.007
100,130,43,42,24,90,3226,4,6417661,20.226
120,150,75,75,26,116,3200,4,12820386,20.007
140,170,131,131,80,196,3120,4,22661557,20.013
160,190,116,114,80,276,3038,6,18622402,20.012
180,210,96,94,63,339,2973,8,15012524,20.008
200,230,83,80,46,385,2925,10,12212347,20.012
220,250,78,77,46,431,2878,11,11175907,20.01
240,270,117,115,47,478,2829,13,21938098,20.008
260,290,181,181,115,593,2714,13,32032036,20.021
280,310,178,177,101,694,2613,13,28806767,20.023
300,330,176,174,107,801,2504,15,29136917,20.023
320,350,151,148,94,895,2409,16,22031651,20.016
340,370,126,124,80,975,2327,18,20051388,20.017
360,390,95,95,70,1045,2257,18,14600493,20.015
380,410,81,81,46,1091,2211,18,12538912,20.008
400,430,83,83,50,1141,2161,18,11752729,20.012
420,450,73,73,49,1190,2112,18,10135887,20.015
440,470,62,61,38,1228,2074,18,8813336,20.04
460,490,70,69,40,1268,2034,18,10789968,20.007
480,510,90,89,47,1315,1986,19,14302726,20.011
500,530,134,134,77,1392,1909,19,22198545,20.016
520,550,139,139,91,1483,1818,19,21057492,20.016
540,570,133,132,81,1564,1736,20,23036056,20.007
560,590,124,124,78,1642,1658,20,18850093,20.017
580,610,140,140,86,1728,1572,20,25422489,20.017
600,630,163,162,81,1809,1491,20,27867339,20.011
620,650,212,209,135,1944,1354,22,36452003,20.019
640,670,229,222,116,2060,1235,25,40941092,20.02
660,690,293,275,136,2196,1091,33,52844235,20.029
680,710,372,296,159,2355,916,49,66015937,20.039
700,730,416,232,131,2486,734,100,82848090,20.028
720,750,402,268,182,2668,473,179,78373257,20.029
740,770,269,211,127,2795,315,210,47179574,20.023
760,790,234,203,120,2915,168,237,38054698,20.022
780,810,168,155,115,3030,43,247,24750872,20.02
800,816,43,35,35,3065,6,249,8783997,20.048
