horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1365232,20.049
20,50,23,23,16,16,3304,0,2923984,20.005
40,70,26,26,11,27,3293,0,3075956,20.129
60,90,34,34,20,47,3273,0,4159832,20.093
80,110,38,38,23,70,3250,0,4400547,20.035
100,130,43,42,24,94,3226,0,4552991,20.112
120,150,75,74,24,118,3202,0,7517411,20.229
140,170,133,133,80,198,3122,0,12851906,21.009
160,190,118,117,77,275,3044,1,12225850,20.787
180,210,102,102,66,341,2978,1,10952607,20.431
200,230,88,85,52,393,2924,3,9339256,20.35
220,250,77,76,45,438,2878,4,8423345,20.291
240,270,117,112,44,482,2834,4,13415350,20.775
260,290,186,182,115,597,2715,8,21419524,20.012
280,310,179,179,101,698,2614,8,19426964,20.017
300,330,177,177,105,803,2509,8,19010577,20.011
320,350,156,156,101,904,2408,8,16762655,20.013
340,370,125,124,82,986,2326,8,13664718,20.213
360,390,94,93,62,1048,2263,9,10338550,20.395
380,410,87,87,48,1096,2215,9,9735719,20.019
400,430,87,87,55,1151,2160,9,9881137,20.006
420,450,72,72,50,1201,2110,9,7957933,20.017
440,470,60,60,35,1236,2075,9,6539859,20.007
460,490,71,71,40,1276,2035,9,8388540,20.057
480,510,91,91,48,1324,1987,9,9695985,20.005
500,530,135,134,73,1397,1914,9,13666820,20.546
520,550,144,143,91,1488,1822,10,14348484,20.008
540,570,137,136,78,1566,1743,11,13744565,20.335
560,590,131,131,82,1648,1661,11,13526154,20.302
580,610,143,142,82,1730,1579,11,15764320,20.014
600,630,170,168,81,1811,1496,13,18160403,20.014
620,650,217,216,134,1945,1361,14,24544849,20.019
640,670,236,234,114,2059,1245,16,26628276,20.023
660,690,303,295,148,2207,1094,19,34552353,20.016
680,710,375,340,181,2388,900,32,47010483,20.036
700,730,400,320,175,2563,707,50,55413542,20.036
720,750,375,300,182,2745,488,87,55161604,20.048
740,770,284,236,147,2892,313,115,39209661,20.032
760,790,232,210,125,3017,167,136,27215373,20.021
780,810,167,162,122,3139,43,138,18745338,20.012
800,816,43,34,34,3173,8,139,9449215,20.057
