horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1365232,20.047
20,50,23,23,14,14,3306,0,2986306,20.112
40,70,28,27,14,28,3292,0,3366949,20.014
60,90,33,31,18,46,3274,0,4174072,20.16
80,110,39,38,20,66,3253,1,4727780,20.303
100,130,46,45,26,92,3226,2,5290412,20.218
120,150,75,74,23,115,3203,2,8929052,20.203
140,170,134,133,77,192,3125,3,15145309,20.019
160,190,121,120,81,273,3043,4,14985478,20.015
180,210,101,100,64,337,2979,4,13388157,20.015
200,230,89,81,49,386,2924,10,11225171,20.338
220,250,77,73,42,428,2879,13,10303808,20.195
240,270,118,116,46,474,2833,13,18831310,20.015
260,290,185,183,111,585,2720,15,26062323,20.021
280,310,184,183,101,686,2618,16,23125517,20.021
300,330,181,179,104,790,2513,17,22330635,20.022
320,350,160,159,101,891,2411,18,20218032,20.021
340,370,128,128,83,974,2328,18,15741396,20.021
360,390,96,92,67,1041,2261,18,10768047,20.398
380,410,85,81,43,1084,2215,21,10612187,20.015
400,430,87,86,55,1139,2160,21,10435306,20.013
420,450,72,70,50,1189,2109,22,8383299,20.042
440,470,59,58,35,1224,2073,23,6626316,20.041
460,490,69,69,37,1261,2036,23,8368732,20.01
480,510,92,92,47,1308,1989,23,10640208,20.015
500,530,137,136,75,1383,1914,23,14545795,20.017
520,550,144,143,90,1473,1823,24,15221044,20.02
540,570,138,138,78,1551,1745,24,17199600,20.022
560,590,133,131,79,1630,1665,25,16647244,20.019
580,610,147,146,82,1712,1582,26,18748696,20.021
600,630,173,171,85,1797,1496,27,22882544,20.023
620,650,217,212,123,1920,1370,30,31001052,20.032
640,670,245,235,115,2035,1248,37,32479487,20.031
660,690,306,281,134,2169,1108,43,42064983,20.044
680,710,389,186,101,2270,981,69,61795880,20.046
700,730,481,145,88,2358,792,170,90887589,20.052
720,750,460,145,97,2455,570,295,88440573,20.048
740,770,366,191,111,2566,353,401,64690682,20.039
760,790,272,216,126,2692,176,452,43666660,20.028
780,810,176,164,119,2811,49,460,28504987,20.031
800,816,49,0,0,2811,44,465,12698603,20.138
