horizon_start,horizon_end,active_request_count,planned_request_count,committed_request_count,completed_batch_count,pending_batch_count,overdue_batch_count,objective_value,solver_runtime_seconds
0,30,10,10,0,0,3320,0,1365232,20.004
20,50,23,23,14,14,3306,0,2986306,20.006
40,70,28,28,13,27,3293,0,3346925,20.008
60,90,34,34,20,47,3273,0,4159832,20.008
80,110,38,38,23,70,3250,0,4556352,20.08
100,130,43,43,24,94,3226,0,5433550,20.009
120,150,75,74,24,118,3202,0,9546962,20.014
140,170,133,133,77,195,3125,0,15335776,20.018
160,190,121,120,81,276,3043,1,16673519,20.016
180,210,101,99,62,338,2980,2,13783733,20.016
200,230,90,86,53,391,2923,6,13270803,20.462
220,250,76,76,45,436,2878,6,9946775,20.235
240,270,117,115,47,483,2831,6,19274021,20.017
260,290,183,181,105,588,2724,8,27976910,20.022
280,310,188,188,104,692,2620,8,25677772,20.024
300,330,183,183,115,807,2505,8,22054258,20.021
320,350,152,152,92,899,2413,8,19251290,20.021
340,370,130,130,87,986,2326,8,16438557,20.017
360,390,94,92,62,1048,2264,8,10613659,20.47
380,410,88,86,50,1098,2212,10,11051247,20.073
400,430,84,83,51,1149,2161,10,9664262,20.328
420,450,73,73,52,1201,2109,10,8202481,20.4
440,470,59,59,35,1236,2074,10,6887370,20.009
460,490,70,70,39,1275,2035,10,9447212,20.012
480,510,91,90,49,1324,1985,11,11429256,20.014
500,530,133,133,74,1398,1911,11,13115389,20.019
520,550,141,141,90,1488,1821,11,14220039,20.018
540,570,136,136,74,1562,1747,11,14451479,20.022
560,590,135,133,86,1648,1661,11,15614405,20.019
580,610,143,141,81,1729,1578,13,18482328,20.022
600,630,169,168,81,1810,1496,14,22741917,20.018
620,650,217,216,132,1942,1363,15,29851293,20.035
640,670,238,234,116,2058,1244,18,33098967,20.03
660,690,302,290,145,2203,1094,23,47040964,20.036
680,710,375,195,107,2310,973,37,81094521,20.055
700,730,473,144,93,2403,788,129,131311520,20.052
720,750,456,147,95,2498,574,248,128677954,20.049
740,770,370,185,110,2608,353,359,94574933,20.041
760,790,272,217,127,2735,175,410,57103937,20.028
780,810,175,162,117,2852,49,419,33853127,20.033
800,816,49,37,37,2889,8,423,15151781,20.189
